review_status,grader_issue,notes,review_kind,model_label,model,family,subfamily,sample_id,failure_type,answer_correct,format_correct,strict_correct,expected_answer,extracted_answer,raw_output,question,human_triviality,source_type,why_obvious,reference,log_file
,,,format_only,Claude Opus 4.8 max,anthropic/claude-opus-4-8,arithmetic,unit_conversion_and_small_calc,obviousbench.arith.en.v0.public.000024,verbose_noncompliance,true,false,false,4.827,4.827,3 × 1.609 = 4.827 km,Convert 3 miles to kilometers using 1 mile = 1.609 km.,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-top-thinking-clean-20260602 sample=obviousbench.arith.en.v0.public.000024 epoch=1 model=anthropic/claude-opus-4-8,results/raw/paper-v1-top-thinking-clean-20260602/top-thinking-015-anthropic-claude-opus-4-8-max/2026-06-02T16-19-48-00-00_barrage_UZMiz4v7tQENjyettR4y7u.eval
,,,answer_wrong,Claude Sonnet 4.6 high,anthropic/claude-sonnet-4-6,character_count,single_letter_count,obviousbench.char_count.en.v0.public.000008,incorrect_count,false,true,false,3,2,2,How many r's are in raspberry?,H0,generated_variant,Humans can count the visible letters directly.,run=paper-v1-top-thinking-clean-20260602 sample=obviousbench.char_count.en.v0.public.000008 epoch=1 model=anthropic/claude-sonnet-4-6,results/raw/paper-v1-top-thinking-clean-20260602/top-thinking-018-anthropic-claude-sonnet-4-6-high/2026-06-02T16-20-31-00-00_barrage_8UjGFcVZzstBwZcnAPDrpP.eval
,,,answer_wrong,Claude Sonnet 4.6 low,anthropic/claude-sonnet-4-6,character_count,single_letter_count,obviousbench.char_count.en.v0.public.000008,incorrect_count,false,true,false,3,2,2,How many r's are in raspberry?,H0,generated_variant,Humans can count the visible letters directly.,run=paper-v1-top-thinking-clean-20260602 sample=obviousbench.char_count.en.v0.public.000008 epoch=1 model=anthropic/claude-sonnet-4-6,results/raw/paper-v1-top-thinking-clean-20260602/top-thinking-016-anthropic-claude-sonnet-4-6-low/2026-06-02T16-20-15-00-00_barrage_JWSJZPPXNdYAvcofbGhXQv.eval
,,,answer_wrong,Claude Sonnet 4.6 max,anthropic/claude-sonnet-4-6,character_count,single_letter_count,obviousbench.char_count.en.v0.public.000008,incorrect_count,false,true,false,3,2,2,How many r's are in raspberry?,H0,generated_variant,Humans can count the visible letters directly.,run=paper-v1-top-thinking-clean-20260602 sample=obviousbench.char_count.en.v0.public.000008 epoch=1 model=anthropic/claude-sonnet-4-6,results/raw/paper-v1-top-thinking-clean-20260602/top-thinking-019-anthropic-claude-sonnet-4-6-max/2026-06-02T16-20-40-00-00_barrage_DDYJtKxzxuAHLCjkrWh22W.eval
,,,answer_wrong,Claude Sonnet 4.6 medium,anthropic/claude-sonnet-4-6,character_count,single_letter_count,obviousbench.char_count.en.v0.public.000008,incorrect_count,false,true,false,3,2,2,How many r's are in raspberry?,H0,generated_variant,Humans can count the visible letters directly.,run=paper-v1-top-thinking-clean-20260602 sample=obviousbench.char_count.en.v0.public.000008 epoch=1 model=anthropic/claude-sonnet-4-6,results/raw/paper-v1-top-thinking-clean-20260602/top-thinking-017-anthropic-claude-sonnet-4-6-medium/2026-06-02T16-20-24-00-00_barrage_i4QqH5uZTZ3difRBh3sfpf.eval
,,,answer_wrong,Google: Gemini 3.1 Flash Lite low,openrouter/google/gemini-3.1-flash-lite,character_count,single_letter_count,obviousbench.char_count.en.v0.public.000008,incorrect_count,false,true,false,3,2,2,How many r's are in raspberry?,H0,generated_variant,Humans can count the visible letters directly.,run=paper-v1-top-thinking-clean-20260602 sample=obviousbench.char_count.en.v0.public.000008 epoch=1 model=openrouter/google/gemini-3.1-flash-lite,results/raw/paper-v1-top-thinking-clean-20260602/top-thinking-035-openrouter-google-gemini-3-1-flash-lite-low/2026-06-02T16-22-21-00-00_barrage_fgCtz9m22qnxRVDXD46AdE.eval
,,,answer_wrong,Google: Gemini 3.1 Flash Lite minimal,openrouter/google/gemini-3.1-flash-lite,character_count,single_letter_count,obviousbench.char_count.en.v0.public.000008,incorrect_count,false,true,false,3,2,2,How many r's are in raspberry?,H0,generated_variant,Humans can count the visible letters directly.,run=paper-v1-top-thinking-clean-20260602 sample=obviousbench.char_count.en.v0.public.000008 epoch=1 model=openrouter/google/gemini-3.1-flash-lite,results/raw/paper-v1-top-thinking-clean-20260602/top-thinking-034-openrouter-google-gemini-3-1-flash-lite-minimal/2026-06-02T16-22-14-00-00_barrage_iuGw4anNVeuvQT7bVWotms.eval
,,,answer_wrong,Google: Gemini 3.5 Flash minimal,openrouter/google/gemini-3.5-flash,character_count,single_letter_count,obviousbench.char_count.en.v0.public.000008,incorrect_count,false,true,false,3,2,2,How many r's are in raspberry?,H0,generated_variant,Humans can count the visible letters directly.,run=paper-v1-top-thinking-clean-20260602 sample=obviousbench.char_count.en.v0.public.000008 epoch=1 model=openrouter/google/gemini-3.5-flash,results/raw/paper-v1-top-thinking-clean-20260602/top-thinking-028-openrouter-google-gemini-3-5-flash-minimal/2026-06-02T16-20-48-00-00_barrage_WxKuUHaSUu6GBxMK3FQfPE.eval
,,,answer_wrong,OpenAI GPT-5.5 none,openai/gpt-5.5,character_count,single_letter_count,obviousbench.char_count.en.v0.public.000008,incorrect_count,false,true,false,3,2,2,How many r's are in raspberry?,H0,generated_variant,Humans can count the visible letters directly.,run=paper-v1-top-thinking-clean-20260602 sample=obviousbench.char_count.en.v0.public.000008 epoch=1 model=openai/gpt-5.5,results/raw/paper-v1-top-thinking-clean-20260602/top-thinking-001-openai-gpt-5-5-none/2026-06-02T16-15-07-00-00_barrage_2WtTmqfKXGyC8uCNStHwyH.eval
,,,answer_wrong,OpenAI GPT-5.4 none,openai/gpt-5.4,character_count,single_letter_count,obviousbench.char_count.en.v0.public.000017,incorrect_count,false,true,false,3,2,2,How many e's are in responsiveness?,H0,generated_variant,Humans can count the visible letters directly.,run=paper-v1-top-thinking-clean-20260602 sample=obviousbench.char_count.en.v0.public.000017 epoch=1 model=openai/gpt-5.4,results/raw/paper-v1-top-thinking-clean-20260602/top-thinking-006-openai-gpt-5-4-none/2026-06-02T16-16-25-00-00_barrage_FFb447fFo8KyeVCn6w9499.eval
