provider_model,reasoning_effort,effort_order,answer_pass3_accuracy,answer_pass3_items,items,estimated_cost_usd,log10_estimated_cost_usd,strict_pass3_accuracy,strict_attempt_accuracy,strict_any3_accuracy,total_tokens,reasoning_tokens
anthropic/claude-3-haiku,default,1,0.444444,64,144,0.00852625,-2.069242,0.444444,0.537037,0.645833,23969,0
anthropic/claude-3.5-haiku,default,1,0.590278,85,144,0.029288,-1.53331,0.590278,0.648148,0.715278,24470,0
anthropic/claude-haiku-4.5,default,1,0.652778,94,144,0.04191,-1.377682,0.604167,0.662037,0.722222,25530,0
anthropic/claude-haiku-4.5,high_budget_8192,99,0.902778,130,144,0.420843,-0.37588,0.895833,0.944444,0.986111,111339,71239
anthropic/claude-haiku-4.5,low_budget_1024,99,0.916667,132,144,0.361128,-0.442339,0.902778,0.946759,0.986111,99396,62454
anthropic/claude-haiku-4.5,medium_budget_2048,99,0.923611,133,144,0.383278,-0.416486,0.895833,0.939815,0.972222,103826,66239
anthropic/claude-haiku-4.5,xhigh_budget_16384,99,0.930556,134,144,0.439143,-0.357394,0.916667,0.949074,0.993056,114999,73125
anthropic/claude-opus-4-6,low,2,0.902778,130,144,0.1779,-0.749824,0.888889,0.900463,0.909722,24264,0
anthropic/claude-opus-4-6,medium,3,0.895833,129,144,0.20395,-0.690476,0.861111,0.87037,0.875,25306,229
anthropic/claude-opus-4-6,high,4,0.979167,141,144,0.652625,-0.185336,0.916667,0.925926,0.9375,43253,16465
anthropic/claude-opus-4-6,xhigh,5,0.979167,141,144,0.65775,-0.181939,0.909722,0.928241,0.944444,43458,16614
anthropic/claude-opus-4-6,max,6,0.972222,140,144,0.808175,-0.092495,0.888889,0.918981,0.944444,49475,22596
anthropic/claude-opus-4-7,low,2,0.840278,121,144,0.23496,-0.629006,0.840278,0.865741,0.888889,33744,0
anthropic/claude-opus-4-7,medium,3,0.854167,123,144,0.234835,-0.629237,0.854167,0.865741,0.875,33739,0
anthropic/claude-opus-4-7,high,4,0.868056,125,144,0.24551,-0.609931,0.868056,0.875,0.881944,34166,360
anthropic/claude-opus-4-7,xhigh,5,0.916667,132,144,0.28586,-0.543847,0.916667,0.928241,0.9375,35780,1776
