review_status,grader_issue,notes,review_kind,model_label,model,family,subfamily,sample_id,failure_type,answer_correct,format_correct,strict_correct,expected_answer,extracted_answer,raw_output,question,human_triviality,source_type,why_obvious,reference,log_file
,,,answer_wrong,Meta: Llama Guard 4 12B,openrouter/meta-llama/llama-guard-4-12b,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000007,non_answer,false,true,false,22,,"

safe",What is 9 + 14 - 1?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-scaled-next100-10k-20260601 sample=obviousbench.arith.en.v0.public.000007 epoch=1 model=openrouter/meta-llama/llama-guard-4-12b,results/raw/paper-v1-scaled-next100-10k-20260601/next-011-registry-openrouter-105-meta-llama-llama-guard-4-12b/2026-06-02T04-27-26-00-00_barrage_W8ztr7LxxHDmkcXXybfNE4.eval
,,,answer_wrong,Mistral: Ministral 3 3B 2512,openrouter/mistralai/ministral-3b-2512,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000007,incorrect_count,false,true,false,22,12,12,What is 9 + 14 - 1?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-scaled-next100-10k-20260601 sample=obviousbench.arith.en.v0.public.000007 epoch=1 model=openrouter/mistralai/ministral-3b-2512,results/raw/paper-v1-scaled-next100-10k-20260601/next-004-registry-openrouter-095-mistralai-ministral-3b-2512/2026-06-02T04-26-08-00-00_barrage_jFY6HTAA47G2B7yaiK5Eng.eval
,,,answer_wrong,Mistral: Voxtral Small 24B 2507,openrouter/mistralai/voxtral-small-24b-2507,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000007,incorrect_count,false,true,false,22,12,12,What is 9 + 14 - 1?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-scaled-next100-10k-20260601 sample=obviousbench.arith.en.v0.public.000007 epoch=1 model=openrouter/mistralai/voxtral-small-24b-2507,results/raw/paper-v1-scaled-next100-10k-20260601/next-015-registry-openrouter-096-mistralai-voxtral-small-24b-2507/2026-06-02T04-27-51-00-00_barrage_n5etVnk4KJ9D2k2ZfciR4o.eval
,,,answer_wrong,Qwen: Qwen3 VL 8B Instruct,openrouter/qwen/qwen3-vl-8b-instruct,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000007,incorrect_count,false,true,false,22,24,24,What is 9 + 14 - 1?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-scaled-next100-10k-20260601 sample=obviousbench.arith.en.v0.public.000007 epoch=1 model=openrouter/qwen/qwen3-vl-8b-instruct,results/raw/paper-v1-scaled-next100-10k-20260601/next-021-registry-openrouter-098-qwen-qwen3-vl-8b-instruct/2026-06-02T04-28-56-00-00_barrage_j2bSRitoFnhW3gNrGJXNsX.eval
,,,answer_wrong,Reka Edge,openrouter/rekaai/reka-edge,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000007,incorrect_count,false,true,false,22,16,"16

",What is 9 + 14 - 1?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-scaled-next100-10k-20260601 sample=obviousbench.arith.en.v0.public.000007 epoch=1 model=openrouter/rekaai/reka-edge,results/raw/paper-v1-scaled-next100-10k-20260601/next-005-registry-openrouter-167-rekaai-reka-edge/2026-06-02T04-26-12-00-00_barrage_EJmMeGwcfQiu26N2QP5McG.eval
,,,answer_wrong,Meta: Llama 3.2 11B Vision Instruct,openrouter/meta-llama/llama-3.2-11b-vision-instruct,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000020,incorrect_count,false,true,false,47,51,51,What is 22 + 27 - 2?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-scaled-next100-10k-20260601 sample=obviousbench.arith.en.v0.public.000020 epoch=1 model=openrouter/meta-llama/llama-3.2-11b-vision-instruct,results/raw/paper-v1-scaled-next100-10k-20260601/next-018-registry-openrouter-177-meta-llama-llama-3-2-11b-vision-instruct/2026-06-02T04-28-36-00-00_barrage_hDZKDVYLmzsugZzUK7GY2m.eval
,,,answer_wrong,Meta: Llama Guard 4 12B,openrouter/meta-llama/llama-guard-4-12b,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000020,non_answer,false,true,false,47,,safe,What is 22 + 27 - 2?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-scaled-next100-10k-20260601 sample=obviousbench.arith.en.v0.public.000020 epoch=1 model=openrouter/meta-llama/llama-guard-4-12b,results/raw/paper-v1-scaled-next100-10k-20260601/next-011-registry-openrouter-105-meta-llama-llama-guard-4-12b/2026-06-02T04-27-26-00-00_barrage_W8ztr7LxxHDmkcXXybfNE4.eval
,,,answer_wrong,Mistral: Ministral 3 3B 2512,openrouter/mistralai/ministral-3b-2512,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000020,incorrect_count,false,true,false,47,37,37,What is 22 + 27 - 2?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-scaled-next100-10k-20260601 sample=obviousbench.arith.en.v0.public.000020 epoch=1 model=openrouter/mistralai/ministral-3b-2512,results/raw/paper-v1-scaled-next100-10k-20260601/next-004-registry-openrouter-095-mistralai-ministral-3b-2512/2026-06-02T04-26-08-00-00_barrage_jFY6HTAA47G2B7yaiK5Eng.eval
,,,answer_wrong,Mistral: Mistral Small 3.2 24B,openrouter/mistralai/mistral-small-3.2-24b-instruct,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000020,incorrect_count,false,true,false,47,27,27,What is 22 + 27 - 2?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-scaled-next100-10k-20260601 sample=obviousbench.arith.en.v0.public.000020 epoch=1 model=openrouter/mistralai/mistral-small-3.2-24b-instruct,results/raw/paper-v1-scaled-next100-10k-20260601/next-007-registry-openrouter-104-mistralai-mistral-small-3-2-24b-instruct/2026-06-02T04-26-42-00-00_barrage_jpjnPs8vjBucQxvKskntRV.eval
,,,answer_wrong,OpenAI GPT-5 mini minimal,openai/gpt-5-mini,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000020,incorrect_count,false,true,false,47,49,49,What is 22 + 27 - 2?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-scaled-next100-10k-20260601 sample=obviousbench.arith.en.v0.public.000020 epoch=1 model=openai/gpt-5-mini,results/raw/paper-v1-scaled-next100-10k-20260601/next-047-registry-openai-gpt-5-mini-minimal/2026-06-02T04-47-50-00-00_barrage_meDEFZPzQrhuM9nBzg5bBD.eval
