entry_id,source_thinking_entry_id,label,inspect_model,provider_route,control_style,thinking_depth,max_tokens,estimated_cost_usd,configured_reasoning_tokens_per_sample,estimated_reasoning_tokens_per_sample
top-thinking-001-openai-gpt-5-5-none,openai-gpt-5-5-none,OpenAI GPT-5.5 none,openai/gpt-5.5,openai,openai_reasoning_effort,none,2000,0.035745,0,0
top-thinking-002-openai-gpt-5-5-low,openai-gpt-5-5-low,OpenAI GPT-5.5 low,openai/gpt-5.5,openai,openai_reasoning_effort,low,2000,0.189345,256,64
top-thinking-003-openai-gpt-5-5-medium,openai-gpt-5-5-medium,OpenAI GPT-5.5 medium,openai/gpt-5.5,openai,openai_reasoning_effort,medium,2000,0.266145,1024,96
top-thinking-004-openai-gpt-5-5-high,openai-gpt-5-5-high,OpenAI GPT-5.5 high,openai/gpt-5.5,openai,openai_reasoning_effort,high,4168,0.419745,4096,160
top-thinking-005-openai-gpt-5-5-xhigh,openai-gpt-5-5-xhigh,OpenAI GPT-5.5 xhigh,openai/gpt-5.5,openai,openai_reasoning_effort,xhigh,8264,0.803745,8192,320
top-thinking-006-openai-gpt-5-4-none,openai-gpt-5-4-none,OpenAI GPT-5.4 none,openai/gpt-5.4,openai,openai_reasoning_effort,none,2000,0.0178725,0,0
top-thinking-007-openai-gpt-5-4-low,openai-gpt-5-4-low,OpenAI GPT-5.4 low,openai/gpt-5.4,openai,openai_reasoning_effort,low,2000,0.0946725,256,64
top-thinking-008-openai-gpt-5-4-medium,openai-gpt-5-4-medium,OpenAI GPT-5.4 medium,openai/gpt-5.4,openai,openai_reasoning_effort,medium,2000,0.1330725,1024,96
top-thinking-009-openai-gpt-5-4-high,openai-gpt-5-4-high,OpenAI GPT-5.4 high,openai/gpt-5.4,openai,openai_reasoning_effort,high,4168,0.2098725,4096,160
top-thinking-010-openai-gpt-5-4-xhigh,openai-gpt-5-4-xhigh,OpenAI GPT-5.4 xhigh,openai/gpt-5.4,openai,openai_reasoning_effort,xhigh,8264,0.4018725,8192,320
top-thinking-011-anthropic-claude-opus-4-8-low,anthropic-claude-opus-4-8-low,Claude Opus 4.8 low,anthropic/claude-opus-4-8,anthropic,anthropic_adaptive_thinking_effort,low,2000,0.064545,512,16
top-thinking-012-anthropic-claude-opus-4-8-medium,anthropic-claude-opus-4-8-medium,Claude Opus 4.8 medium,anthropic/claude-opus-4-8,anthropic,anthropic_adaptive_thinking_effort,medium,2120,0.128545,2048,48
top-thinking-013-anthropic-claude-opus-4-8-high,anthropic-claude-opus-4-8-high,Claude Opus 4.8 high,anthropic/claude-opus-4-8,anthropic,anthropic_adaptive_thinking_effort,high,8264,0.288545,8192,128
top-thinking-014-anthropic-claude-opus-4-8-xhigh,anthropic-claude-opus-4-8-xhigh,Claude Opus 4.8 xhigh,anthropic/claude-opus-4-8,anthropic,anthropic_adaptive_thinking_effort,xhigh,16456,0.544545,16384,256
top-thinking-015-anthropic-claude-opus-4-8-max,anthropic-claude-opus-4-8-max,Claude Opus 4.8 max,anthropic/claude-opus-4-8,anthropic,anthropic_adaptive_thinking_effort,max,32840,0.800545,32768,384
top-thinking-016-anthropic-claude-sonnet-4-6-low,anthropic-claude-sonnet-4-6-low,Claude Sonnet 4.6 low,anthropic/claude-sonnet-4-6,anthropic,anthropic_adaptive_thinking_effort,low,2000,0.038727,512,16
top-thinking-017-anthropic-claude-sonnet-4-6-medium,anthropic-claude-sonnet-4-6-medium,Claude Sonnet 4.6 medium,anthropic/claude-sonnet-4-6,anthropic,anthropic_adaptive_thinking_effort,medium,2120,0.077127,2048,48
top-thinking-018-anthropic-claude-sonnet-4-6-high,anthropic-claude-sonnet-4-6-high,Claude Sonnet 4.6 high,anthropic/claude-sonnet-4-6,anthropic,anthropic_adaptive_thinking_effort,high,8264,0.173127,8192,128
top-thinking-019-anthropic-claude-sonnet-4-6-max,anthropic-claude-sonnet-4-6-max,Claude Sonnet 4.6 max,anthropic/claude-sonnet-4-6,anthropic,anthropic_adaptive_thinking_effort,max,32840,0.480327,32768,384
top-thinking-020-grok-grok-4-3-none,grok-grok-4-3-none,Grok 4.3 none,grok/grok-4.3,grok,xai_reasoning_effort,none,2000,0.00573625,0,0
top-thinking-021-grok-grok-4-3-low,grok-grok-4-3-low,Grok 4.3 low,grok/grok-4.3,grok,xai_reasoning_effort,low,2000,0.03133625,256,128
top-thinking-022-grok-grok-4-3-medium,grok-grok-4-3-medium,Grok 4.3 medium,grok/grok-4.3,grok,xai_reasoning_effort,medium,2000,0.05693625,1024,256
