rank,label,display_label,model,thinking_level,barrage_profile,accuracy_pct,accuracy_ci_95,answer_accuracy_pct,format_accuracy_pct,strict_accuracy_pct,obvious_failure_rate_pct,correct,answer_correct,format_correct,strict_correct,scored_samples,provider_errors,timeouts,total_tokens,total_tokens_display,estimated_cost_usd,cost_per_correct_usd,tokens_per_correct,overthinking_index,reasoning_token_source,cost_warnings,summary_dir
1,Qwen: Qwen3 235B A22B Thinking 2507,Qwen: Qwen3 235B A22B Thinking 2507 (named thinking),openrouter/qwen/qwen3-235b-a22b-thinking-2507,named thinking,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,56916,56.92k,0.005679,0.000071,711,1.00,reported,,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-023-openrouter-118-qwen-qwen3-235b-a22b-thinking-2507
2,Gemini 3.5 Flash,Gemini 3.5 Flash (reported reasoning),google/gemini-3.5-flash,reported reasoning,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,21085,21.09k,0.007097,0.000089,264,73.43,reported,,results/summaries/paper-v1-scaled-100-10k-20260601/paper-gemini-3-5-flash
3,Tencent: Hy3 preview,Tencent: Hy3 preview (reported reasoning),openrouter/tencent/hy3-preview,reported reasoning,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,38483,38.48k,0.007494,0.000094,481,0.70,reported,,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-038-openrouter-126-tencent-hy3-preview
4,StepFun: Step 3.5 Flash,StepFun: Step 3.5 Flash (reported reasoning),openrouter/stepfun/step-3.5-flash,reported reasoning,hard_obvious_8x10_seed_20260531,98.8,93.3-99.8%,98.8,100.0,98.8,1.2,79,79,80,79,80,0,0,38922,38.92k,0.010843,0.000137,493,1.01,reported,,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-044-openrouter-032-stepfun-step-3-5-flash
5,Xiaomi: MiMo-V2.5-Pro,Xiaomi: MiMo-V2.5-Pro (reported reasoning),openrouter/xiaomi/mimo-v2.5-pro,reported reasoning,hard_obvious_8x10_seed_20260531,98.8,93.3-99.8%,98.8,96.2,95.0,1.2,79,79,77,76,80,0,0,37735,37.73k,0.014659,0.000186,478,0.96,reported,,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-080-openrouter-127-xiaomi-mimo-v2-5-pro
6,Qwen: Qwen3 30B A3B Thinking 2507,Qwen: Qwen3 30B A3B Thinking 2507 (named thinking),openrouter/qwen/qwen3-30b-a3b-thinking-2507,named thinking,hard_obvious_8x10_seed_20260531,98.8,93.3-99.8%,98.8,100.0,98.8,1.2,79,79,80,79,80,0,0,58757,58.76k,0.022322,0.000283,744,0.99,reported,,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-052-openrouter-117-qwen-qwen3-30b-a3b-thinking-2507
7,Qwen: Qwen3 Next 80B A3B Thinking,Qwen: Qwen3 Next 80B A3B Thinking (named thinking),openrouter/qwen/qwen3-next-80b-a3b-thinking,named thinking,hard_obvious_8x10_seed_20260531,98.8,93.3-99.8%,98.8,97.5,96.2,1.2,79,79,78,77,80,0,0,72911,72.91k,0.054312,0.000687,923,0.97,reported,,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-071-openrouter-116-qwen-qwen3-next-80b-a3b-thinking
8,OpenAI: gpt-oss-120b,OpenAI: gpt-oss-120b (reported reasoning),openrouter/openai/gpt-oss-120b,reported reasoning,hard_obvious_8x10_seed_20260531,97.5,91.3-99.3%,97.5,100.0,97.5,2.5,78,78,80,78,80,0,0,11648,11.65k,0.001152,0.000015,149,1.07,reported,,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-034-openrouter-048-openai-gpt-oss-120b
9,Qwen: Qwen3 14B,Qwen: Qwen3 14B (reported reasoning),openrouter/qwen/qwen3-14b,reported reasoning,hard_obvious_8x10_seed_20260531,97.5,91.3-99.3%,97.5,97.5,95.0,2.5,78,78,78,76,80,0,0,29024,29.02k,0.006438,0.000083,372,0.91,reported,,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-039-openrouter-059-qwen-qwen3-14b
10,Qwen: Qwen3 30B A3B,Qwen: Qwen3 30B A3B (reported reasoning),openrouter/qwen/qwen3-30b-a3b,reported reasoning,hard_obvious_8x10_seed_20260531,97.5,91.3-99.3%,97.5,98.8,96.2,2.5,78,78,79,77,80,0,0,31598,31.60k,0.012875,0.000165,405,0.92,reported,,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-061-openrouter-057-qwen-qwen3-30b-a3b
