rank,label,display_label,model,thinking_level,barrage_profile,accuracy_pct,accuracy_ci_95,answer_accuracy_pct,format_accuracy_pct,strict_accuracy_pct,obvious_failure_rate_pct,correct,answer_correct,format_correct,strict_correct,scored_samples,provider_errors,timeouts,total_tokens,total_tokens_display,estimated_cost_usd,cost_per_correct_usd,tokens_per_correct,overthinking_index,reasoning_token_source,cost_warnings,summary_dir
1,Google: Gemini 3.1 Flash Lite medium,Google: Gemini 3.1 Flash Lite medium (thinking=medium),openrouter/google/gemini-3.1-flash-lite,thinking=medium,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,13870,13.87k,0.01714875,0.00021436,173,0.98,reported,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-036-openrouter-google-gemini-3-1-flash-lite-medium
2,Google: Gemini 3.1 Flash Lite high,Google: Gemini 3.1 Flash Lite high (thinking=high),openrouter/google/gemini-3.1-flash-lite,thinking=high,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,19881,19.88k,0.0261115,0.00032639,249,0.99,reported,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-037-openrouter-google-gemini-3-1-flash-lite-high
3,OpenAI GPT-5.5 low,OpenAI GPT-5.5 low (thinking=low),openai/gpt-5.5,thinking=low,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,5663,5.66k,0.092415,0.00115519,71,0.76,reported,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-002-openai-gpt-5-5-low
4,Google: Gemini 3.5 Flash low,Google: Gemini 3.5 Flash low (thinking=low),openrouter/google/gemini-3.5-flash,thinking=low,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,12810,12.81k,0.093315,0.00116644,160,0.98,reported,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-029-openrouter-google-gemini-3-5-flash-low
5,OpenAI GPT-5.5 medium,OpenAI GPT-5.5 medium (thinking=medium),openai/gpt-5.5,thinking=medium,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,6226,6.23k,0.107255,0.00134069,78,0.79,reported,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-003-openai-gpt-5-5-medium
6,OpenAI GPT-5.5 high,OpenAI GPT-5.5 high (thinking=high),openai/gpt-5.5,thinking=high,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,7049,7.05k,0.133995,0.00167494,88,0.84,reported,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-004-openai-gpt-5-5-high
7,Google: Gemini 3.1 Pro Preview Custom Tools low,Google: Gemini 3.1 Pro Preview Custom Tools low (thinking=low),openrouter/google/gemini-3.1-pro-preview-customtools,thinking=low,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,96.2,96.2,0.0,80,80,77,77,80,0,0,14010,14.01k,0.13772,0.0017215,175,0.98,reported,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-032-openrouter-google-gemini-3-1-pro-preview-customtools-low
8,Google: Gemini 3.5 Flash high,Google: Gemini 3.5 Flash high (thinking=high),openrouter/google/gemini-3.5-flash,thinking=high,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,19584,19.58k,0.1545735,0.00193217,245,0.99,reported,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-031-openrouter-google-gemini-3-5-flash-high
9,OpenAI GPT-5.5 xhigh,OpenAI GPT-5.5 xhigh (thinking=xhigh),openai/gpt-5.5,thinking=xhigh,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,8155,8.15k,0.16615,0.00207687,102,0.87,reported,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-005-openai-gpt-5-5-xhigh
10,Google: Gemini 3.1 Pro Preview Custom Tools high,Google: Gemini 3.1 Pro Preview Custom Tools high (thinking=high),openrouter/google/gemini-3.1-pro-preview-customtools,thinking=high,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,17391,17.39k,0.178682,0.00223353,217,0.98,reported,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-033-openrouter-google-gemini-3-1-pro-preview-customtools-high
11,OpenAI GPT-5.4 xhigh,OpenAI GPT-5.4 xhigh (thinking=xhigh),openai/gpt-5.4,thinking=xhigh,hard_obvious_8x10_seed_20260531,98.8,93.3-99.8%,98.8,100.0,98.8,1.2,79,79,80,79,80,0,0,9320,9.32k,0.1000375,0.0012663,118,0.90,reported,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-010-openai-gpt-5-4-xhigh
12,Google: Gemini 3.5 Flash medium,Google: Gemini 3.5 Flash medium (thinking=medium),openrouter/google/gemini-3.5-flash,thinking=medium,hard_obvious_8x10_seed_20260531,98.8,93.3-99.8%,98.8,100.0,98.8,1.2,79,79,80,79,80,0,0,19075,19.07k,0.1499925,0.00189864,241,0.99,reported,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-030-openrouter-google-gemini-3-5-flash-medium
13,OpenAI GPT-5.4 medium,OpenAI GPT-5.4 medium (thinking=medium),openai/gpt-5.4,thinking=medium,hard_obvious_8x10_seed_20260531,97.5,91.3-99.3%,97.5,100.0,97.5,2.5,78,78,80,78,80,0,0,6657,6.66k,0.060605,0.00077699,85,0.82,reported,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-008-openai-gpt-5-4-medium
14,OpenAI GPT-5.4 high,OpenAI GPT-5.4 high (thinking=high),openai/gpt-5.4,thinking=high,hard_obvious_8x10_seed_20260531,97.5,91.3-99.3%,97.5,100.0,97.5,2.5,78,78,80,78,80,0,0,7403,7.40k,0.0712825,0.00091388,95,0.85,reported,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-009-openai-gpt-5-4-high
15,Google: Gemini 3.1 Flash Lite low,Google: Gemini 3.1 Flash Lite low (thinking=low),openrouter/google/gemini-3.1-flash-lite,thinking=low,hard_obvious_8x10_seed_20260531,96.2,89.5-98.7%,96.2,100.0,96.2,3.8,77,77,80,77,80,0,0,12977,12.98k,0.0157105,0.00020403,169,0.98,reported,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-035-openrouter-google-gemini-3-1-flash-lite-low
16,OpenAI GPT-5.4 low,OpenAI GPT-5.4 low (thinking=low),openai/gpt-5.4,thinking=low,hard_obvious_8x10_seed_20260531,96.2,89.5-98.7%,96.2,100.0,96.2,3.8,77,77,80,77,80,0,0,5026,5.03k,0.03614,0.00046935,65,0.68,reported,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-007-openai-gpt-5-4-low
17,Claude Opus 4.8 high,Claude Opus 4.8 high (thinking=high),anthropic/claude-opus-4-8,thinking=high,hard_obvious_8x10_seed_20260531,92.5,84.6-96.5%,92.5,100.0,92.5,7.5,74,74,80,74,80,0,0,4951,4.95k,0.032995,0.00044588,67,0.00,not_reported_or_zero,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-013-anthropic-claude-opus-4-8-high
18,Claude Opus 4.8 low,Claude Opus 4.8 low (thinking=low),anthropic/claude-opus-4-8,thinking=low,hard_obvious_8x10_seed_20260531,92.5,84.6-96.5%,92.5,100.0,92.5,7.5,74,74,80,74,80,0,0,5012,5.01k,0.03334,0.00045054,68,0.00,not_reported_or_zero,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-011-anthropic-claude-opus-4-8-low
19,Claude Opus 4.8 medium,Claude Opus 4.8 medium (thinking=medium),anthropic/claude-opus-4-8,thinking=medium,hard_obvious_8x10_seed_20260531,92.5,84.6-96.5%,92.5,100.0,92.5,7.5,74,74,80,74,80,0,0,5080,5.08k,0.03386,0.00045757,69,0.00,not_reported_or_zero,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-012-anthropic-claude-opus-4-8-medium
20,Claude Opus 4.8 xhigh,Claude Opus 4.8 xhigh (thinking=xhigh),anthropic/claude-opus-4-8,thinking=xhigh,hard_obvious_8x10_seed_20260531,92.5,84.6-96.5%,92.5,100.0,92.5,7.5,74,74,80,74,80,0,0,4987,4.99k,0.033975,0.00045912,67,0.00,not_reported_or_zero,,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-014-anthropic-claude-opus-4-8-xhigh
