label,model,summary_dir
OpenAI GPT-5.4 nano none trial 01,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-none-trial-01
OpenAI GPT-5.4 nano none trial 02,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-none-trial-02
OpenAI GPT-5.4 nano none trial 03,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-none-trial-03
OpenAI GPT-5.4 nano none trial 04,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-none-trial-04
OpenAI GPT-5.4 nano none trial 05,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-none-trial-05
OpenAI GPT-5.4 nano low trial 01,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-low-trial-01
OpenAI GPT-5.4 nano low trial 02,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-low-trial-02
OpenAI GPT-5.4 nano low trial 03,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-low-trial-03
OpenAI GPT-5.4 nano low trial 04,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-low-trial-04
OpenAI GPT-5.4 nano low trial 05,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-low-trial-05
OpenAI GPT-5.4 nano medium trial 01,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-medium-trial-01
OpenAI GPT-5.4 nano medium trial 02,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-medium-trial-02
OpenAI GPT-5.4 nano medium trial 03,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-medium-trial-03
OpenAI GPT-5.4 nano medium trial 04,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-medium-trial-04
OpenAI GPT-5.4 nano medium trial 05,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-medium-trial-05
OpenAI GPT-5.4 nano high trial 01,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-high-trial-01
OpenAI GPT-5.4 nano high trial 02,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-high-trial-02
OpenAI GPT-5.4 nano high trial 03,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-high-trial-03
OpenAI GPT-5.4 nano high trial 04,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-high-trial-04
OpenAI GPT-5.4 nano high trial 05,openai/gpt-5.4-nano,results/summaries/gpt-5-4-nano-passk-8x28-20260606/runs/gpt-5-4-nano-high-trial-05
