curve,model,mode,sample_id,family,answer_successes,strict_successes,correct_successes,trials,question
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,low,obviousbench.char_count.en.v0.public.000055,character_count,2,2,2,3,How many a's are in assesses?
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,low,obviousbench.spell.en.v0.public.000017,spelling_transform,2,2,2,3,Write orange without the letter e.
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,low,obviousbench.spell.en.v0.public.000020,spelling_transform,1,0,1,3,Write committee without the letter e.
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,low,obviousbench.spell.en.v0.public.000024,spelling_transform,2,2,2,3,Spell bookkeeper backwards.
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,low,obviousbench.format.en.v0.public.000004,format_compliance,3,2,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,low,obviousbench.format.en.v0.public.000012,format_compliance,3,2,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,low,obviousbench.format.en.v0.public.000028,format_compliance,3,2,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,low,obviousbench.format.en.v0.public.000032,format_compliance,3,2,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,low,obviousbench.format.en.v0.public.000036,format_compliance,3,2,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,low,obviousbench.spell.en.v0.public.000033,spelling_transform,3,1,3,3,Spell cabinet backwards.
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,medium,obviousbench.char_count.en.v0.public.000026,character_count,2,2,2,3,How many c's are in successes?
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,medium,obviousbench.char_count.en.v0.public.000075,character_count,1,1,1,3,How many u's are in successes?
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,medium,obviousbench.constraint.en.v0.public.000042,constraint_awareness,1,1,1,3,"The campus store is downstairs. If I want to exchange my backpack, should I carry my books by hand or wear or bring the backpack?

A. Carry my books by hand
B. Wear or bring the backpack
C. Bring only the receipt
D. It is impossible"
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,medium,obviousbench.spell.en.v0.public.000006,spelling_transform,1,0,1,3,Replace every a in necessary with @.
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,medium,obviousbench.spell.en.v0.public.000017,spelling_transform,1,1,1,3,Write orange without the letter e.
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,medium,obviousbench.format.en.v0.public.000010,format_compliance,3,2,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,medium,obviousbench.format.en.v0.public.000026,format_compliance,3,2,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,medium,obviousbench.format.en.v0.public.000028,format_compliance,3,2,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,medium,obviousbench.format.en.v0.public.000032,format_compliance,3,2,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,medium,obviousbench.format.en.v0.public.000038,format_compliance,3,2,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,medium,obviousbench.format.en.v0.public.000044,format_compliance,3,2,3,3,"Return a JSON object with one key, ""answer"", whose value is ""3""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,medium,obviousbench.format.en.v0.public.000046,format_compliance,3,2,3,3,"Return a JSON object with exactly one key, ""answer"", whose value is ""blue""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,medium,obviousbench.format.en.v0.public.000050,format_compliance,3,2,3,3,"Return a JSON object with exactly one key, ""answer"", whose value is ""true""."
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,medium,obviousbench.spell.en.v0.public.000005,spelling_transform,3,2,3,3,Write necessary without the letter e.
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,obviousbench.constraint.en.v0.public.000010,constraint_awareness,1,0,1,3,"The motorcycle mechanic is one block away. If my motorcycle needs an oil change, should I walk there or ride the motorcycle there?

A. Walk there
B. Ride the motorcycle there
C. Take a bus
D. It is impossible"
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,obviousbench.spell.en.v0.public.000006,spelling_transform,2,0,2,3,Replace every a in necessary with @.
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,obviousbench.spell.en.v0.public.000027,spelling_transform,2,2,2,3,Spell reliability backwards.
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,obviousbench.constraint.en.v0.public.000037,constraint_awareness,3,1,3,3,"The engraving kiosk is beside the food court. If I want my bracelet engraved, should I wear a different bracelet or wear or bring this bracelet?

A. Wear a different bracelet
B. Wear or bring this bracelet
C. Bring only the text to engrave
D. It is impossible"
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,obviousbench.constraint.en.v0.public.000048,constraint_awareness,3,2,3,3,"The golf shop is beside the practice green. If my putter needs a new grip, should I walk over with only golf balls or carry or bring the putter?

A. Walk over with only golf balls
B. Carry or bring the putter
C. Bring only a scorecard
D. It is impossible"
