label,model,summary_dir
Qwen: Qwen3 Coder 30B A3B Instruct,openrouter/qwen/qwen3-coder-30b-a3b-instruct,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-040-openrouter-050-qwen-qwen3-coder-30b-a3b-instruct
OpenAI: gpt-oss-safeguard-20b,openrouter/openai/gpt-oss-safeguard-20b,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-043-openrouter-039-openai-gpt-oss-safeguard-20b
Nous: Hermes 3 70B Instruct,openrouter/nousresearch/hermes-3-llama-3.1-70b,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-045-openrouter-156-nousresearch-hermes-3-llama-3-1-70b
Meta: Llama 3.2 3B Instruct,openrouter/meta-llama/llama-3.2-3b-instruct,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-047-openrouter-071-meta-llama-llama-3-2-3b-instruct
NVIDIA: Llama 3.3 Nemotron Super 49B V1.5,openrouter/nvidia/llama-3.3-nemotron-super-49b-v1.5,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-053-openrouter-043-nvidia-llama-3-3-nemotron-super-49b-v1-5
NVIDIA: Nemotron 3 Super,openrouter/nvidia/nemotron-3-super-120b-a12b,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-060-openrouter-029-nvidia-nemotron-3-super-120b-a12b
AllenAI: Olmo 3 32B Think,openrouter/allenai/olmo-3-32b-think,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-063-openrouter-038-allenai-olmo-3-32b-think
Qwen2.5 Coder 32B Instruct,openrouter/qwen/qwen-2.5-coder-32b-instruct,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-085-openrouter-067-qwen-qwen-2-5-coder-32b-instruct
AionLabs: Aion-1.0-Mini,openrouter/aion-labs/aion-1.0-mini,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-091-openrouter-119-aion-labs-aion-1-0-mini
MoonshotAI: Kimi K2 0711,openrouter/moonshotai/kimi-k2,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-099-openrouter-149-moonshotai-kimi-k2
