label,family,accuracy_pct,correct,samples,scored_samples,provider_errors,timeouts,failures,estimated_cost_usd
AI21: Jamba Large 1.7,arithmetic,85.71,24,28,28,0,0,4,0.00228
AI21: Jamba Large 1.7,character_count,35.71,10,28,28,0,0,18,0.00204
AI21: Jamba Large 1.7,constraint_awareness,100.00,28,28,28,0,0,0,0.003914
AI21: Jamba Large 1.7,format_compliance,100.00,28,28,28,0,0,0,0.000128
AI21: Jamba Large 1.7,negation,78.57,22,28,28,0,0,6,0.000728
AI21: Jamba Large 1.7,ordering,100.00,28,28,28,0,0,0,0.000514
AI21: Jamba Large 1.7,spelling_transform,53.57,15,28,28,0,0,13,0.002176
AI21: Jamba Large 1.7,word_count,100.00,28,28,28,0,0,0,0.000392
AionLabs: Aion-RP 1.0 (8B),arithmetic,46.43,13,28,28,0,0,15,0.0013816
AionLabs: Aion-RP 1.0 (8B),character_count,32.14,9,28,28,0,0,19,0.0017192
AionLabs: Aion-RP 1.0 (8B),constraint_awareness,35.71,10,28,28,0,0,18,0.0036208
AionLabs: Aion-RP 1.0 (8B),format_compliance,100.00,28,28,28,0,0,0,0.00036
AionLabs: Aion-RP 1.0 (8B),negation,14.29,4,28,28,0,0,24,0.0009696
AionLabs: Aion-RP 1.0 (8B),ordering,92.86,26,28,28,0,0,2,0.00072
AionLabs: Aion-RP 1.0 (8B),spelling_transform,7.14,2,28,28,0,0,26,0.0017632
AionLabs: Aion-RP 1.0 (8B),word_count,100.00,28,28,28,0,0,0,0.000308
Anthropic Claude Haiku 4.5,arithmetic,100.00,28,28,28,0,0,0,0.001898
Anthropic Claude Haiku 4.5,character_count,60.71,17,28,28,0,0,11,0.001716
Anthropic Claude Haiku 4.5,constraint_awareness,89.29,25,28,28,0,0,3,0.003817
Anthropic Claude Haiku 4.5,format_compliance,100.00,28,28,28,0,0,0,0.000757
Anthropic Claude Haiku 4.5,negation,100.00,28,28,28,0,0,0,0.000906
Anthropic Claude Haiku 4.5,ordering,100.00,28,28,28,0,0,0,0.001252
Anthropic Claude Haiku 4.5,spelling_transform,64.29,18,28,28,0,0,10,0.002216
Anthropic Claude Haiku 4.5,word_count,100.00,28,28,28,0,0,0,0.00049
Anthropic Claude Opus 4.6,arithmetic,100.00,28,28,28,0,0,0,0.00585
Anthropic Claude Opus 4.6,character_count,71.43,20,28,28,0,0,8,0.02377
Anthropic Claude Opus 4.6,constraint_awareness,89.29,25,28,28,0,0,3,0.01018
Anthropic Claude Opus 4.6,format_compliance,100.00,28,28,28,0,0,0,0.00034
Anthropic Claude Opus 4.6,negation,100.00,28,28,28,0,0,0,0.001755
Anthropic Claude Opus 4.6,ordering,100.00,28,28,28,0,0,0,0.001455
Anthropic Claude Opus 4.6,spelling_transform,85.71,24,28,28,0,0,4,0.00618
Anthropic Claude Opus 4.6,word_count,100.00,28,28,28,0,0,0,0.00104
Anthropic Claude Opus 4.7,arithmetic,100.00,28,28,28,0,0,0,0.00747
Anthropic Claude Opus 4.7,character_count,75.00,21,28,28,0,0,7,0.007265
Anthropic Claude Opus 4.7,constraint_awareness,92.86,26,28,28,0,0,2,0.01372
Anthropic Claude Opus 4.7,format_compliance,100.00,28,28,28,0,0,0,0.000575
Anthropic Claude Opus 4.7,negation,100.00,28,28,28,0,0,0,0.00233
Anthropic Claude Opus 4.7,ordering,100.00,28,28,28,0,0,0,0.00204
Anthropic Claude Opus 4.7,spelling_transform,96.43,27,28,28,0,0,1,0.008645
Anthropic Claude Opus 4.7,word_count,100.00,28,28,28,0,0,0,0.001415
Anthropic Claude Opus 4.8,arithmetic,100.00,28,28,28,0,0,0,0.00567
Anthropic Claude Opus 4.8,character_count,85.71,24,28,28,0,0,4,0.005465
Anthropic Claude Opus 4.8,constraint_awareness,100.00,28,28,28,0,0,0,0.01237
Anthropic Claude Opus 4.8,format_compliance,100.00,28,28,28,0,0,0,0.0005
Anthropic Claude Opus 4.8,negation,100.00,28,28,28,0,0,0,0.001955
Anthropic Claude Opus 4.8,ordering,100.00,28,28,28,0,0,0,0.001815
Anthropic Claude Opus 4.8,spelling_transform,82.14,23,28,28,0,0,5,0.007145
Anthropic Claude Opus 4.8,word_count,100.00,28,28,28,0,0,0,0.001115
Anthropic Claude Sonnet 4.6,arithmetic,100.00,28,28,28,0,0,0,0.005694
Anthropic Claude Sonnet 4.6,character_count,28.57,8,28,28,0,0,20,0.007608
Anthropic Claude Sonnet 4.6,constraint_awareness,89.29,25,28,28,0,0,3,0.010221
Anthropic Claude Sonnet 4.6,format_compliance,100.00,28,28,28,0,0,0,0.001821
Anthropic Claude Sonnet 4.6,negation,100.00,28,28,28,0,0,0,0.002718
Anthropic Claude Sonnet 4.6,ordering,100.00,28,28,28,0,0,0,0.004029
Anthropic Claude Sonnet 4.6,spelling_transform,89.29,25,28,28,0,0,3,0.006663
Anthropic Claude Sonnet 4.6,word_count,100.00,28,28,28,0,0,0,0.00147
Arcee AI: Trinity Mini,arithmetic,100.00,28,28,28,0,0,0,0.001496
Arcee AI: Trinity Mini,character_count,85.71,24,28,28,0,0,4,0.002417
Arcee AI: Trinity Mini,constraint_awareness,42.86,12,28,28,0,0,16,0.008524
Arcee AI: Trinity Mini,format_compliance,100.00,28,28,28,0,0,0,0.000265
Arcee AI: Trinity Mini,negation,82.14,23,28,28,0,0,5,0.003665
Arcee AI: Trinity Mini,ordering,100.00,28,28,28,0,0,0,0.00107
Arcee AI: Trinity Mini,spelling_transform,75.00,21,28,28,0,0,7,0.003675
Arcee AI: Trinity Mini,word_count,100.00,28,28,28,0,0,0,0.00036
Baidu: ERNIE 4.5 300B A47B ,arithmetic,0.00,0,28,28,28,0,28,0.0
Baidu: ERNIE 4.5 300B A47B ,character_count,0.00,0,28,28,28,0,28,0.0
Baidu: ERNIE 4.5 300B A47B ,constraint_awareness,0.00,0,28,28,28,0,28,0.0
Baidu: ERNIE 4.5 300B A47B ,format_compliance,0.00,0,28,28,28,0,28,0.0
Baidu: ERNIE 4.5 300B A47B ,negation,0.00,0,28,28,28,0,28,0.0
Baidu: ERNIE 4.5 300B A47B ,ordering,0.00,0,28,28,28,0,28,0.0
Baidu: ERNIE 4.5 300B A47B ,spelling_transform,0.00,0,28,28,28,0,28,0.0
Baidu: ERNIE 4.5 300B A47B ,word_count,0.00,0,28,28,28,0,28,0.0
Baidu: ERNIE 4.5 VL 424B A47B ,arithmetic,100.00,28,28,28,0,0,0,0.00029743
Baidu: ERNIE 4.5 VL 424B A47B ,character_count,32.14,9,28,28,0,0,19,0.00025098
Baidu: ERNIE 4.5 VL 424B A47B ,constraint_awareness,92.86,26,28,28,0,0,2,0.00064914
Baidu: ERNIE 4.5 VL 424B A47B ,format_compliance,100.00,28,28,28,0,0,0,1.889e-05
Baidu: ERNIE 4.5 VL 424B A47B ,negation,100.00,28,28,28,0,0,0,0.00010411
Baidu: ERNIE 4.5 VL 424B A47B ,ordering,100.00,28,28,28,0,0,0,7.243e-05
Baidu: ERNIE 4.5 VL 424B A47B ,spelling_transform,75.00,21,28,28,0,0,7,0.00028492
Baidu: ERNIE 4.5 VL 424B A47B ,word_count,100.00,28,28,28,0,0,0,5.205e-05
ByteDance: UI-TARS 7B ,arithmetic,89.29,25,28,28,0,0,3,6.84e-05
ByteDance: UI-TARS 7B ,character_count,28.57,8,28,28,0,0,20,6.48e-05
ByteDance: UI-TARS 7B ,constraint_awareness,89.29,25,28,28,0,0,3,0.0001529
ByteDance: UI-TARS 7B ,format_compliance,100.00,28,28,28,0,0,0,4.6e-06
ByteDance: UI-TARS 7B ,negation,96.43,27,28,28,0,0,1,2.3e-05
ByteDance: UI-TARS 7B ,ordering,82.14,23,28,28,0,0,5,1.51e-05
ByteDance: UI-TARS 7B ,spelling_transform,14.29,4,28,28,0,0,24,6.77e-05
ByteDance: UI-TARS 7B ,word_count,100.00,28,28,28,0,0,0,1.28e-05
Claude Opus 4.8 high,arithmetic,100.00,28,28,28,0,0,0,0.00939
Claude Opus 4.8 high,character_count,82.14,23,28,28,0,0,5,0.008545
Claude Opus 4.8 high,constraint_awareness,100.00,28,28,28,0,0,0,0.0231
Claude Opus 4.8 high,format_compliance,100.00,28,28,28,0,0,0,0.015755
Claude Opus 4.8 high,negation,100.00,28,28,28,0,0,0,0.010945
Claude Opus 4.8 high,ordering,100.00,28,28,28,0,0,0,0.01563
Claude Opus 4.8 high,spelling_transform,89.29,25,28,28,0,0,3,0.02764
Claude Opus 4.8 high,word_count,100.00,28,28,28,0,0,0,0.01023
Claude Opus 4.8 low,arithmetic,100.00,28,28,28,0,0,0,0.00939
Claude Opus 4.8 low,character_count,78.57,22,28,28,0,0,6,0.009895
Claude Opus 4.8 low,constraint_awareness,100.00,28,28,28,0,0,0,0.020425
Claude Opus 4.8 low,format_compliance,100.00,28,28,28,0,0,0,0.015755
Claude Opus 4.8 low,negation,100.00,28,28,28,0,0,0,0.010945
