id,label,provider_route,inspect_model,model_id,thinking_depth,control_style,input_price_per_mtok_usd,output_price_per_mtok_usd,reasoning_price_per_mtok_usd,configured_reasoning_tokens_per_sample,estimated_reasoning_tokens_per_sample,calibration_source,estimated_cost_usd,estimated_cost_per_sample_usd,pricing_source,cost_warnings
openai-gpt-5-5-none,OpenAI GPT-5.5 none,openai,openai/gpt-5.5,gpt-5.5,none,openai_reasoning_effort,5,30,30,0,0,measured_usage_with_conservative_buffer:openai,0.035745,0.00044681,runcost_default_price_cards,
openai-gpt-5-5-low,OpenAI GPT-5.5 low,openai,openai/gpt-5.5,gpt-5.5,low,openai_reasoning_effort,5,30,30,256,64,measured_usage_with_conservative_buffer:openai,0.189345,0.00236681,runcost_default_price_cards,
openai-gpt-5-5-medium,OpenAI GPT-5.5 medium,openai,openai/gpt-5.5,gpt-5.5,medium,openai_reasoning_effort,5,30,30,1024,96,measured_usage_with_conservative_buffer:openai,0.266145,0.00332681,runcost_default_price_cards,
openai-gpt-5-5-high,OpenAI GPT-5.5 high,openai,openai/gpt-5.5,gpt-5.5,high,openai_reasoning_effort,5,30,30,4096,160,measured_usage_with_conservative_buffer:openai,0.419745,0.00524681,runcost_default_price_cards,
openai-gpt-5-5-xhigh,OpenAI GPT-5.5 xhigh,openai,openai/gpt-5.5,gpt-5.5,xhigh,openai_reasoning_effort,5,30,30,8192,320,measured_usage_with_conservative_buffer:openai,0.803745,0.01004681,runcost_default_price_cards,
openai-gpt-5-4-none,OpenAI GPT-5.4 none,openai,openai/gpt-5.4,gpt-5.4,none,openai_reasoning_effort,2.5,15,15,0,0,measured_usage_with_conservative_buffer:openai,0.0178725,0.00022341,runcost_default_price_cards,
openai-gpt-5-4-low,OpenAI GPT-5.4 low,openai,openai/gpt-5.4,gpt-5.4,low,openai_reasoning_effort,2.5,15,15,256,64,measured_usage_with_conservative_buffer:openai,0.0946725,0.00118341,runcost_default_price_cards,
openai-gpt-5-4-medium,OpenAI GPT-5.4 medium,openai,openai/gpt-5.4,gpt-5.4,medium,openai_reasoning_effort,2.5,15,15,1024,96,measured_usage_with_conservative_buffer:openai,0.1330725,0.00166341,runcost_default_price_cards,
openai-gpt-5-4-high,OpenAI GPT-5.4 high,openai,openai/gpt-5.4,gpt-5.4,high,openai_reasoning_effort,2.5,15,15,4096,160,measured_usage_with_conservative_buffer:openai,0.2098725,0.00262341,runcost_default_price_cards,
openai-gpt-5-4-xhigh,OpenAI GPT-5.4 xhigh,openai,openai/gpt-5.4,gpt-5.4,xhigh,openai_reasoning_effort,2.5,15,15,8192,320,measured_usage_with_conservative_buffer:openai,0.4018725,0.00502341,runcost_default_price_cards,
