id,label,provider_route,inspect_model,total_samples,billable_samples,cache_hits,estimated_billable_cost_usd,pricing_source,warnings
expand222-scaled-060-openrouter-029-nvidia-nemotron-3-super-120b-a12b,NVIDIA: Nemotron 3 Super,openrouter,openrouter/nvidia/nemotron-3-super-120b-a12b,224,1,223,0.000002,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-overline-003-openai-gpt-5-4-nano-high,OpenAI GPT-5.4 nano high,openai,openai/gpt-5.4-nano,224,224,0,0.012956,runcost,
expand222-scaled-023-openrouter-118-qwen-qwen3-235b-a22b-thinking-2507,Qwen: Qwen3 235B A22B Thinking 2507,openrouter,openrouter/qwen/qwen3-235b-a22b-thinking-2507,224,224,0,0.000871,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-038-openrouter-126-tencent-hy3-preview,Tencent: Hy3 preview,openrouter,openrouter/tencent/hy3-preview,224,224,0,0.000400,runcost,No price found for output_reasoning_tokens (token).
expand222-top-thinking-036-openrouter-google-gemini-3-1-flash-lite-medium,Google: Gemini 3.1 Flash Lite medium,openrouter,openrouter/google/gemini-3.1-flash-lite,224,98,126,0.006828,runcost,
expand222-next-033-registry-openrouter-170-z-ai-glm-4-6v,Z.ai: GLM 4.6V,openrouter,openrouter/z-ai/glm-4.6v,224,98,126,0.000799,runcost,No price found for output_reasoning_tokens (token).
expand222-top-thinking-037-openrouter-google-gemini-3-1-flash-lite-high,Google: Gemini 3.1 Flash Lite high,openrouter,openrouter/google/gemini-3.1-flash-lite,224,98,126,0.006828,runcost,
expand222-next-060-registry-gemini-3-flash-preview,Gemini 3 Flash Preview,gemini,google/gemini-3-flash-preview,224,98,126,0.001308,runcost,No price found for output_reasoning_tokens (token).
expand222-next-049-registry-openrouter-169-moonshotai-kimi-k2-5,MoonshotAI: Kimi K2.5,openrouter,openrouter/moonshotai/kimi-k2.5,224,98,126,0.001081,runcost,No price found for output_reasoning_tokens (token).
expand222-next-065-registry-openrouter-164-moonshotai-kimi-k2-6,MoonshotAI: Kimi K2.6,openrouter,openrouter/moonshotai/kimi-k2.6,224,98,126,0.002032,runcost,No price found for output_reasoning_tokens (token).
expand222-top-thinking-002-openai-gpt-5-5-low,OpenAI GPT-5.5 low,openai,openai/gpt-5.5,224,98,126,0.136563,runcost,
expand222-top-thinking-029-openrouter-google-gemini-3-5-flash-low,Google: Gemini 3.5 Flash low,openrouter,openrouter/google/gemini-3.5-flash,224,98,126,0.040969,runcost,
expand222-next-085-registry-openai-gpt-5-5-low,OpenAI GPT-5.5 low,openai,openai/gpt-5.5,224,98,126,0.136563,runcost,
expand222-top-thinking-003-openai-gpt-5-5-medium,OpenAI GPT-5.5 medium,openai,openai/gpt-5.5,224,98,126,0.119325,runcost,
expand222-next-048-registry-openrouter-166-qwen-qwen3-6-plus,Qwen: Qwen3.6 Plus,openrouter,openrouter/qwen/qwen3.6-plus,224,98,126,0.000828,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-top-thinking-004-openai-gpt-5-5-high,OpenAI GPT-5.5 high,openai,openai/gpt-5.5,224,98,126,0.173110,runcost,
expand222-top-thinking-032-openrouter-google-gemini-3-1-pro-preview-customtools-low,Google: Gemini 3.1 Pro Preview Custom Tools low,openrouter,openrouter/google/gemini-3.1-pro-preview-customtools,224,98,126,0.054625,runcost,
expand222-top-thinking-031-openrouter-google-gemini-3-5-flash-high,Google: Gemini 3.5 Flash high,openrouter,openrouter/google/gemini-3.5-flash,224,98,126,0.040969,runcost,
expand222-next-067-registry-openrouter-178-qwen-qwen3-7-max,Qwen: Qwen3.7 Max,openrouter,openrouter/qwen/qwen3.7-max,224,98,126,0.003357,runcost,No price found for output_reasoning_tokens (token).
expand222-next-063-registry-openrouter-128-z-ai-glm-5-1,Z.ai: GLM 5.1,openrouter,openrouter/z-ai/glm-5.1,224,98,126,0.002622,runcost,No price found for output_reasoning_tokens (token).
expand222-paper-gemini-3-5-flash,Gemini 3.5 Flash,gemini,google/gemini-3.5-flash,224,224,0,0.008971,runcost,No price found for output_reasoning_tokens (token).
expand222-top-thinking-005-openai-gpt-5-5-xhigh,OpenAI GPT-5.5 xhigh,openai,openai/gpt-5.5,224,98,126,0.136563,runcost,
expand222-top-thinking-033-openrouter-google-gemini-3-1-pro-preview-customtools-high,Google: Gemini 3.1 Pro Preview Custom Tools high,openrouter,openrouter/google/gemini-3.1-pro-preview-customtools,224,98,126,0.054625,runcost,
expand222-next-071-registry-openrouter-179-qwen-qwen3-6-max-preview,Qwen: Qwen3.6 Max Preview,openrouter,openrouter/qwen/qwen3.6-max-preview,224,98,126,0.002650,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-overline-006-openai-gpt-5-4-nano-xhigh,OpenAI GPT-5.4 nano xhigh,openai,openai/gpt-5.4-nano,224,224,0,0.012956,runcost,
expand222-next-039-registry-openrouter-080-minimax-minimax-m3,MiniMax: MiniMax M3,openrouter,openrouter/minimax/minimax-m3,224,0,224,0.000000,panel_price_metadata,runcost price card missing; used panel price metadata
expand222-scaled-044-openrouter-032-stepfun-step-3-5-flash,StepFun: Step 3.5 Flash,openrouter,openrouter/stepfun/step-3.5-flash,224,224,0,0.000556,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-080-openrouter-127-xiaomi-mimo-v2-5-pro,Xiaomi: MiMo-V2.5-Pro,openrouter,openrouter/xiaomi/mimo-v2.5-pro,224,224,0,0.002539,runcost,No price found for output_reasoning_tokens (token).
expand222-next-056-registry-gemini-2-5-flash,Gemini 2.5 Flash,gemini,google/gemini-2.5-flash,224,98,126,0.000785,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-052-openrouter-117-qwen-qwen3-30b-a3b-thinking-2507,Qwen: Qwen3 30B A3B Thinking 2507,openrouter,openrouter/qwen/qwen3-30b-a3b-thinking-2507,224,224,0,0.000591,runcost,No price found for output_reasoning_tokens (token).
expand222-next-098-thinking-openrouter-qwen-qwen3-6-flash-low,Qwen: Qwen3.6 Flash low_budget_512,openrouter,openrouter/qwen/qwen3.6-flash,224,98,126,0.000478,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-064-registry-openrouter-161-moonshotai-kimi-latest,MoonshotAI Kimi Latest,openrouter,openrouter/~moonshotai/kimi-latest,224,98,126,0.002032,runcost,No price found for output_reasoning_tokens (token).
expand222-top-thinking-010-openai-gpt-5-4-xhigh,OpenAI GPT-5.4 xhigh,openai,openai/gpt-5.4,224,98,126,0.068281,runcost,
expand222-scaled-071-openrouter-116-qwen-qwen3-next-80b-a3b-thinking,Qwen: Qwen3 Next 80B A3B Thinking,openrouter,openrouter/qwen/qwen3-next-80b-a3b-thinking,224,224,0,0.000568,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-046-registry-openrouter-162-qwen-qwen3-5-plus-20260420,Qwen: Qwen3.5 Plus 2026-04-20,openrouter,openrouter/qwen/qwen3.5-plus-20260420,224,98,126,0.000764,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-top-thinking-030-openrouter-google-gemini-3-5-flash-medium,Google: Gemini 3.5 Flash medium,openrouter,openrouter/google/gemini-3.5-flash,224,98,126,0.040969,runcost,
expand222-next-055-registry-openrouter-091-qwen-qwen3-5-397b-a17b,Qwen: Qwen3.5 397B A17B,openrouter,openrouter/qwen/qwen3.5-397b-a17b,224,98,126,0.000994,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-057-registry-openrouter-124-qwen-qwen3-vl-235b-a22b-thinking,Qwen: Qwen3 VL 235B A22B Thinking,openrouter,openrouter/qwen/qwen3-vl-235b-a22b-thinking,224,98,126,0.000662,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-034-openrouter-048-openai-gpt-oss-120b,OpenAI: gpt-oss-120b,openrouter,openrouter/openai/gpt-oss-120b,224,224,0,0.000227,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-paper-openrouter-gpt-oss-20b,OpenAI GPT-OSS 20B,openrouter,openrouter/openai/gpt-oss-20b,224,224,0,0.000175,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-088-thinking-openai-gpt-5-nano-low,OpenAI GPT-5 nano low,openai,openai/gpt-5-nano,224,98,126,0.001777,runcost,
expand222-next-090-thinking-openai-gpt-5-nano-medium,OpenAI GPT-5 nano medium,openai,openai/gpt-5-nano,224,98,126,0.001777,runcost,
expand222-scaled-039-openrouter-059-qwen-qwen3-14b,Qwen: Qwen3 14B,openrouter,openrouter/qwen/qwen3-14b,224,224,0,0.000582,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-016-registry-openrouter-163-xiaomi-mimo-v2-5,Xiaomi: MiMo-V2.5,openrouter,openrouter/xiaomi/mimo-v2.5,224,98,126,0.000359,runcost,No price found for output_reasoning_tokens (token).
expand222-overline-004-openai-gpt-5-4-mini-medium,OpenAI GPT-5.4 mini medium,openai,openai/gpt-5.4-mini,224,224,0,0.046822,runcost,
expand222-scaled-061-openrouter-057-qwen-qwen3-30b-a3b,Qwen: Qwen3 30B A3B,openrouter,openrouter/qwen/qwen3-30b-a3b,224,224,0,0.000524,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-084-openrouter-040-minimax-minimax-m2,MiniMax: MiniMax M2,openrouter,openrouter/minimax/minimax-m2,224,224,0,0.001532,runcost,No price found for output_reasoning_tokens (token).
