provider_model,model_family,model_family_label,provider,current_model_size,current_size_class,current_parameter_b,current_size_evidence,artificial_analysis_lookup_url,artificial_analysis_evidence,review_model_size,review_parameter_b,review_notes
ai21/jamba-large-1.7,ai21/jamba-large-1.7,Jamba Large 1.7,ai21,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
aion-labs/aion-2.0,aion-labs/aion-2.0,Aion 2.0,aion-labs,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
aion-labs/aion-2.5,aion-labs/aion-2.5,Aion 2.5,aion-labs,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
aion-labs/aion-3.0,aion-labs/aion-3.0,Aion 3.0,aion-labs,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
aion-labs/aion-3.0-mini,aion-labs/aion-3.0-mini,Aion 3.0 mini,aion-labs,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
aion-labs/aion-rp-llama-3.1-8b,aion-labs/aion-rp-llama-3.1-8b,Aion Rp Llama 3.1 8B,aion-labs,Small,small,8,8B parsed from model name,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
amazon/nova-premier-v1,amazon/nova-premier-v1,Nova Premier v1,amazon,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
anthropic/claude-3-haiku,anthropic/claude-3-haiku,Claude 3 Haiku,anthropic,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,Claude 3.5 Haiku,anthropic,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
anthropic/claude-fable-5,anthropic/claude-fable-5,Claude Fable 5,anthropic,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
anthropic/claude-haiku-4.5,anthropic/claude-haiku-4.5,Claude Haiku 4.5,anthropic,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
anthropic/claude-opus-4.5,anthropic/claude-opus-4.5,Claude Opus 4.5,anthropic,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
anthropic/claude-opus-4-6,anthropic/claude-opus-4-6,Claude Opus 4.6,anthropic,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
anthropic/claude-opus-4-7,anthropic/claude-opus-4-7,Claude Opus 4.7,anthropic,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
anthropic/claude-opus-4.8,anthropic/claude-opus-4.8,Claude Opus 4.8,anthropic,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,Claude Sonnet 4,anthropic,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5,Claude Sonnet 4.5,anthropic,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
anthropic/claude-sonnet-4.6,anthropic/claude-sonnet-4.6,Claude Sonnet 4.6,anthropic,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
anthropic/claude-sonnet-5,anthropic/claude-sonnet-5,Claude Sonnet 5,anthropic,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
baidu/ernie-4.5-vl-424b-a47b,baidu/ernie-4.5-vl-424b-a47b,Ernie 4.5 VL 424B A47B,baidu,Large,large,424,424B parsed from model name,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
