label,family,accuracy_pct,correct,samples,scored_samples,provider_errors,timeouts,failures,estimated_cost_usd
Claude Haiku 4.5,arithmetic,100.00,10,10,,,,0,0.000712
Claude Haiku 4.5,character_count,50.00,5,10,,,,5,0.000612
Claude Haiku 4.5,constraint_awareness,60.00,6,10,,,,4,0.00086
Claude Haiku 4.5,format_compliance,50.00,5,10,,,,5,0.000936
Claude Haiku 4.5,negation,90.00,9,10,,,,1,0.000691
Claude Haiku 4.5,ordering,100.00,10,10,,,,0,0.00104
Claude Haiku 4.5,spelling_transform,60.00,6,10,,,,4,0.001003
Claude Haiku 4.5,word_count,100.00,10,10,,,,0,0.000682
Claude Opus 4.6 high,arithmetic,100.00,10,10,,,,0,0.00356
Claude Opus 4.6 high,character_count,80.00,8,10,,,,2,0.014635
Claude Opus 4.6 high,constraint_awareness,100.00,10,10,,,,0,0.0043
Claude Opus 4.6 high,format_compliance,100.00,10,10,,,,0,0.00393
Claude Opus 4.6 high,negation,100.00,10,10,,,,0,0.003455
Claude Opus 4.6 high,ordering,100.00,10,10,,,,0,0.0052
Claude Opus 4.6 high,spelling_transform,90.00,9,10,,,,1,0.00464
Claude Opus 4.6 high,word_count,90.00,9,10,,,,1,0.004435
Claude Opus 4.6 low,arithmetic,100.00,10,10,,,,0,0.00356
Claude Opus 4.6 low,character_count,70.00,7,10,,,,3,0.00306
Claude Opus 4.6 low,constraint_awareness,100.00,10,10,,,,0,0.0043
Claude Opus 4.6 low,format_compliance,100.00,10,10,,,,0,0.00393
Claude Opus 4.6 low,negation,80.00,8,10,,,,2,0.003455
Claude Opus 4.6 low,ordering,100.00,10,10,,,,0,0.0052
Claude Opus 4.6 low,spelling_transform,80.00,8,10,,,,2,0.00659
Claude Opus 4.6 low,word_count,100.00,10,10,,,,0,0.00341
Claude Opus 4.6 medium,arithmetic,100.00,10,10,,,,0,0.00356
Claude Opus 4.6 medium,character_count,80.00,8,10,,,,2,0.00541
Claude Opus 4.6 medium,constraint_awareness,100.00,10,10,,,,0,0.0043
Claude Opus 4.6 medium,format_compliance,100.00,10,10,,,,0,0.00393
Claude Opus 4.6 medium,negation,100.00,10,10,,,,0,0.003455
Claude Opus 4.6 medium,ordering,100.00,10,10,,,,0,0.0052
Claude Opus 4.6 medium,spelling_transform,90.00,9,10,,,,1,0.004615
Claude Opus 4.6 medium,word_count,100.00,10,10,,,,0,0.00341
Claude Opus 4.7 high,arithmetic,100.00,10,10,,,,0,0.00454
Claude Opus 4.7 high,character_count,50.00,5,10,,,,5,0.00408
Claude Opus 4.7 high,constraint_awareness,100.00,10,10,,,,0,0.00576
Claude Opus 4.7 high,format_compliance,100.00,10,10,,,,0,0.005745
Claude Opus 4.7 high,negation,100.00,10,10,,,,0,0.0047
Claude Opus 4.7 high,ordering,100.00,10,10,,,,0,0.00664
Claude Opus 4.7 high,spelling_transform,90.00,9,10,,,,1,0.00458
Claude Opus 4.7 high,word_count,100.00,10,10,,,,0,0.00456
Claude Opus 4.7 low,arithmetic,100.00,10,10,,,,0,0.00454
Claude Opus 4.7 low,character_count,40.00,4,10,,,,6,0.00408
Claude Opus 4.7 low,constraint_awareness,100.00,10,10,,,,0,0.00576
Claude Opus 4.7 low,format_compliance,100.00,10,10,,,,0,0.005745
Claude Opus 4.7 low,negation,100.00,10,10,,,,0,0.0047
Claude Opus 4.7 low,ordering,100.00,10,10,,,,0,0.00664
Claude Opus 4.7 low,spelling_transform,90.00,9,10,,,,1,0.00458
Claude Opus 4.7 low,word_count,100.00,10,10,,,,0,0.00456
Claude Opus 4.7 medium,arithmetic,100.00,10,10,,,,0,0.00454
Claude Opus 4.7 medium,character_count,50.00,5,10,,,,5,0.00408
Claude Opus 4.7 medium,constraint_awareness,100.00,10,10,,,,0,0.00576
Claude Opus 4.7 medium,format_compliance,100.00,10,10,,,,0,0.005745
