participant_id,sequence,item_id,family,subfamily,answer_type,scorer,prompt
p01,1,obviousbench.char_count.en.v0.public.000040,character_count,single_letter_count,integer,exact_integer_extract_first_v0,"Answer the question. Return only the final answer, with no explanation.

Question: How many a's are in alphabetical?
Answer:"
p01,2,obviousbench.constraint.en.v0.public.000021,constraint_awareness,object_must_be_present,multiple_choice,multiple_choice_letter_v0,"Answer the question. Return only the letter of the correct option.

Question: The luggage repair shop is across the street. If my suitcase zipper needs fixing, should I carry my clothes in a tote or roll or bring the suitcase?

A. Carry my clothes in a tote
B. Roll or bring the suitcase
C. Bring only the luggage tag
D. It is impossible

Answer:"
p01,3,obviousbench.ordering.en.v0.public.000036,ordering,alphabetical_sort,list,normalized_list_v0,"Answer the question. Return only the final answer, with no explanation.

Question: Sort these items alphabetically: pear, apple, banana.
Answer:"
p01,4,obviousbench.constraint.en.v0.public.000032,constraint_awareness,object_must_be_present,multiple_choice,multiple_choice_letter_v0,"Answer the question. Return only the letter of the correct option.

Question: The sunglasses repair kiosk is in the mall. If my sunglasses need a new hinge, should I wear regular glasses and leave the sunglasses behind, or bring the sunglasses?

A. Wear regular glasses and leave the sunglasses behind
B. Bring the sunglasses
C. Bring only the case
D. It is impossible

Answer:"
p01,5,obviousbench.char_count.en.v0.public.000057,character_count,single_letter_count,integer,exact_integer_extract_first_v0,"Answer the question. Return only the final answer, with no explanation.

Question: How many r's are in terracotta?
Answer:"
p01,6,obviousbench.format.en.v0.public.000008,format_compliance,json_field,json,json_exact_field_v0,"Answer the question. Return only the final answer, with no explanation.

Question: Return a JSON object with one key, ""answer"", whose value is ""3"".
Answer:"
p01,7,obviousbench.char_count.en.v0.public.000038,character_count,single_letter_count,integer,exact_integer_extract_first_v0,"Answer the question. Return only the final answer, with no explanation.

Question: How many c's are in coconut?
Answer:"
p01,8,obviousbench.ordering.en.v0.public.000046,ordering,numeric_sort,list,normalized_list_v0,"Answer the question. Return only the final answer, with no explanation.

Question: Sort these numbers from smallest to largest: 7, 2, 10, 1.
Answer:"
p01,9,obviousbench.format.en.v0.public.000026,format_compliance,json_field,json,json_exact_field_v0,"Answer the question. Return only the final answer, with no explanation.

Question: Return a JSON object with one key, ""answer"", whose value is ""3"".
Answer:"
p01,10,obviousbench.spell.en.v0.public.000020,spelling_transform,remove_letter,string,exact_string_trim_v0,"Answer the question. Return only the final answer, with no explanation.

Question: Write committee without the letter e.
Answer:"
p01,11,obviousbench.format.en.v0.public.000046,format_compliance,exact_json_schema,json,json_exact_field_v0,"Answer the question. Return only the final answer, with no explanation.

Question: Return a JSON object with exactly one key, ""answer"", whose value is ""blue"".
Answer:"
p01,12,obviousbench.spell.en.v0.public.000008,spelling_transform,remove_letter,string,exact_string_trim_v0,"Answer the question. Return only the final answer, with no explanation.

Question: Write the word ""sentence"" after deleting every letter ""e"".
Answer:"
p01,13,obviousbench.ordering.en.v0.public.000048,ordering,numeric_sort,list,normalized_list_v0,"Answer the question. Return only the final answer, with no explanation.

Question: Sort these numbers from smallest to largest: -1, 4, 0, -3.
Answer:"
p01,14,obviousbench.format.en.v0.public.000020,format_compliance,json_field,json,json_exact_field_v0,"Answer the question. Return only the final answer, with no explanation.

Question: Return a JSON object with one key, ""answer"", whose value is ""3"".
Answer:"
p01,15,obviousbench.arith.en.v0.public.000007,arithmetic,small_integer_arithmetic,integer,exact_integer_extract_first_v0,"Answer the question. Return only the final answer, with no explanation.

Question: What is 9 + 14 - 1?
Answer:"
p01,16,obviousbench.negation.en.v0.public.000034,negation,without_constraint,string,exact_string_trim_v0,"Answer the question. Return only the final answer, with no explanation.

Question: Choose the month that is not in winter in the northern hemisphere: January, July, February, December.
Answer:"
p01,17,obviousbench.char_count.en.v0.public.000029,character_count,single_letter_count,integer,exact_integer_extract_first_v0,"Answer the question. Return only the final answer, with no explanation.

Question: How many g's are in rearrangement?
Answer:"
p01,18,obviousbench.word_count.en.v0.public.000015,word_count,comma_list_count,integer,word_count_v0,"Answer the question. Return only the final answer, with no explanation.

Question: How many comma-separated values are shown here: red, blue, green, yellow?
Answer:"
p01,19,obviousbench.format.en.v0.public.000048,format_compliance,exact_json_schema,json,json_exact_field_v0,"Answer the question. Return only the final answer, with no explanation.

Question: Return a JSON object with exactly one key, ""answer"", whose value is ""cat"".
Answer:"
p01,20,obviousbench.word_count.en.v0.public.000051,word_count,comma_list_count,integer,word_count_v0,"Answer the question. Return only the final answer, with no explanation.

Question: How many comma-separated values are shown here: red, blue, green, yellow?
Answer:"
p01,21,obviousbench.char_count.en.v0.public.000054,character_count,single_letter_count,integer,exact_integer_extract_first_v0,"Answer the question. Return only the final answer, with no explanation.

Question: How many g's are in bookkeeping?
Answer:"
p01,22,obviousbench.char_count.en.v0.public.000030,character_count,single_letter_count,integer,exact_integer_extract_first_v0,"Answer the question. Return only the final answer, with no explanation.

Question: How many h's are in alphabetical?
Answer:"
