rank,label,model,barrage_profile,accuracy_pct,answer_accuracy_pct,format_accuracy_pct,strict_accuracy_pct,obvious_failure_rate_pct,correct,answer_correct,format_correct,strict_correct,scored_samples,provider_errors,timeouts,total_tokens,estimated_cost_usd,cost_per_correct_usd,tokens_per_correct,cost_warnings,summary_dir
1,GPT-5.5 medium,openai/gpt-5.5,balanced_8x10,100.00,100.00,100.00,100.00,0.00,80,80,80,80,80,0,0,6422,0.110635,0.00138294,80.28,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-medium-balanced_8x10-20260531-001525
2,GPT-5.5 high,openai/gpt-5.5,balanced_8x10,100.00,100.00,100.00,100.00,0.00,80,80,80,80,80,0,0,7374,0.139195,0.00173994,92.17,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-high-balanced_8x10-20260531-075312
3,Gemini 3.5 Flash OR,openrouter/google/gemini-3.5-flash,balanced_8x10,100.00,100.00,100.00,100.00,0.00,80,80,80,80,80,0,0,19056,0.149019,0.00186274,238.20,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-5-flash-openrouter-balanced_8x10-20260531-080345
4,Gemini 3.1 Pro Preview OR,openrouter/google/gemini-3.1-pro-preview,balanced_8x10,100.00,100.00,100.00,100.00,0.00,80,80,80,80,80,0,0,17741,0.182912,0.0022864,221.76,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-pro-preview-openrouter-balanced_8x10-20260531-080345
5,GPT-5 low,openai/gpt-5,balanced_8x10,98.75,98.75,100.00,98.75,1.25,79,79,80,79,80,0,0,9615,0.06744125,0.00085369,121.71,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-low-balanced_8x10-20260531-001449
6,GPT-5.4 high,openai/gpt-5.4,balanced_8x10,98.75,98.75,100.00,98.75,1.25,79,79,80,79,80,0,0,7515,0.0717125,0.00090775,95.13,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-high-balanced_8x10-20260531-075312
7,GPT-5.4 low,openai/gpt-5.4,balanced_8x10,97.50,97.50,100.00,97.50,2.50,78,78,80,78,80,0,0,5440,0.0405875,0.00052035,69.74,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-low-balanced_8x10-20260531-075312
8,GPT-5.4 medium,openai/gpt-5.4,balanced_8x10,97.50,97.50,100.00,97.50,2.50,78,78,80,78,80,0,0,6691,0.0593525,0.00076093,85.78,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-medium-balanced_8x10-20260531-075312
9,Claude Opus 4.6 medium,anthropic/claude-opus-4-6,balanced_8x10,96.25,96.25,100.00,96.25,3.75,77,77,80,77,80,0,0,4220,0.03388,0.00044,54.81,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-medium-seq-balanced_8x10-20260531-080213
10,Claude Opus 4.6 high,anthropic/claude-opus-4-6,balanced_8x10,95.00,95.00,100.00,95.00,5.00,76,76,80,76,80,0,0,4631,0.044155,0.00058099,60.93,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-high-seq-balanced_8x10-20260531-080353
