label,model,summary_dir
OpenAI GPT-5.5 none,openai/gpt-5.5,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-001-openai-gpt-5-5-none
OpenAI GPT-5.5 low,openai/gpt-5.5,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-002-openai-gpt-5-5-low
OpenAI GPT-5.5 medium,openai/gpt-5.5,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-003-openai-gpt-5-5-medium
OpenAI GPT-5.5 high,openai/gpt-5.5,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-004-openai-gpt-5-5-high
OpenAI GPT-5.5 xhigh,openai/gpt-5.5,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-005-openai-gpt-5-5-xhigh
OpenAI GPT-5.4 none,openai/gpt-5.4,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-006-openai-gpt-5-4-none
OpenAI GPT-5.4 low,openai/gpt-5.4,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-007-openai-gpt-5-4-low
OpenAI GPT-5.4 medium,openai/gpt-5.4,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-008-openai-gpt-5-4-medium
OpenAI GPT-5.4 high,openai/gpt-5.4,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-009-openai-gpt-5-4-high
OpenAI GPT-5.4 xhigh,openai/gpt-5.4,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-010-openai-gpt-5-4-xhigh
Claude Opus 4.8 low,anthropic/claude-opus-4-8,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-011-anthropic-claude-opus-4-8-low
Claude Opus 4.8 medium,anthropic/claude-opus-4-8,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-012-anthropic-claude-opus-4-8-medium
Claude Opus 4.8 high,anthropic/claude-opus-4-8,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-013-anthropic-claude-opus-4-8-high
Claude Opus 4.8 xhigh,anthropic/claude-opus-4-8,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-014-anthropic-claude-opus-4-8-xhigh
Claude Opus 4.8 max,anthropic/claude-opus-4-8,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-015-anthropic-claude-opus-4-8-max
Claude Sonnet 4.6 low,anthropic/claude-sonnet-4-6,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-016-anthropic-claude-sonnet-4-6-low
Claude Sonnet 4.6 medium,anthropic/claude-sonnet-4-6,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-017-anthropic-claude-sonnet-4-6-medium
Claude Sonnet 4.6 high,anthropic/claude-sonnet-4-6,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-018-anthropic-claude-sonnet-4-6-high
Claude Sonnet 4.6 max,anthropic/claude-sonnet-4-6,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-019-anthropic-claude-sonnet-4-6-max
Google: Gemini 3.5 Flash minimal,openrouter/google/gemini-3.5-flash,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-028-openrouter-google-gemini-3-5-flash-minimal
Google: Gemini 3.5 Flash low,openrouter/google/gemini-3.5-flash,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-029-openrouter-google-gemini-3-5-flash-low
Google: Gemini 3.5 Flash medium,openrouter/google/gemini-3.5-flash,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-030-openrouter-google-gemini-3-5-flash-medium
Google: Gemini 3.5 Flash high,openrouter/google/gemini-3.5-flash,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-031-openrouter-google-gemini-3-5-flash-high
Google: Gemini 3.1 Pro Preview Custom Tools low,openrouter/google/gemini-3.1-pro-preview-customtools,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-032-openrouter-google-gemini-3-1-pro-preview-customtools-low
Google: Gemini 3.1 Pro Preview Custom Tools high,openrouter/google/gemini-3.1-pro-preview-customtools,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-033-openrouter-google-gemini-3-1-pro-preview-customtools-high
Google: Gemini 3.1 Flash Lite minimal,openrouter/google/gemini-3.1-flash-lite,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-034-openrouter-google-gemini-3-1-flash-lite-minimal
Google: Gemini 3.1 Flash Lite low,openrouter/google/gemini-3.1-flash-lite,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-035-openrouter-google-gemini-3-1-flash-lite-low
Google: Gemini 3.1 Flash Lite medium,openrouter/google/gemini-3.1-flash-lite,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-036-openrouter-google-gemini-3-1-flash-lite-medium
Google: Gemini 3.1 Flash Lite high,openrouter/google/gemini-3.1-flash-lite,results/summaries/paper-v1-combined-228-rescored-20260602/runs/top-thinking-037-openrouter-google-gemini-3-1-flash-lite-high
