label,family,accuracy_pct,correct,samples,scored_samples,provider_errors,timeouts,failures,estimated_cost_usd
AI21: Jamba Large 1.7,arithmetic,90.00,9,10,10,0,0,1,0.001366
AI21: Jamba Large 1.7,character_count,40.00,4,10,10,0,0,6,0.001132
AI21: Jamba Large 1.7,constraint_awareness,100.00,10,10,10,0,0,0,0.00215
AI21: Jamba Large 1.7,format_compliance,100.00,10,10,10,0,0,0,0.00204
AI21: Jamba Large 1.7,negation,100.00,10,10,10,0,0,0,0.001216
AI21: Jamba Large 1.7,ordering,100.00,10,10,10,0,0,0,0.00188
AI21: Jamba Large 1.7,spelling_transform,70.00,7,10,10,0,0,3,0.001152
AI21: Jamba Large 1.7,word_count,100.00,10,10,10,0,0,0,0.000532
AionLabs: Aion-1.0-Mini,arithmetic,88.89,8,9,9,0,0,1,0.0020699
AionLabs: Aion-1.0-Mini,character_count,90.00,9,10,10,0,0,1,0.0029862
AionLabs: Aion-1.0-Mini,constraint_awareness,100.00,8,8,8,0,0,0,0.0036778
AionLabs: Aion-1.0-Mini,format_compliance,55.56,5,9,9,0,0,4,0.0032137
AionLabs: Aion-1.0-Mini,negation,100.00,9,9,9,0,0,0,0.0023534
AionLabs: Aion-1.0-Mini,ordering,88.89,8,9,9,0,0,1,0.0018921
AionLabs: Aion-1.0-Mini,spelling_transform,83.33,5,6,6,0,0,1,0.002954
AionLabs: Aion-1.0-Mini,word_count,70.00,7,10,10,0,0,3,0.0024332
AionLabs: Aion-RP 1.0 (8B),arithmetic,50.00,5,10,10,0,0,5,0.000532
AionLabs: Aion-RP 1.0 (8B),character_count,40.00,4,10,10,0,0,6,0.0009968
AionLabs: Aion-RP 1.0 (8B),constraint_awareness,10.00,1,10,10,0,0,9,0.001156
AionLabs: Aion-RP 1.0 (8B),format_compliance,100.00,10,10,10,0,0,0,0.0005224
AionLabs: Aion-RP 1.0 (8B),negation,40.00,4,10,10,0,0,6,0.0006464
AionLabs: Aion-RP 1.0 (8B),ordering,80.00,8,10,10,0,0,2,0.0006224
AionLabs: Aion-RP 1.0 (8B),spelling_transform,10.00,1,10,10,0,0,9,0.0004768
AionLabs: Aion-RP 1.0 (8B),word_count,100.00,10,10,10,0,0,0,0.0004416
AllenAI: Olmo 3 32B Think,character_count,,0,1,0,1,0,0,0.0
AllenAI: Olmo 3 32B Think,constraint_awareness,,0,1,0,1,0,0,0.0
AllenAI: Olmo 3 32B Think,format_compliance,,0,1,0,1,0,0,0.0
AllenAI: Olmo 3 32B Think,negation,,0,1,0,1,0,0,0.0
AllenAI: Olmo 3 32B Think,spelling_transform,,0,1,0,1,0,0,0.0
AllenAI: Olmo 3 32B Think,word_count,,0,1,0,1,0,0,0.0
Anthropic Claude Haiku 4.5,arithmetic,100.00,10,10,10,0,0,0,0.000728
Anthropic Claude Haiku 4.5,character_count,60.00,6,10,10,0,0,4,0.000612
Anthropic Claude Haiku 4.5,constraint_awareness,90.00,9,10,10,0,0,1,0.001116
Anthropic Claude Haiku 4.5,format_compliance,100.00,10,10,10,0,0,0,0.001145
Anthropic Claude Haiku 4.5,negation,100.00,10,10,10,0,0,0,0.000691
Anthropic Claude Haiku 4.5,ordering,100.00,10,10,10,0,0,0,0.00104
Anthropic Claude Haiku 4.5,spelling_transform,50.00,5,10,10,0,0,5,0.00119
Anthropic Claude Haiku 4.5,word_count,100.00,10,10,10,0,0,0,0.000702
Anthropic Claude Opus 4.6,arithmetic,100.00,10,10,10,0,0,0,0.00369
Anthropic Claude Opus 4.6,character_count,80.00,8,10,10,0,0,2,0.01506
Anthropic Claude Opus 4.6,constraint_awareness,90.00,9,10,10,0,0,1,0.01048
Anthropic Claude Opus 4.6,format_compliance,100.00,10,10,10,0,0,0,0.004475
Anthropic Claude Opus 4.6,negation,100.00,10,10,10,0,0,0,0.003455
Anthropic Claude Opus 4.6,ordering,100.00,10,10,10,0,0,0,0.0052
Anthropic Claude Opus 4.6,spelling_transform,80.00,8,10,10,0,0,2,0.004475
Anthropic Claude Opus 4.6,word_count,100.00,10,10,10,0,0,0,0.00141
Anthropic Claude Opus 4.7,arithmetic,100.00,10,10,10,0,0,0,0.00472
Anthropic Claude Opus 4.7,character_count,50.00,5,10,10,0,0,5,0.00408
Anthropic Claude Opus 4.7,constraint_awareness,100.00,10,10,10,0,0,0,0.007555
Anthropic Claude Opus 4.7,format_compliance,100.00,10,10,10,0,0,0,0.006485
Anthropic Claude Opus 4.7,negation,100.00,10,10,10,0,0,0,0.0047
Anthropic Claude Opus 4.7,ordering,100.00,10,10,10,0,0,0,0.00664
Anthropic Claude Opus 4.7,spelling_transform,100.00,10,10,10,0,0,0,0.004445
Anthropic Claude Opus 4.7,word_count,100.00,10,10,10,0,0,0,0.00285
Anthropic Claude Opus 4.8,arithmetic,100.00,10,10,10,0,0,0,0.00372
Anthropic Claude Opus 4.8,character_count,80.00,8,10,10,0,0,2,0.00308
Anthropic Claude Opus 4.8,constraint_awareness,100.00,10,10,10,0,0,0,0.006805
Anthropic Claude Opus 4.8,format_compliance,100.00,10,10,10,0,0,0,0.005735
Anthropic Claude Opus 4.8,negation,100.00,10,10,10,0,0,0,0.003925
Anthropic Claude Opus 4.8,ordering,100.00,10,10,10,0,0,0,0.00579
Anthropic Claude Opus 4.8,spelling_transform,60.00,6,10,10,0,0,4,0.003645
Anthropic Claude Opus 4.8,word_count,100.00,10,10,10,0,0,0,0.00188
Anthropic Claude Sonnet 4.6,arithmetic,100.00,10,10,10,0,0,0,0.002184
Anthropic Claude Sonnet 4.6,character_count,30.00,3,10,10,0,0,7,0.002571
Anthropic Claude Sonnet 4.6,constraint_awareness,100.00,10,10,10,0,0,0,0.003828
Anthropic Claude Sonnet 4.6,format_compliance,100.00,10,10,10,0,0,0,0.002685
Anthropic Claude Sonnet 4.6,negation,100.00,10,10,10,0,0,0,0.002073
Anthropic Claude Sonnet 4.6,ordering,100.00,10,10,10,0,0,0,0.00312
Anthropic Claude Sonnet 4.6,spelling_transform,90.00,9,10,10,0,0,1,0.003375
Anthropic Claude Sonnet 4.6,word_count,100.00,10,10,10,0,0,0,0.002106
Arcee AI: Trinity Mini,arithmetic,100.00,10,10,10,0,0,0,0.001316
Arcee AI: Trinity Mini,character_count,100.00,10,10,10,0,0,0,0.001474
Arcee AI: Trinity Mini,constraint_awareness,60.00,6,10,10,0,0,4,0.006955
Arcee AI: Trinity Mini,format_compliance,100.00,10,10,10,0,0,0,0.000897
Arcee AI: Trinity Mini,negation,70.00,7,10,10,0,0,3,0.001001
Arcee AI: Trinity Mini,ordering,100.00,10,10,10,0,0,0,0.001463
Arcee AI: Trinity Mini,spelling_transform,50.00,5,10,10,0,0,5,0.007299
Arcee AI: Trinity Mini,word_count,100.00,10,10,10,0,0,0,0.000902
Baidu: ERNIE 4.5 300B A47B ,arithmetic,100.00,10,10,10,0,0,0,0.00013014
Baidu: ERNIE 4.5 300B A47B ,character_count,10.00,1,10,10,0,0,9,9.556e-05
Baidu: ERNIE 4.5 300B A47B ,constraint_awareness,100.00,10,10,10,0,0,0,0.00023836
Baidu: ERNIE 4.5 300B A47B ,format_compliance,100.00,10,10,10,0,0,0,0.00028518
Baidu: ERNIE 4.5 300B A47B ,negation,100.00,10,10,10,0,0,0,0.00013196
Baidu: ERNIE 4.5 300B A47B ,ordering,100.00,10,10,10,0,0,0,0.00020622
Baidu: ERNIE 4.5 300B A47B ,spelling_transform,50.00,5,10,10,0,0,5,0.00027204
Baidu: ERNIE 4.5 300B A47B ,word_count,100.00,10,10,10,0,0,0,0.00012076
Baidu: ERNIE 4.5 VL 28B A3B,arithmetic,,0,3,0,3,0,0,0.0
Baidu: ERNIE 4.5 VL 28B A3B,character_count,,0,4,0,4,0,0,0.0
Baidu: ERNIE 4.5 VL 28B A3B,constraint_awareness,,0,2,0,2,0,0,0.0
Baidu: ERNIE 4.5 VL 28B A3B,format_compliance,,0,2,0,2,0,0,0.0
Baidu: ERNIE 4.5 VL 28B A3B,negation,,0,1,0,1,0,0,0.0
Baidu: ERNIE 4.5 VL 28B A3B,ordering,,0,2,0,2,0,0,0.0
Baidu: ERNIE 4.5 VL 28B A3B,spelling_transform,,0,2,0,2,0,0,0.0
Baidu: ERNIE 4.5 VL 28B A3B,word_count,,0,3,0,3,0,0,0.0
Baidu: ERNIE 4.5 VL 424B A47B ,arithmetic,100.00,10,10,10,0,0,0,0.00018156
Baidu: ERNIE 4.5 VL 424B A47B ,character_count,20.00,2,10,10,0,0,8,0.00013934
Baidu: ERNIE 4.5 VL 424B A47B ,constraint_awareness,100.00,10,10,10,0,0,0,0.00035354
Baidu: ERNIE 4.5 VL 424B A47B ,format_compliance,100.00,10,10,10,0,0,0,0.00023837
Baidu: ERNIE 4.5 VL 424B A47B ,negation,100.00,10,10,10,0,0,0,0.00019394
Baidu: ERNIE 4.5 VL 424B A47B ,ordering,100.00,10,10,10,0,0,0,0.00027293
Baidu: ERNIE 4.5 VL 424B A47B ,spelling_transform,80.00,8,10,10,0,0,2,0.01704471
Baidu: ERNIE 4.5 VL 424B A47B ,word_count,100.00,10,10,10,0,0,0,7.136e-05
ByteDance: UI-TARS 7B ,arithmetic,90.00,9,10,10,0,0,1,4.21e-05
ByteDance: UI-TARS 7B ,character_count,20.00,2,10,10,0,0,8,3.6e-05
ByteDance: UI-TARS 7B ,constraint_awareness,90.00,9,10,10,0,0,1,8.48e-05
ByteDance: UI-TARS 7B ,format_compliance,100.00,10,10,10,0,0,0,5.32e-05
ByteDance: UI-TARS 7B ,negation,90.00,9,10,10,0,0,1,4.35e-05
ByteDance: UI-TARS 7B ,ordering,80.00,8,10,10,0,0,2,5.45e-05
ByteDance: UI-TARS 7B ,spelling_transform,10.00,1,10,10,0,0,9,3.74e-05
ByteDance: UI-TARS 7B ,word_count,100.00,10,10,10,0,0,0,1.5e-05
Claude Opus 4.8 high,arithmetic,100.00,10,10,10,0,0,0,0.003405
Claude Opus 4.8 high,character_count,80.00,8,10,10,0,0,2,0.00308
Claude Opus 4.8 high,constraint_awareness,100.00,10,10,10,0,0,0,0.006805
Claude Opus 4.8 high,format_compliance,100.00,10,10,10,0,0,0,0.00516
Claude Opus 4.8 high,negation,100.00,10,10,10,0,0,0,0.003925
Claude Opus 4.8 high,ordering,100.00,10,10,10,0,0,0,0.00579
Claude Opus 4.8 high,spelling_transform,60.00,6,10,10,0,0,4,0.00332
Claude Opus 4.8 high,word_count,100.00,10,10,10,0,0,0,0.00151
Claude Opus 4.8 low,arithmetic,100.00,10,10,10,0,0,0,0.003405
Claude Opus 4.8 low,character_count,80.00,8,10,10,0,0,2,0.00308
Claude Opus 4.8 low,constraint_awareness,100.00,10,10,10,0,0,0,0.006805
Claude Opus 4.8 low,format_compliance,100.00,10,10,10,0,0,0,0.00516
Claude Opus 4.8 low,negation,100.00,10,10,10,0,0,0,0.003925
Claude Opus 4.8 low,ordering,100.00,10,10,10,0,0,0,0.00579
Claude Opus 4.8 low,spelling_transform,60.00,6,10,10,0,0,4,0.003295
Claude Opus 4.8 low,word_count,100.00,10,10,10,0,0,0,0.00188
Claude Opus 4.8 max,arithmetic,100.00,10,10,10,0,0,0,0.003615
Claude Opus 4.8 max,character_count,70.00,7,10,10,0,0,3,0.00653
Claude Opus 4.8 max,constraint_awareness,100.00,10,10,10,0,0,0,0.006705
Claude Opus 4.8 max,format_compliance,100.00,10,10,10,0,0,0,0.00507
Claude Opus 4.8 max,negation,100.00,10,10,10,0,0,0,0.003825
Claude Opus 4.8 max,ordering,100.00,10,10,10,0,0,0,0.00569
Claude Opus 4.8 max,spelling_transform,60.00,6,10,10,0,0,4,0.006005
Claude Opus 4.8 max,word_count,100.00,10,10,10,0,0,0,0.00219
Claude Opus 4.8 medium,arithmetic,100.00,10,10,10,0,0,0,0.003405
Claude Opus 4.8 medium,character_count,80.00,8,10,10,0,0,2,0.00308
Claude Opus 4.8 medium,constraint_awareness,100.00,10,10,10,0,0,0,0.006805
Claude Opus 4.8 medium,format_compliance,100.00,10,10,10,0,0,0,0.00516
Claude Opus 4.8 medium,negation,100.00,10,10,10,0,0,0,0.003925
Claude Opus 4.8 medium,ordering,100.00,10,10,10,0,0,0,0.00579
Claude Opus 4.8 medium,spelling_transform,60.00,6,10,10,0,0,4,0.003445
Claude Opus 4.8 medium,word_count,100.00,10,10,10,0,0,0,0.00225
Claude Opus 4.8 xhigh,arithmetic,100.00,10,10,10,0,0,0,0.003405
Claude Opus 4.8 xhigh,character_count,80.00,8,10,10,0,0,2,0.00308
Claude Opus 4.8 xhigh,constraint_awareness,100.00,10,10,10,0,0,0,0.006805
Claude Opus 4.8 xhigh,format_compliance,100.00,10,10,10,0,0,0,0.00516
Claude Opus 4.8 xhigh,negation,100.00,10,10,10,0,0,0,0.003535
Claude Opus 4.8 xhigh,ordering,100.00,10,10,10,0,0,0,0.00579
Claude Opus 4.8 xhigh,spelling_transform,60.00,6,10,10,0,0,4,0.00432
Claude Opus 4.8 xhigh,word_count,100.00,10,10,10,0,0,0,0.00188
Claude Sonnet 4.6 high,arithmetic,100.00,10,10,10,0,0,0,0.001989
Claude Sonnet 4.6 high,character_count,20.00,2,10,10,0,0,8,0.002601
Claude Sonnet 4.6 high,constraint_awareness,100.00,10,10,10,0,0,0,0.003858
Claude Sonnet 4.6 high,format_compliance,100.00,10,10,10,0,0,0,0.00249
Claude Sonnet 4.6 high,negation,100.00,10,10,10,0,0,0,0.002073
Claude Sonnet 4.6 high,ordering,100.00,10,10,10,0,0,0,0.00312
Claude Sonnet 4.6 high,spelling_transform,100.00,10,10,10,0,0,0,0.003393
Claude Sonnet 4.6 high,word_count,100.00,10,10,10,0,0,0,0.001056
Claude Sonnet 4.6 low,arithmetic,100.00,10,10,10,0,0,0,0.001989
Claude Sonnet 4.6 low,character_count,30.00,3,10,10,0,0,7,0.001836
Claude Sonnet 4.6 low,constraint_awareness,100.00,10,10,10,0,0,0,0.003348
Claude Sonnet 4.6 low,format_compliance,100.00,10,10,10,0,0,0,0.002415
Claude Sonnet 4.6 low,negation,100.00,10,10,10,0,0,0,0.002073
Claude Sonnet 4.6 low,ordering,100.00,10,10,10,0,0,0,0.00312
Claude Sonnet 4.6 low,spelling_transform,100.00,10,10,10,0,0,0,0.002433
Claude Sonnet 4.6 low,word_count,100.00,10,10,10,0,0,0,0.000846
Claude Sonnet 4.6 max,arithmetic,100.00,10,10,10,0,0,0,0.001989
Claude Sonnet 4.6 max,character_count,20.00,2,10,10,0,0,8,0.001836
Claude Sonnet 4.6 max,constraint_awareness,100.00,10,10,10,0,0,0,0.004293
Claude Sonnet 4.6 max,format_compliance,100.00,10,10,10,0,0,0,0.002565
Claude Sonnet 4.6 max,negation,100.00,10,10,10,0,0,0,0.002073
Claude Sonnet 4.6 max,ordering,100.00,10,10,10,0,0,0,0.00312
Claude Sonnet 4.6 max,spelling_transform,80.00,8,10,10,0,0,2,0.002928
Claude Sonnet 4.6 max,word_count,100.00,10,10,10,0,0,0,0.001056
Claude Sonnet 4.6 medium,arithmetic,100.00,10,10,10,0,0,0,0.001989
Claude Sonnet 4.6 medium,character_count,30.00,3,10,10,0,0,7,0.001836
Claude Sonnet 4.6 medium,constraint_awareness,100.00,10,10,10,0,0,0,0.003348
Claude Sonnet 4.6 medium,format_compliance,100.00,10,10,10,0,0,0,0.002415
Claude Sonnet 4.6 medium,negation,100.00,10,10,10,0,0,0,0.002073
Claude Sonnet 4.6 medium,ordering,100.00,10,10,10,0,0,0,0.00312
Claude Sonnet 4.6 medium,spelling_transform,90.00,9,10,10,0,0,1,0.003048
Claude Sonnet 4.6 medium,word_count,100.00,10,10,10,0,0,0,0.000846
Cohere: Command A,arithmetic,100.00,10,10,10,0,0,0,0.0011575
Cohere: Command A,character_count,20.00,2,10,10,0,0,8,0.0008275
Cohere: Command A,constraint_awareness,100.00,10,10,10,0,0,0,0.00212
Cohere: Command A,format_compliance,100.00,10,10,10,0,0,0,0.001905
Cohere: Command A,negation,100.00,10,10,10,0,0,0,0.0011775
Cohere: Command A,ordering,100.00,10,10,10,0,0,0,0.0018575
Cohere: Command A,spelling_transform,50.00,5,10,10,0,0,5,0.00099
Cohere: Command A,word_count,100.00,10,10,10,0,0,0,0.000435
DeepSeek: DeepSeek V3,arithmetic,100.00,10,10,10,0,0,0,9.72208e-05
DeepSeek: DeepSeek V3,character_count,30.00,3,10,10,0,0,7,7.824e-05
DeepSeek: DeepSeek V3,constraint_awareness,60.00,6,10,10,0,0,4,0.0003791784
DeepSeek: DeepSeek V3,format_compliance,100.00,10,10,10,0,0,0,0.0001879864
DeepSeek: DeepSeek V3,negation,70.00,7,10,10,0,0,3,0.0001463872
DeepSeek: DeepSeek V3,ordering,90.00,9,10,10,0,0,1,0.0001699256
DeepSeek: DeepSeek V3,spelling_transform,50.00,5,10,10,0,0,5,0.0001008704
DeepSeek: DeepSeek V3,word_count,100.00,10,10,10,0,0,0,0.0001029504
DeepSeek: DeepSeek V3 0324,arithmetic,100.00,10,10,10,0,0,0,8.188e-05
DeepSeek: DeepSeek V3 0324,character_count,30.00,3,10,10,0,0,7,6.674e-05
DeepSeek: DeepSeek V3 0324,constraint_awareness,40.00,4,10,10,0,0,6,0.000398225
DeepSeek: DeepSeek V3 0324,format_compliance,100.00,10,10,10,0,0,0,0.0001593
DeepSeek: DeepSeek V3 0324,negation,80.00,8,10,10,0,0,2,0.00016044
DeepSeek: DeepSeek V3 0324,ordering,100.00,10,10,10,0,0,0,0.00014226
DeepSeek: DeepSeek V3 0324,spelling_transform,50.00,5,10,10,0,0,5,7.6185e-05
DeepSeek: DeepSeek V3 0324,word_count,100.00,10,10,10,0,0,0,7.636e-05
DeepSeek: DeepSeek V3.1,arithmetic,100.00,10,10,10,0,0,0,8.982e-05
DeepSeek: DeepSeek V3.1,character_count,20.00,2,10,10,0,0,8,7.562e-05
DeepSeek: DeepSeek V3.1,constraint_awareness,80.00,8,10,10,0,0,2,0.00020024
DeepSeek: DeepSeek V3.1,format_compliance,100.00,10,10,10,0,0,0,0.00012817
DeepSeek: DeepSeek V3.1,negation,100.00,10,10,10,0,0,0,8.34e-05
DeepSeek: DeepSeek V3.1,ordering,100.00,10,10,10,0,0,0,0.00015067
