id,label,provider_route,inspect_model,total_samples,billable_samples,cache_hits,estimated_billable_cost_usd,pricing_source,warnings
gpt-5-4-mini-none-trial-01,OpenAI GPT-5.4 mini none trial 01,openai,openai/gpt-5.4-mini,224,224,0,0.022968,runcost,
gpt-5-4-mini-none-trial-02,OpenAI GPT-5.4 mini none trial 02,openai,openai/gpt-5.4-mini,224,224,0,0.022968,runcost,
gpt-5-4-mini-none-trial-03,OpenAI GPT-5.4 mini none trial 03,openai,openai/gpt-5.4-mini,224,224,0,0.022968,runcost,
gpt-5-4-mini-none-trial-04,OpenAI GPT-5.4 mini none trial 04,openai,openai/gpt-5.4-mini,224,224,0,0.022968,runcost,
gpt-5-4-mini-none-trial-05,OpenAI GPT-5.4 mini none trial 05,openai,openai/gpt-5.4-mini,224,224,0,0.022968,runcost,
gpt-5-4-mini-low-trial-01,OpenAI GPT-5.4 mini low trial 01,openai,openai/gpt-5.4-mini,224,224,0,0.031032,runcost,
gpt-5-4-mini-low-trial-02,OpenAI GPT-5.4 mini low trial 02,openai,openai/gpt-5.4-mini,224,224,0,0.031032,runcost,
gpt-5-4-mini-low-trial-03,OpenAI GPT-5.4 mini low trial 03,openai,openai/gpt-5.4-mini,224,224,0,0.031032,runcost,
gpt-5-4-mini-low-trial-04,OpenAI GPT-5.4 mini low trial 04,openai,openai/gpt-5.4-mini,224,224,0,0.031032,runcost,
gpt-5-4-mini-low-trial-05,OpenAI GPT-5.4 mini low trial 05,openai,openai/gpt-5.4-mini,224,224,0,0.031032,runcost,
gpt-5-4-mini-medium-trial-01,OpenAI GPT-5.4 mini medium trial 01,openai,openai/gpt-5.4-mini,224,224,0,0.039096,runcost,
gpt-5-4-mini-medium-trial-02,OpenAI GPT-5.4 mini medium trial 02,openai,openai/gpt-5.4-mini,224,224,0,0.039096,runcost,
gpt-5-4-mini-medium-trial-03,OpenAI GPT-5.4 mini medium trial 03,openai,openai/gpt-5.4-mini,224,224,0,0.039096,runcost,
gpt-5-4-mini-medium-trial-04,OpenAI GPT-5.4 mini medium trial 04,openai,openai/gpt-5.4-mini,224,224,0,0.039096,runcost,
gpt-5-4-mini-medium-trial-05,OpenAI GPT-5.4 mini medium trial 05,openai,openai/gpt-5.4-mini,224,224,0,0.039096,runcost,
gpt-5-4-mini-high-trial-01,OpenAI GPT-5.4 mini high trial 01,openai,openai/gpt-5.4-mini,224,224,0,0.055224,runcost,
gpt-5-4-mini-high-trial-02,OpenAI GPT-5.4 mini high trial 02,openai,openai/gpt-5.4-mini,224,224,0,0.055224,runcost,
gpt-5-4-mini-high-trial-03,OpenAI GPT-5.4 mini high trial 03,openai,openai/gpt-5.4-mini,224,224,0,0.055224,runcost,
gpt-5-4-mini-high-trial-04,OpenAI GPT-5.4 mini high trial 04,openai,openai/gpt-5.4-mini,224,224,0,0.055224,runcost,
gpt-5-4-mini-high-trial-05,OpenAI GPT-5.4 mini high trial 05,openai,openai/gpt-5.4-mini,224,224,0,0.055224,runcost,
