provider,curve,model,mode,label,answer_pass_pow_3_pct,strict_pass_pow_3_pct,correct_pass_pow_3_pct,pass3_cost_usd,total_cost_usd,trials,source_root,provider_errors
OpenAI,GPT-5.4 nano,openai/gpt-5.4-nano,none,GPT-5.4 nano none,79.8660714286,79.4196428571,79.8660714286,0.01151919,0.01919865,5,results/summaries/gpt-5-4-nano-passk-8x28-20260606,1
OpenAI,GPT-5.4 nano,openai/gpt-5.4-nano,low,GPT-5.4 nano low,83.0803571429,82.5,83.0803571429,0.02351748,0.0391958,5,results/summaries/gpt-5-4-nano-passk-8x28-20260606,1
OpenAI,GPT-5.4 nano,openai/gpt-5.4-nano,medium,GPT-5.4 nano medium,88.6160714286,88.3482142857,88.6160714286,0.03181095,0.05301825,5,results/summaries/gpt-5-4-nano-passk-8x28-20260606,0
OpenAI,GPT-5.4 nano,openai/gpt-5.4-nano,high,GPT-5.4 nano high,91.5178571429,90.4017857143,91.5178571429,0.03578331,0.05963885,5,results/summaries/gpt-5-4-nano-passk-8x28-20260606,1
OpenAI,GPT-5.4 mini,openai/gpt-5.4-mini,none,GPT-5.4 mini none,84.1964285714,84.1964285714,84.1964285714,0.0421308,0.070218,5,results/summaries/gpt-5-4-mini-passk-8x28-20260606,0
OpenAI,GPT-5.4 mini,openai/gpt-5.4-mini,low,GPT-5.4 mini low,92.7232142857,92.7232142857,92.7232142857,0.1180179,0.1966965,5,results/summaries/gpt-5-4-mini-passk-8x28-20260606,1
OpenAI,GPT-5.4 mini,openai/gpt-5.4-mini,medium,GPT-5.4 mini medium,93.5714285714,93.5714285714,93.5714285714,0.15858765,0.26431275,5,results/summaries/gpt-5-4-mini-passk-8x28-20260606,3
OpenAI,GPT-5.4 mini,openai/gpt-5.4-mini,high,GPT-5.4 mini high,94.9107142857,94.9107142857,94.9107142857,0.2154051,0.3590085,5,results/summaries/gpt-5-4-mini-passk-8x28-20260606,3
OpenAI,GPT-5.5,openai/gpt-5.5,none,GPT-5.5 none,94.6428571429,94.6428571429,94.6428571429,0.27754,0.27754,3,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606,1
OpenAI,GPT-5.5,openai/gpt-5.5,low,GPT-5.5 low,100,100,100,0.8757,0.8757,3,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606,0
OpenAI,GPT-5.5,openai/gpt-5.5,medium,GPT-5.5 medium,99.1071428571,99.1071428571,99.1071428571,1.013255,1.013255,3,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606,1
OpenAI,GPT-5.5,openai/gpt-5.5,high,GPT-5.5 high,98.6607142857,98.6607142857,98.6607142857,1.26786,1.26786,3,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606,0
OpenAI,GPT-5.5,openai/gpt-5.5,xhigh,GPT-5.5 xhigh,98.6607142857,98.6607142857,98.6607142857,1.57505,1.57505,3,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606,2
