label,model,summary_dir
OpenAI GPT-5.5 none trial 01,openai/gpt-5.5,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/gpt-5-5-none-trial-01
OpenAI GPT-5.5 none trial 02,openai/gpt-5.5,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/gpt-5-5-none-trial-02
OpenAI GPT-5.5 none trial 03,openai/gpt-5.5,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/gpt-5-5-none-trial-03
OpenAI GPT-5.5 low trial 01,openai/gpt-5.5,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/gpt-5-5-low-trial-01
OpenAI GPT-5.5 low trial 02,openai/gpt-5.5,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/gpt-5-5-low-trial-02
OpenAI GPT-5.5 low trial 03,openai/gpt-5.5,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/gpt-5-5-low-trial-03
OpenAI GPT-5.5 medium trial 01,openai/gpt-5.5,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/gpt-5-5-medium-trial-01
OpenAI GPT-5.5 medium trial 02,openai/gpt-5.5,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/gpt-5-5-medium-trial-02
OpenAI GPT-5.5 medium trial 03,openai/gpt-5.5,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/gpt-5-5-medium-trial-03
OpenAI GPT-5.5 high trial 01,openai/gpt-5.5,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/gpt-5-5-high-trial-01
OpenAI GPT-5.5 high trial 02,openai/gpt-5.5,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/gpt-5-5-high-trial-02
OpenAI GPT-5.5 high trial 03,openai/gpt-5.5,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/gpt-5-5-high-trial-03
OpenAI GPT-5.5 xhigh trial 01,openai/gpt-5.5,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/gpt-5-5-xhigh-trial-01
OpenAI GPT-5.5 xhigh trial 02,openai/gpt-5.5,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/gpt-5-5-xhigh-trial-02
OpenAI GPT-5.5 xhigh trial 03,openai/gpt-5.5,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/gpt-5-5-xhigh-trial-03
Claude Sonnet 4.6 low trial 01,anthropic/claude-sonnet-4-6,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/sonnet-4-6-low-trial-01
Claude Sonnet 4.6 low trial 02,anthropic/claude-sonnet-4-6,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/sonnet-4-6-low-trial-02
Claude Sonnet 4.6 low trial 03,anthropic/claude-sonnet-4-6,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/sonnet-4-6-low-trial-03
Claude Sonnet 4.6 medium trial 01,anthropic/claude-sonnet-4-6,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/sonnet-4-6-medium-trial-01
Claude Sonnet 4.6 medium trial 02,anthropic/claude-sonnet-4-6,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/sonnet-4-6-medium-trial-02
Claude Sonnet 4.6 medium trial 03,anthropic/claude-sonnet-4-6,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/sonnet-4-6-medium-trial-03
Claude Sonnet 4.6 high trial 01,anthropic/claude-sonnet-4-6,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/sonnet-4-6-high-trial-01
Claude Sonnet 4.6 high trial 02,anthropic/claude-sonnet-4-6,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/sonnet-4-6-high-trial-02
Claude Sonnet 4.6 high trial 03,anthropic/claude-sonnet-4-6,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/sonnet-4-6-high-trial-03
Claude Sonnet 4.6 max trial 01,anthropic/claude-sonnet-4-6,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/sonnet-4-6-max-trial-01
Claude Sonnet 4.6 max trial 02,anthropic/claude-sonnet-4-6,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/sonnet-4-6-max-trial-02
Claude Sonnet 4.6 max trial 03,anthropic/claude-sonnet-4-6,results/summaries/gpt-5-5-sonnet-4-6-pass3-8x28-20260606/runs/sonnet-4-6-max-trial-03
