id,label,provider_route,inspect_model,total_samples,billable_samples,cache_hits,estimated_billable_cost_usd,pricing_source,warnings
paper-openai-gpt-5-nano-minimal,OpenAI GPT-5 nano minimal,openai,openai/gpt-5-nano,80,80,0,0.000721,runcost,
paper-openai-gpt-4-1,OpenAI GPT-4.1,openai,openai/gpt-4.1,80,80,0,0.008582,runcost,
paper-openai-gpt-4-1-mini,OpenAI GPT-4.1 mini,openai,openai/gpt-4.1-mini,80,80,0,0.006264,runcost,
paper-anthropic-claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,anthropic,anthropic/claude-sonnet-4-6,80,80,0,0.021243,runcost,
paper-anthropic-claude-haiku-4-5,Anthropic Claude Haiku 4.5,anthropic,anthropic/claude-haiku-4-5,80,80,0,0.006696,runcost,
paper-gemini-3-5-flash,Gemini 3.5 Flash,gemini,google/gemini-3.5-flash,80,80,0,0.003204,runcost,No price found for output_reasoning_tokens (token).
paper-gemini-2-5-flash-lite,Gemini 2.5 Flash-Lite,gemini,google/gemini-2.5-flash-lite,80,80,0,0.000214,runcost,No price found for output_reasoning_tokens (token).
paper-grok-4-3,Grok 4.3,grok,grok/grok-4.3,80,80,0,0.296574,panel_price_metadata,runcost price card missing; used panel price metadata
paper-openrouter-xiaomi-mimo-v2-flash,Xiaomi MiMo-V2-Flash,openrouter,openrouter/xiaomi/mimo-v2-flash,80,80,0,0.000214,runcost,No price found for output_reasoning_tokens (token).
paper-openrouter-nemotron-3-nano,NVIDIA Nemotron 3 Nano 30B A3B,openrouter,openrouter/nvidia/nemotron-3-nano-30b-a3b,80,80,0,0.000104,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
paper-openrouter-gpt-oss-20b,OpenAI GPT-OSS 20B,openrouter,openrouter/openai/gpt-oss-20b,80,80,0,0.000062,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
paper-openrouter-qwen3-next,Qwen3 Next 80B A3B Instruct,openrouter,openrouter/qwen/qwen3-next-80b-a3b-instruct,80,80,0,0.000187,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-013-openrouter-159-mistralai-mistral-nemo,Mistral: Mistral Nemo,openrouter,openrouter/mistralai/mistral-nemo,80,80,0,0.000042,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-014-openrouter-063-meta-llama-llama-guard-3-8b,Llama Guard 3 8B,openrouter,openrouter/meta-llama/llama-guard-3-8b,80,80,0,0.001007,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-015-openrouter-076-meta-llama-llama-3-8b-instruct,Meta: Llama 3 8B Instruct,openrouter,openrouter/meta-llama/llama-3-8b-instruct,80,80,0,0.000083,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-016-openrouter-073-meta-llama-llama-3-1-8b-instruct,Meta: Llama 3.1 8B Instruct,openrouter,openrouter/meta-llama/llama-3.1-8b-instruct,80,80,0,0.000042,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-017-openrouter-121-sao10k-l3-lunaris-8b,Sao10K: Llama 3 8B Lunaris,openrouter,openrouter/sao10k/l3-lunaris-8b,80,80,0,0.000083,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-018-openrouter-079-gryphe-mythomax-l2-13b,MythoMax 13B,openrouter,openrouter/gryphe/mythomax-l2-13b,80,80,0,0.000125,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-019-openrouter-065-mistralai-mistral-small-24b-instruct-2501,Mistral: Mistral Small 3,openrouter,openrouter/mistralai/mistral-small-24b-instruct-2501,80,80,0,0.000104,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-020-openrouter-069-qwen-qwen-2-5-7b-instruct,Qwen: Qwen2.5 7B Instruct,openrouter,openrouter/qwen/qwen-2.5-7b-instruct,80,80,0,0.000083,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-021-openrouter-026-ibm-granite-granite-4-1-8b,IBM: Granite 4.1 8B,openrouter,openrouter/ibm-granite/granite-4.1-8b,80,80,0,0.000132,runcost,No price found for output_reasoning_tokens (token).
scaled-022-openrouter-053-qwen-qwen3-235b-a22b-2507,Qwen: Qwen3 235B A22B Instruct 2507,openrouter,openrouter/qwen/qwen3-235b-a22b-2507,80,80,0,0.000148,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-023-openrouter-118-qwen-qwen3-235b-a22b-thinking-2507,Qwen: Qwen3 235B A22B Thinking 2507,openrouter,openrouter/qwen/qwen3-235b-a22b-thinking-2507,80,80,0,0.000311,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-024-openrouter-052-z-ai-glm-4-32b,Z.ai: GLM 4 32B ,openrouter,openrouter/z-ai/glm-4-32b,80,80,0,0.000208,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-025-openrouter-041-ibm-granite-granite-4-0-h-micro,IBM: Granite 4.0 Micro,openrouter,openrouter/ibm-granite/granite-4.0-h-micro,80,80,0,0.000035,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-026-openrouter-030-liquid-lfm-2-24b-a2b,LiquidAI: LFM2-24B-A2B,openrouter,openrouter/liquid/lfm-2-24b-a2b,80,80,0,0.000062,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-027-openrouter-056-google-gemma-3n-e4b-it,Google: Gemma 3n 4B,openrouter,openrouter/google/gemma-3n-e4b-it,80,80,0,0.000125,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-028-openrouter-066-microsoft-phi-4,Microsoft: Phi 4,openrouter,openrouter/microsoft/phi-4,80,80,0,0.000135,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-029-openrouter-075-nousresearch-hermes-2-pro-llama-3-8b,NousResearch: Hermes 2 Pro - Llama-3 8B,openrouter,openrouter/nousresearch/hermes-2-pro-llama-3-8b,80,80,0,0.000291,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-030-openrouter-037-arcee-ai-trinity-mini,Arcee AI: Trinity Mini,openrouter,openrouter/arcee-ai/trinity-mini,80,80,0,0.000094,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-031-openrouter-133-essentialai-rnj-1-instruct,EssentialAI: Rnj 1 Instruct,openrouter,openrouter/essentialai/rnj-1-instruct,80,80,0,0.000312,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-032-openrouter-047-nvidia-nemotron-nano-9b-v2,NVIDIA: Nemotron Nano 9B V2,openrouter,openrouter/nvidia/nemotron-nano-9b-v2,80,80,0,0.000083,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-033-openrouter-051-qwen-qwen3-30b-a3b-instruct-2507,Qwen: Qwen3 30B A3B Instruct 2507,openrouter,openrouter/qwen/qwen3-30b-a3b-instruct-2507,80,80,0,0.000187,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-034-openrouter-048-openai-gpt-oss-120b,OpenAI: gpt-oss-120b,openrouter,openrouter/openai/gpt-oss-120b,80,80,0,0.000081,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-035-openrouter-027-deepseek-deepseek-v4-flash,DeepSeek: DeepSeek V4 Flash,openrouter,openrouter/deepseek/deepseek-v4-flash,80,80,0,0.000219,runcost,No price found for output_reasoning_tokens (token).
scaled-036-openrouter-062-rekaai-reka-flash-3,Reka Flash 3,openrouter,openrouter/rekaai/reka-flash-3,80,80,0,0.000208,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-037-openrouter-155-meta-llama-llama-3-2-1b-instruct,Meta: Llama 3.2 1B Instruct,openrouter,openrouter/meta-llama/llama-3.2-1b-instruct,80,80,0,0.000056,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-038-openrouter-126-tencent-hy3-preview,Tencent: Hy3 preview,openrouter,openrouter/tencent/hy3-preview,80,80,0,0.000143,runcost,No price found for output_reasoning_tokens (token).
scaled-039-openrouter-059-qwen-qwen3-14b,Qwen: Qwen3 14B,openrouter,openrouter/qwen/qwen3-14b,80,80,0,0.000208,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-040-openrouter-050-qwen-qwen3-coder-30b-a3b-instruct,Qwen: Qwen3 Coder 30B A3B Instruct,openrouter,openrouter/qwen/qwen3-coder-30b-a3b-instruct,80,80,0,0.000146,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-041-openrouter-060-qwen-qwen3-32b,Qwen: Qwen3 32B,openrouter,openrouter/qwen/qwen3-32b,80,80,0,0.000166,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-042-openrouter-120-deepseek-deepseek-r1-distill-qwen-32b,DeepSeek: R1 Distill Qwen 32B,openrouter,openrouter/deepseek/deepseek-r1-distill-qwen-32b,80,80,0,0.000603,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-043-openrouter-039-openai-gpt-oss-safeguard-20b,OpenAI: gpt-oss-safeguard-20b,openrouter,openrouter/openai/gpt-oss-safeguard-20b,80,80,0,0.000177,runcost,No price found for output_reasoning_tokens (token).
scaled-044-openrouter-032-stepfun-step-3-5-flash,StepFun: Step 3.5 Flash,openrouter,openrouter/stepfun/step-3.5-flash,80,80,0,0.000198,runcost,No price found for output_reasoning_tokens (token).
scaled-045-openrouter-156-nousresearch-hermes-3-llama-3-1-70b,Nous: Hermes 3 70B Instruct,openrouter,openrouter/nousresearch/hermes-3-llama-3.1-70b,80,80,0,0.000624,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-046-openrouter-154-meta-llama-llama-3-3-70b-instruct,Meta: Llama 3.3 70B Instruct,openrouter,openrouter/meta-llama/llama-3.3-70b-instruct,80,80,0,0.000208,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-047-openrouter-071-meta-llama-llama-3-2-3b-instruct,Meta: Llama 3.2 3B Instruct,openrouter,openrouter/meta-llama/llama-3.2-3b-instruct,80,80,0,0.000106,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-048-openrouter-134-deepseek-deepseek-v3-2,DeepSeek: DeepSeek V3.2,openrouter,openrouter/deepseek/deepseek-v3.2,80,80,0,0.000538,runcost,No price found for output_reasoning_tokens (token).
scaled-049-openrouter-042-microsoft-phi-4-mini-instruct,Microsoft: Phi 4 Mini Instruct,openrouter,openrouter/microsoft/phi-4-mini-instruct,80,80,0,0.000211,runcost,No price found for output_reasoning_tokens (token).
scaled-050-openrouter-058-qwen-qwen3-8b,Qwen: Qwen3 8B,openrouter,openrouter/qwen/qwen3-8b,80,80,0,0.000132,runcost,No price found for output_reasoning_tokens (token).
scaled-051-openrouter-033-z-ai-glm-4-7-flash,Z.ai: GLM 4.7 Flash,openrouter,openrouter/z-ai/glm-4.7-flash,80,80,0,0.000130,runcost,No price found for output_reasoning_tokens (token).
scaled-052-openrouter-117-qwen-qwen3-30b-a3b-thinking-2507,Qwen: Qwen3 30B A3B Thinking 2507,openrouter,openrouter/qwen/qwen3-30b-a3b-thinking-2507,80,80,0,0.000211,runcost,No price found for output_reasoning_tokens (token).
scaled-053-openrouter-043-nvidia-llama-3-3-nemotron-super-49b-v1-5,NVIDIA: Llama 3.3 Nemotron Super 49B V1.5,openrouter,openrouter/nvidia/llama-3.3-nemotron-super-49b-v1.5,80,80,0,0.000208,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-054-openrouter-143-nousresearch-hermes-4-70b,Nous: Hermes 4 70B,openrouter,openrouter/nousresearch/hermes-4-70b,80,80,0,0.000270,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-055-openrouter-072-qwen-qwen-2-5-72b-instruct,Qwen2.5 72B Instruct,openrouter,openrouter/qwen/qwen-2.5-72b-instruct,80,80,0,0.000749,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-056-openrouter-068-thedrummer-unslopnemo-12b,TheDrummer: UnslopNemo 12B,openrouter,openrouter/thedrummer/unslopnemo-12b,80,80,0,0.000832,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
scaled-057-openrouter-158-meta-llama-llama-3-1-70b-instruct,Meta: Llama 3.1 70B Instruct,openrouter,openrouter/meta-llama/llama-3.1-70b-instruct,80,80,0,0.000832,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
