rank,label,display_label,model,thinking_level,barrage_profile,accuracy_pct,accuracy_ci_95,answer_accuracy_pct,format_accuracy_pct,strict_accuracy_pct,obvious_failure_rate_pct,correct,answer_correct,format_correct,strict_correct,scored_samples,provider_errors,timeouts,total_tokens,total_tokens_display,estimated_cost_usd,cost_per_correct_usd,tokens_per_correct,overthinking_index,reasoning_token_source,cost_warnings,summary_dir
1,Qwen: Qwen3.7 Max,Qwen: Qwen3.7 Max (thinking=max),openrouter/qwen/qwen3.7-max,thinking=max,hard_obvious_8x28_seed_20260531,100.0,98.3-100.0%,100.0,100.0,100.0,0.0,224,224,224,224,224,0,0,23108,23.11k,0.075883,0.000339,103,0.97,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-067-registry-openrouter-178-qwen-qwen3-7-max
2,OpenAI GPT-5.5 low,OpenAI GPT-5.5 low (thinking=low),openai/gpt-5.5,thinking=low,hard_obvious_8x28_seed_20260531,100.0,98.3-100.0%,100.0,100.0,100.0,0.0,224,224,224,224,224,0,0,7774,7.77k,0.13922,0.00062152,35,0.84,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-002-openai-gpt-5-5-low
3,OpenAI GPT-5.5 xhigh,OpenAI GPT-5.5 xhigh (thinking=xhigh),openai/gpt-5.5,thinking=xhigh,hard_obvious_8x28_seed_20260531,100.0,98.3-100.0%,100.0,100.0,100.0,0.0,224,224,224,224,224,0,0,15946,15.95k,0.38438,0.00171598,71,0.95,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-005-openai-gpt-5-5-xhigh
4,Gemini 3 Flash Preview,Gemini 3 Flash Preview (provider default),google/gemini-3-flash-preview,provider default,hard_obvious_8x28_seed_20260531,99.6,97.5-99.9%,99.6,100.0,99.6,0.4,223,223,224,223,224,0,0,18573,18.57k,0.046846,0.00021,83,95.31,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-060-registry-gemini-3-flash-preview
5,MoonshotAI: Kimi K2.6,MoonshotAI: Kimi K2.6 (provider default),openrouter/moonshotai/kimi-k2.6,provider default,hard_obvious_8x28_seed_20260531,99.6,97.5-99.9%,99.6,100.0,99.6,0.4,223,223,224,223,224,0,0,22112,22.11k,0.064572,0.00029,99,0.94,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-065-registry-openrouter-164-moonshotai-kimi-k2-6
6,OpenAI GPT-5.5 low,OpenAI GPT-5.5 low (thinking=low/none),openai/gpt-5.5,thinking=low/none,hard_obvious_8x28_seed_20260531,99.6,97.5-99.9%,99.6,100.0,99.6,0.4,223,223,224,223,224,0,0,7718,7.72k,0.13754,0.00061677,35,0.84,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-085-registry-openai-gpt-5-5-low
7,OpenAI GPT-5.5 medium,OpenAI GPT-5.5 medium (thinking=medium),openai/gpt-5.5,thinking=medium,hard_obvious_8x28_seed_20260531,99.6,97.5-99.9%,99.6,100.0,99.6,0.4,223,223,224,223,224,0,0,8042,8.04k,0.14726,0.00066036,36,0.85,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-003-openai-gpt-5-5-medium
8,OpenAI GPT-5.5 high,OpenAI GPT-5.5 high (thinking=high),openai/gpt-5.5,thinking=high,hard_obvious_8x28_seed_20260531,99.6,97.5-99.9%,99.6,100.0,99.6,0.4,223,223,224,223,224,0,0,10105,10.11k,0.20915,0.00093789,45,0.90,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-004-openai-gpt-5-5-high
9,Google: Gemini 3.1 Pro Preview Custom Tools high,Google: Gemini 3.1 Pro Preview Custom Tools high (thinking=high),openrouter/google/gemini-3.1-pro-preview-customtools,thinking=high,hard_obvious_8x28_seed_20260531,99.6,97.5-99.9%,99.6,100.0,99.6,0.4,223,223,224,223,224,0,0,22023,22.02k,0.228786,0.00102595,99,0.99,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-033-openrouter-google-gemini-3-1-pro-preview-customtools-high
10,Claude Sonnet 4.6 max,Claude Sonnet 4.6 max (thinking=max),anthropic/claude-sonnet-4-6,thinking=max,hard_obvious_8x28_seed_20260531,99.6,97.5-99.9%,99.6,84.8,84.4,0.4,223,223,190,189,224,0,0,29581,29.58k,0.314811,0.00141171,133,0.82,reported,,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-019-anthropic-claude-sonnet-4-6-max
