mode,sample_id,answer_successes,strict_successes,provider_errors,target,item_type,lure_type,needle,collection_label,matches,question
low,obviousbench.char_count.en.v0.private.100012,1/3,1/3,0,0,absent_zero,multi_char_absence,cat,letters from a to f,,"How many of these letters from a to f contain the exact letter sequence ""cat"": a, b, c, d, e, f?"
low,obviousbench.char_count.en.v0.private.100046,2/3,2/3,1,0,absent_zero,semantic_lure,dog,cloud type names,,"How many of these cloud type names contain the exact letter sequence ""dog"": cirrus, cumulus, stratus, nimbus?"
low,obviousbench.char_count.en.v0.private.100068,2/3,2/3,0,1,positive_control,positive_control,red,rainbow colors,red,"How many of these rainbow colors contain the exact letter sequence ""red"": red, orange, yellow, green, blue, indigo, violet?"
low,obviousbench.char_count.en.v0.private.100075,2/3,2/3,0,4,positive_control,positive_control,eta,Greek letter names,beta;zeta;eta;theta,"How many of these Greek letter names contain the exact letter sequence ""eta"": alpha, beta, gamma, delta, epsilon, zeta, eta, theta, iota, kappa?"
medium,obviousbench.char_count.en.v0.private.100012,2/3,2/3,0,0,absent_zero,multi_char_absence,cat,letters from a to f,,"How many of these letters from a to f contain the exact letter sequence ""cat"": a, b, c, d, e, f?"
none,obviousbench.char_count.en.v0.private.100015,0/3,0/3,0,0,absent_zero,semantic_lure,cat,secondary colors,,"How many of these secondary colors contain the exact letter sequence ""cat"": orange, green, purple?"
none,obviousbench.char_count.en.v0.private.100028,0/3,0/3,0,0,absent_zero,semantic_lure,cat,US bill value names,,"How many of these US bill value names contain the exact letter sequence ""cat"": one, five, ten, twenty, fifty, hundred?"
none,obviousbench.char_count.en.v0.private.100035,0/3,0/3,0,0,absent_zero,near_subsequence_lure,cat,punctuation mark names,,"How many of these punctuation mark names contain the exact letter sequence ""cat"": comma, period, colon, semicolon, question mark, exclamation point?"
none,obviousbench.char_count.en.v0.private.100041,0/3,0/3,0,0,absent_zero,semantic_lure,cat,Boolean words,,"How many of these Boolean words contain the exact letter sequence ""cat"": true, false?"
none,obviousbench.char_count.en.v0.private.100069,0/3,0/3,0,1,positive_control,positive_control_sticky_domain,mer,season names,summer,"How many of these season names contain the exact letter sequence ""mer"": spring, summer, autumn, winter?"
none,obviousbench.char_count.en.v0.private.100072,0/3,0/3,0,1,positive_control,positive_control,x,NATO alphabet words,foxtrot,"How many of these NATO alphabet words contain the exact letter sequence ""x"": alpha, bravo, charlie, delta, echo, foxtrot?"
none,obviousbench.char_count.en.v0.private.100073,0/3,0/3,0,2,positive_control,positive_control,angle,shape names,triangle;rectangle,"How many of these shape names contain the exact letter sequence ""angle"": circle, square, triangle, rectangle?"
none,obviousbench.char_count.en.v0.private.100075,0/3,0/3,0,4,positive_control,positive_control,eta,Greek letter names,beta;zeta;eta;theta,"How many of these Greek letter names contain the exact letter sequence ""eta"": alpha, beta, gamma, delta, epsilon, zeta, eta, theta, iota, kappa?"
none,obviousbench.char_count.en.v0.private.100080,0/3,0/3,0,1,positive_control,positive_control,saw,tool names,saw,"How many of these tool names contain the exact letter sequence ""saw"": hammer, saw, wrench, pliers, drill?"
none,obviousbench.char_count.en.v0.private.100022,1/3,1/3,0,0,absent_zero,semantic_lure,cat,programming language names,,"How many of these programming language names contain the exact letter sequence ""cat"": Python, Java, Ruby, Go, Rust, Swift, Kotlin?"
