rank,label,display_label,model,thinking_level,barrage_profile,accuracy_pct,accuracy_ci_95,answer_accuracy_pct,format_accuracy_pct,strict_accuracy_pct,obvious_failure_rate_pct,correct,answer_correct,format_correct,strict_correct,scored_samples,provider_errors,timeouts,total_tokens,total_tokens_display,estimated_cost_usd,cost_per_correct_usd,tokens_per_correct,overthinking_index,reasoning_token_source,cost_warnings,summary_dir
1,Gemini 3 Flash Preview,Gemini 3 Flash Preview (reported reasoning),google/gemini-3-flash-preview,reported reasoning,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,14156,14.16k,0.002237,0.000028,177,46.20,reported,,results/summaries/paper-v1-scaled-next100-10k-20260601/next-060-registry-gemini-3-flash-preview
2,Z.ai: GLM 4.6V,Z.ai: GLM 4.6V (reported reasoning),openrouter/z-ai/glm-4.6v,reported reasoning,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,14864,14.86k,0.011145,0.000139,186,0.94,reported,,results/summaries/paper-v1-scaled-next100-10k-20260601/next-033-registry-openrouter-170-z-ai-glm-4-6v
3,MoonshotAI: Kimi K2.5,MoonshotAI: Kimi K2.5 (reported reasoning),openrouter/moonshotai/kimi-k2.5,reported reasoning,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,18192,18.19k,0.02898,0.000362,227,0.95,reported,,results/summaries/paper-v1-scaled-next100-10k-20260601/next-049-registry-openrouter-169-moonshotai-kimi-k2-5
4,MoonshotAI: Kimi K2.6,MoonshotAI: Kimi K2.6 (reported reasoning),openrouter/moonshotai/kimi-k2.6,reported reasoning,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,16090,16.09k,0.045453,0.000568,201,0.97,reported,,results/summaries/paper-v1-scaled-next100-10k-20260601/next-065-registry-openrouter-164-moonshotai-kimi-k2-6
5,Qwen: Qwen3.6 Plus,Qwen: Qwen3.6 Plus (reported reasoning),openrouter/qwen/qwen3.6-plus,reported reasoning,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,34948,34.95k,0.062013,0.000775,437,0.98,reported,,results/summaries/paper-v1-scaled-next100-10k-20260601/next-048-registry-openrouter-166-qwen-qwen3-6-plus
6,Qwen: Qwen3.7 Max,Qwen: Qwen3.7 Max (reported reasoning),openrouter/qwen/qwen3.7-max,reported reasoning,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,24067,24.07k,0.081056,0.001013,301,0.97,reported,,results/summaries/paper-v1-scaled-next100-10k-20260601/next-067-registry-openrouter-178-qwen-qwen3-7-max
7,Z.ai: GLM 5.1,Z.ai: GLM 5.1 (reported reasoning),openrouter/z-ai/glm-5.1,reported reasoning,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,29071,29.07k,0.082682,0.001034,363,1.02,reported,,results/summaries/paper-v1-scaled-next100-10k-20260601/next-063-registry-openrouter-128-z-ai-glm-5-1
8,OpenAI GPT-5.5 low,OpenAI GPT-5.5 low (thinking=low/none),openai/gpt-5.5,thinking=low/none,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,5981,5.98k,0.097205,0.00121506,75,0.75,reported,,results/summaries/paper-v1-scaled-next100-10k-20260601/next-085-registry-openai-gpt-5-5-low
9,Qwen: Qwen3.6 Max Preview,Qwen: Qwen3.6 Max Preview (reported reasoning),openrouter/qwen/qwen3.6-max-preview,reported reasoning,hard_obvious_8x10_seed_20260531,100.0,95.4-100.0%,100.0,100.0,100.0,0.0,80,80,80,80,80,0,0,37413,37.41k,0.214066,0.002676,468,0.98,reported,,results/summaries/paper-v1-scaled-next100-10k-20260601/next-071-registry-openrouter-179-qwen-qwen3-6-max-preview
10,Gemini 2.5 Flash,Gemini 2.5 Flash (reported reasoning),google/gemini-2.5-flash,reported reasoning,hard_obvious_8x10_seed_20260531,98.8,93.3-99.8%,98.8,87.5,86.2,1.2,79,79,70,69,80,0,0,16457,16.46k,0.001841,0.000023,208,35.30,reported,,results/summaries/paper-v1-scaled-next100-10k-20260601/next-056-registry-gemini-2-5-flash
