label,model,summary_dir
OpenAI GPT-4.1 mini,openai/gpt-4.1-mini,results/summaries/paper-v1-final-rescored-20260601/paper-openai-gpt-4-1-mini
OpenAI GPT-4.1,openai/gpt-4.1,results/summaries/paper-v1-final-rescored-20260601/paper-openai-gpt-4-1
Xiaomi MiMo-V2-Flash,openrouter/xiaomi/mimo-v2-flash,results/summaries/paper-v1-final-rescored-20260601/paper-openrouter-xiaomi-mimo-v2-flash
Qwen3 Next 80B A3B Instruct,openrouter/qwen/qwen3-next-80b-a3b-instruct,results/summaries/paper-v1-final-rescored-20260601/paper-openrouter-qwen3-next
Anthropic Claude Haiku 4.5,anthropic/claude-haiku-4-5,results/summaries/paper-v1-final-rescored-20260601/paper-anthropic-claude-haiku-4-5
Anthropic Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,results/summaries/paper-v1-final-rescored-20260601/paper-anthropic-claude-sonnet-4-6
Gemini 2.5 Flash-Lite,google/gemini-2.5-flash-lite,results/summaries/paper-v1-final-rescored-20260601/paper-gemini-2-5-flash-lite
OpenAI GPT-5 nano minimal,openai/gpt-5-nano,results/summaries/paper-v1-final-rescored-20260601/paper-openai-gpt-5-nano-minimal
Gemini 3.5 Flash,google/gemini-3.5-flash,results/summaries/paper-v1-final-rescored-20260601/paper-gemini-3-5-flash
OpenAI GPT-OSS 20B,openrouter/openai/gpt-oss-20b,results/summaries/paper-v1-final-rescored-20260601/paper-openrouter-gpt-oss-20b
NVIDIA Nemotron 3 Nano 30B A3B,openrouter/nvidia/nemotron-3-nano-30b-a3b,results/summaries/paper-v1-final-rescored-20260601/paper-openrouter-nemotron-3-nano
Grok 4.3,grok/grok-4.3,results/summaries/paper-v1-final-rescored-20260601/paper-grok-4-3
