review_status,grader_issue,notes,review_kind,model_label,model,family,subfamily,sample_id,failure_type,answer_correct,format_correct,strict_correct,expected_answer,extracted_answer,raw_output,question,human_triviality,source_type,why_obvious,reference,log_file
,,,answer_wrong,AionLabs: Aion-RP 1.0 (8B),openrouter/aion-labs/aion-rp-llama-3.1-8b,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000007,ambiguous_output,false,true,false,22,," 9 + 14 - 1 = 22
",What is 9 + 14 - 1?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-combined-234-overline-20260602-review sample=obviousbench.arith.en.v0.public.000007 epoch=1 model=openrouter/aion-labs/aion-rp-llama-3.1-8b,results/raw/paper-v1-combined-234-overline-20260602-review/scaled-092-openrouter-064-aion-labs-aion-rp-llama-3-1-8b/2026-06-01T23-01-12-00-00_barrage_UHua8XzX6V9qHpjVJ2YHdR.eval
,,,answer_wrong,IBM: Granite 4.0 Micro,openrouter/ibm-granite/granite-4.0-h-micro,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000007,incorrect_count,false,true,false,22,12,12,What is 9 + 14 - 1?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-combined-234-overline-20260602-review sample=obviousbench.arith.en.v0.public.000007 epoch=1 model=openrouter/ibm-granite/granite-4.0-h-micro,results/raw/paper-v1-combined-234-overline-20260602-review/scaled-025-openrouter-041-ibm-granite-granite-4-0-h-micro/2026-06-01T22-07-42-00-00_barrage_bZ4zfnSbfzWCmj3NANfKbT.eval
,,,answer_wrong,Meta: Llama 3.2 1B Instruct,openrouter/meta-llama/llama-3.2-1b-instruct,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000007,incorrect_count,false,true,false,22,23,23,What is 9 + 14 - 1?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-combined-234-overline-20260602-review sample=obviousbench.arith.en.v0.public.000007 epoch=1 model=openrouter/meta-llama/llama-3.2-1b-instruct,results/raw/paper-v1-combined-234-overline-20260602-review/scaled-037-openrouter-155-meta-llama-llama-3-2-1b-instruct/2026-06-01T22-17-16-00-00_barrage_BzKRXUisUNC6CeQvkbBbwx.eval
,,,answer_wrong,Meta: Llama Guard 4 12B,openrouter/meta-llama/llama-guard-4-12b,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000007,non_answer,false,true,false,22,,"

safe",What is 9 + 14 - 1?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-combined-234-overline-20260602-review sample=obviousbench.arith.en.v0.public.000007 epoch=1 model=openrouter/meta-llama/llama-guard-4-12b,results/raw/paper-v1-combined-234-overline-20260602-review/next-011-registry-openrouter-105-meta-llama-llama-guard-4-12b/2026-06-02T04-27-26-00-00_barrage_W8ztr7LxxHDmkcXXybfNE4.eval
,,,answer_wrong,Mistral: Ministral 3 3B 2512,openrouter/mistralai/ministral-3b-2512,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000007,incorrect_count,false,true,false,22,12,12,What is 9 + 14 - 1?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-combined-234-overline-20260602-review sample=obviousbench.arith.en.v0.public.000007 epoch=1 model=openrouter/mistralai/ministral-3b-2512,results/raw/paper-v1-combined-234-overline-20260602-review/next-004-registry-openrouter-095-mistralai-ministral-3b-2512/2026-06-02T04-26-08-00-00_barrage_jFY6HTAA47G2B7yaiK5Eng.eval
,,,answer_wrong,Mistral: Mistral Nemo,openrouter/mistralai/mistral-nemo,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000007,incorrect_count,false,true,false,22,12,12,What is 9 + 14 - 1?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-combined-234-overline-20260602-review sample=obviousbench.arith.en.v0.public.000007 epoch=1 model=openrouter/mistralai/mistral-nemo,results/raw/paper-v1-combined-234-overline-20260602-review/scaled-013-openrouter-159-mistralai-mistral-nemo/2026-06-01T22-04-28-00-00_barrage_NEgYamEzHSguKF7F8zTaBa.eval
,,,answer_wrong,Mistral: Voxtral Small 24B 2507,openrouter/mistralai/voxtral-small-24b-2507,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000007,incorrect_count,false,true,false,22,12,12,What is 9 + 14 - 1?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-combined-234-overline-20260602-review sample=obviousbench.arith.en.v0.public.000007 epoch=1 model=openrouter/mistralai/voxtral-small-24b-2507,results/raw/paper-v1-combined-234-overline-20260602-review/next-015-registry-openrouter-096-mistralai-voxtral-small-24b-2507/2026-06-02T04-27-51-00-00_barrage_n5etVnk4KJ9D2k2ZfciR4o.eval
,,,answer_wrong,MythoMax 13B,openrouter/gryphe/mythomax-l2-13b,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000007,incorrect_count,false,true,false,22,24, 24,What is 9 + 14 - 1?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-combined-234-overline-20260602-review sample=obviousbench.arith.en.v0.public.000007 epoch=1 model=openrouter/gryphe/mythomax-l2-13b,results/raw/paper-v1-combined-234-overline-20260602-review/scaled-018-openrouter-079-gryphe-mythomax-l2-13b/2026-06-01T22-05-10-00-00_barrage_BQDNoNq3QWD2WNChDHz46D.eval
,,,answer_wrong,Qwen: Qwen3 VL 8B Instruct,openrouter/qwen/qwen3-vl-8b-instruct,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000007,incorrect_count,false,true,false,22,24,24,What is 9 + 14 - 1?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-combined-234-overline-20260602-review sample=obviousbench.arith.en.v0.public.000007 epoch=1 model=openrouter/qwen/qwen3-vl-8b-instruct,results/raw/paper-v1-combined-234-overline-20260602-review/next-021-registry-openrouter-098-qwen-qwen3-vl-8b-instruct/2026-06-02T04-28-56-00-00_barrage_j2bSRitoFnhW3gNrGJXNsX.eval
,,,answer_wrong,ReMM SLERP 13B,openrouter/undi95/remm-slerp-l2-13b,arithmetic,small_integer_arithmetic,obviousbench.arith.en.v0.public.000007,incorrect_count,false,true,false,22,24, 24,What is 9 + 14 - 1?,H0,generated_variant,A person can answer this by direct inspection or simple mental work.,run=paper-v1-combined-234-overline-20260602-review sample=obviousbench.arith.en.v0.public.000007 epoch=1 model=openrouter/undi95/remm-slerp-l2-13b,results/raw/paper-v1-combined-234-overline-20260602-review/scaled-067-openrouter-078-undi95-remm-slerp-l2-13b/2026-06-01T22-47-13-00-00_barrage_Jw2YbYe9k4rrCbz3mZuXcd.eval
