entry_id,label,model,chosen_source,chosen_summary_dir,chosen_scored_samples,chosen_total_samples,base_scored_samples,base_total_samples,repair2_scored_samples,repair2_total_samples,note
next-001-registry-openrouter-109-google-gemma-3-4b-it,Google: Gemma 3 4B,openrouter/google/gemma-3-4b-it,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-001-registry-openrouter-109-google-gemma-3-4b-it,80,80,80,80,,,kept base manifest row
next-002-registry-openrouter-110-google-gemma-3-12b-it,Google: Gemma 3 12B,openrouter/google/gemma-3-12b-it,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-002-registry-openrouter-110-google-gemma-3-12b-it,80,80,80,80,,,kept base manifest row
next-003-registry-openrouter-086-qwen-qwen3-5-9b,Qwen: Qwen3.5-9B,openrouter/qwen/qwen3.5-9b,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-003-registry-openrouter-086-qwen-qwen3-5-9b,62,62,62,62,,,kept base manifest row
next-004-registry-openrouter-095-mistralai-ministral-3b-2512,Mistral: Ministral 3 3B 2512,openrouter/mistralai/ministral-3b-2512,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-004-registry-openrouter-095-mistralai-ministral-3b-2512,80,80,80,80,,,kept base manifest row
next-005-registry-openrouter-167-rekaai-reka-edge,Reka Edge,openrouter/rekaai/reka-edge,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-005-registry-openrouter-167-rekaai-reka-edge,80,80,80,80,,,kept base manifest row
next-006-registry-openrouter-111-google-gemma-3-27b-it,Google: Gemma 3 27B,openrouter/google/gemma-3-27b-it,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-006-registry-openrouter-111-google-gemma-3-27b-it,80,80,80,80,,,kept base manifest row
next-007-registry-openrouter-104-mistralai-mistral-small-3-2-24b-instruct,Mistral: Mistral Small 3.2 24B,openrouter/mistralai/mistral-small-3.2-24b-instruct,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-007-registry-openrouter-104-mistralai-mistral-small-3-2-24b-instruct,80,80,80,80,,,kept base manifest row
next-008-registry-openrouter-094-mistralai-ministral-8b-2512,Mistral: Ministral 3 8B 2512,openrouter/mistralai/ministral-8b-2512,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-008-registry-openrouter-094-mistralai-ministral-8b-2512,80,80,80,80,,,kept base manifest row
next-009-registry-openrouter-102-bytedance-ui-tars-1-5-7b,ByteDance: UI-TARS 7B ,openrouter/bytedance/ui-tars-1.5-7b,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-009-registry-openrouter-102-bytedance-ui-tars-1-5-7b,80,80,80,80,,,kept base manifest row
next-010-registry-openrouter-090-qwen-qwen3-5-flash-02-23,Qwen: Qwen3.5-Flash,openrouter/qwen/qwen3.5-flash-02-23,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-010-registry-openrouter-090-qwen-qwen3-5-flash-02-23,80,80,80,80,,,kept base manifest row
next-011-registry-openrouter-105-meta-llama-llama-guard-4-12b,Meta: Llama Guard 4 12B,openrouter/meta-llama/llama-guard-4-12b,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-011-registry-openrouter-105-meta-llama-llama-guard-4-12b,80,80,80,80,,,kept base manifest row
next-012-registry-openrouter-107-meta-llama-llama-4-scout,Meta: Llama 4 Scout,openrouter/meta-llama/llama-4-scout,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-012-registry-openrouter-107-meta-llama-llama-4-scout,80,80,80,80,,,kept base manifest row
next-013-registry-openrouter-084-google-gemma-4-26b-a4b-it,Google: Gemma 4 26B A4B ,openrouter/google/gemma-4-26b-a4b-it,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-013-registry-openrouter-084-google-gemma-4-26b-a4b-it,80,80,80,80,,,kept base manifest row
next-014-registry-openrouter-093-mistralai-ministral-14b-2512,Mistral: Ministral 3 14B 2512,openrouter/mistralai/ministral-14b-2512,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-014-registry-openrouter-093-mistralai-ministral-14b-2512,80,80,80,80,,,kept base manifest row
next-015-registry-openrouter-096-mistralai-voxtral-small-24b-2507,Mistral: Voxtral Small 24B 2507,openrouter/mistralai/voxtral-small-24b-2507,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-015-registry-openrouter-096-mistralai-voxtral-small-24b-2507,80,80,80,80,,,kept base manifest row
next-016-registry-openrouter-163-xiaomi-mimo-v2-5,Xiaomi: MiMo-V2.5,openrouter/xiaomi/mimo-v2.5,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-016-registry-openrouter-163-xiaomi-mimo-v2-5,80,80,80,80,,,kept base manifest row
next-017-registry-openrouter-165-google-gemma-4-31b-it,Google: Gemma 4 31B,openrouter/google/gemma-4-31b-it,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-017-registry-openrouter-165-google-gemma-4-31b-it,80,80,80,80,,,kept base manifest row
next-018-registry-openrouter-177-meta-llama-llama-3-2-11b-vision-instruct,Meta: Llama 3.2 11B Vision Instruct,openrouter/meta-llama/llama-3.2-11b-vision-instruct,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-018-registry-openrouter-177-meta-llama-llama-3-2-11b-vision-instruct,80,80,80,80,,,kept base manifest row
next-019-registry-openai-gpt-4-1-nano,OpenAI GPT-4.1 nano,openai/gpt-4.1-nano,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-019-registry-openai-gpt-4-1-nano,80,80,80,80,,,kept base manifest row
next-020-registry-openrouter-097-qwen-qwen3-vl-32b-instruct,Qwen: Qwen3 VL 32B Instruct,openrouter/qwen/qwen3-vl-32b-instruct,repair2,results/summaries/paper-v1-scaled-next100-10k-repair2-20260602/next-020-registry-openrouter-097-qwen-qwen3-vl-32b-instruct,51,59,22,31,51,59,used repair2 summary because it ranked higher by completeness/scored samples
next-021-registry-openrouter-098-qwen-qwen3-vl-8b-instruct,Qwen: Qwen3 VL 8B Instruct,openrouter/qwen/qwen3-vl-8b-instruct,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-021-registry-openrouter-098-qwen-qwen3-vl-8b-instruct,80,80,80,80,,,kept base manifest row
next-022-registry-openrouter-099-qwen-qwen3-vl-30b-a3b-instruct,Qwen: Qwen3 VL 30B A3B Instruct,openrouter/qwen/qwen3-vl-30b-a3b-instruct,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-022-registry-openrouter-099-qwen-qwen3-vl-30b-a3b-instruct,80,80,80,80,,,kept base manifest row
next-023-registry-openrouter-101-baidu-ernie-4-5-vl-28b-a3b,Baidu: ERNIE 4.5 VL 28B A3B,openrouter/baidu/ernie-4.5-vl-28b-a3b,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-023-registry-openrouter-101-baidu-ernie-4-5-vl-28b-a3b,0,19,0,19,0,19,kept base manifest row
next-024-registry-openai-gpt-4o-mini,OpenAI GPT-4o mini,openai/gpt-4o-mini,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-024-registry-openai-gpt-4o-mini,80,80,80,80,,,kept base manifest row
next-025-registry-openrouter-085-mistralai-mistral-small-2603,Mistral: Mistral Small 4,openrouter/mistralai/mistral-small-2603,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-025-registry-openrouter-085-mistralai-mistral-small-2603,80,80,80,80,,,kept base manifest row
next-026-registry-openrouter-106-meta-llama-llama-4-maverick,Meta: Llama 4 Maverick,openrouter/meta-llama/llama-4-maverick,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-026-registry-openrouter-106-meta-llama-llama-4-maverick,80,80,80,80,,,kept base manifest row
next-027-registry-openrouter-176-mistralai-mistral-saba,Mistral: Saba,openrouter/mistralai/mistral-saba,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-027-registry-openrouter-176-mistralai-mistral-saba,80,80,80,80,,,kept base manifest row
next-028-registry-openrouter-108-mistralai-mistral-small-3-1-24b-instruct,Mistral: Mistral Small 3.1 24B,openrouter/mistralai/mistral-small-3.1-24b-instruct,repair2,results/summaries/paper-v1-scaled-next100-10k-repair2-20260602/next-028-registry-openrouter-108-mistralai-mistral-small-3-1-24b-instruct,5,30,0,17,5,30,used repair2 summary because it ranked higher by completeness/scored samples
next-029-registry-openrouter-112-qwen-qwen2-5-vl-72b-instruct,Qwen: Qwen2.5 VL 72B Instruct,openrouter/qwen/qwen2.5-vl-72b-instruct,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-029-registry-openrouter-112-qwen-qwen2-5-vl-72b-instruct,80,80,80,80,,,kept base manifest row
next-030-registry-openrouter-100-qwen-qwen3-vl-235b-a22b-instruct,Qwen: Qwen3 VL 235B A22B Instruct,openrouter/qwen/qwen3-vl-235b-a22b-instruct,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-030-registry-openrouter-100-qwen-qwen3-vl-235b-a22b-instruct,80,80,80,80,,,kept base manifest row
next-031-registry-openrouter-082-qwen-qwen3-6-35b-a3b,Qwen: Qwen3.6 35B A3B,openrouter/qwen/qwen3.6-35b-a3b,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-031-registry-openrouter-082-qwen-qwen3-6-35b-a3b,80,80,80,80,,,kept base manifest row
next-032-registry-openrouter-087-qwen-qwen3-5-35b-a3b,Qwen: Qwen3.5-35B-A3B,openrouter/qwen/qwen3.5-35b-a3b,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-032-registry-openrouter-087-qwen-qwen3-5-35b-a3b,80,80,80,80,,,kept base manifest row
next-033-registry-openrouter-170-z-ai-glm-4-6v,Z.ai: GLM 4.6V,openrouter/z-ai/glm-4.6v,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-033-registry-openrouter-170-z-ai-glm-4-6v,80,80,80,80,,,kept base manifest row
next-034-registry-openrouter-174-mistralai-codestral-2508,Mistral: Codestral 2508,openrouter/mistralai/codestral-2508,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-034-registry-openrouter-174-mistralai-codestral-2508,80,80,80,80,,,kept base manifest row
next-035-registry-openrouter-113-minimax-minimax-01,MiniMax: MiniMax-01,openrouter/minimax/minimax-01,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-035-registry-openrouter-113-minimax-minimax-01,80,80,80,80,,,kept base manifest row
next-036-registry-openrouter-081-qwen-qwen3-6-flash,Qwen: Qwen3.6 Flash,openrouter/qwen/qwen3.6-flash,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-036-registry-openrouter-081-qwen-qwen3-6-flash,80,80,80,80,,,kept base manifest row
next-037-registry-openai-gpt-5-4-nano-none,OpenAI GPT-5.4 nano no thinking,openai/gpt-5.4-nano,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-037-registry-openai-gpt-5-4-nano-none,80,80,80,80,,,kept base manifest row
next-038-registry-openrouter-122-qwen-qwen3-vl-8b-thinking,Qwen: Qwen3 VL 8B Thinking,openrouter/qwen/qwen3-vl-8b-thinking,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-038-registry-openrouter-122-qwen-qwen3-vl-8b-thinking,80,80,80,80,,,kept base manifest row
next-039-registry-openrouter-080-minimax-minimax-m3,MiniMax: MiniMax M3,openrouter/minimax/minimax-m3,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-039-registry-openrouter-080-minimax-minimax-m3,80,80,80,80,,,kept base manifest row
next-040-registry-openrouter-103-baidu-ernie-4-5-vl-424b-a47b,Baidu: ERNIE 4.5 VL 424B A47B ,openrouter/baidu/ernie-4.5-vl-424b-a47b,base,results/summaries/paper-v1-scaled-next100-10k-20260601/next-040-registry-openrouter-103-baidu-ernie-4-5-vl-424b-a47b,80,80,80,80,,,kept base manifest row
