rank,label,model,barrage_profile,accuracy_pct,accuracy_ci_95,answer_accuracy_pct,format_accuracy_pct,strict_accuracy_pct,obvious_failure_rate_pct,correct,answer_correct,format_correct,strict_correct,scored_samples,provider_errors,timeouts,total_tokens,estimated_cost_usd,cost_per_correct_usd,tokens_per_correct,overthinking_index,reasoning_token_source,cost_warnings,summary_dir
1,OpenAI GPT-4.1 mini,openai/gpt-4.1-mini,hard_obvious_8x10_seed_20260531,88.75,79.98% - 93.97%,88.75,100.00,88.75,11.25,71,71,80,71,80,0,0,3806,0.0018008,0.00002536,53.61,0.00,not_reported_or_zero,,results/summaries/paper-v1-final/paper-openai-gpt-4-1-mini
2,OpenAI GPT-4.1,openai/gpt-4.1,hard_obvious_8x10_seed_20260531,87.50,78.50% - 93.07%,87.50,87.50,75.00,12.50,70,70,70,60,80,0,0,3862,0.009452,0.00013503,55.17,0.00,not_reported_or_zero,,results/summaries/paper-v1-final/paper-openai-gpt-4-1
3,Xiaomi MiMo-V2-Flash,openrouter/xiaomi/mimo-v2-flash,hard_obvious_8x10_seed_20260531,86.25,77.03% - 92.15%,86.25,100.00,86.25,13.75,69,69,80,69,80,0,0,6359,0.00018491,0.00000268,92.16,0.00,not_reported_or_zero,,results/summaries/paper-v1-final/paper-openrouter-xiaomi-mimo-v2-flash
4,Qwen3 Next 80B A3B Instruct,openrouter/qwen/qwen3-next-80b-a3b-instruct,hard_obvious_8x10_seed_20260531,86.25,77.03% - 92.15%,86.25,90.00,76.25,13.75,69,69,72,61,80,0,0,4043,0.00071939,0.00001043,58.59,0.00,not_reported_or_zero,,results/summaries/paper-v1-final/paper-openrouter-qwen3-next
5,Anthropic Claude Haiku 4.5,anthropic/claude-haiku-4-5,hard_obvious_8x10_seed_20260531,85.00,75.59% - 91.21%,85.00,87.50,72.50,15.00,68,68,70,58,80,0,0,4513,0.007149,0.00010513,66.37,0.00,not_reported_or_zero,,results/summaries/paper-v1-final/paper-anthropic-claude-haiku-4-5
6,Anthropic Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,hard_obvious_8x10_seed_20260531,83.75,74.16% - 90.25%,83.75,97.50,83.75,16.25,67,67,78,67,80,0,0,4535,0.021777,0.00032503,67.69,0.00,not_reported_or_zero,,results/summaries/paper-v1-final/paper-anthropic-claude-sonnet-4-6
7,Gemini 2.5 Flash-Lite,google/gemini-2.5-flash-lite,hard_obvious_8x10_seed_20260531,82.50,72.74% - 89.28%,82.50,87.50,70.00,17.50,66,66,70,56,80,0,0,3639,0.0004665,0.00000707,55.14,0.00,not_reported_or_zero,,results/summaries/paper-v1-final/paper-gemini-2-5-flash-lite
8,OpenAI GPT-5 nano minimal,openai/gpt-5-nano,hard_obvious_8x10_seed_20260531,78.75,68.58% - 86.29%,78.75,98.75,77.50,21.25,63,63,79,62,80,0,0,5272,0.0008859,0.00001406,83.68,0.00,not_reported_or_zero,,results/summaries/paper-v1-final/paper-openai-gpt-5-nano-minimal
9,Gemini 3.5 Flash,google/gemini-3.5-flash,hard_obvious_8x10_seed_20260531,41.25,31.11% - 52.20%,41.25,88.75,41.25,58.75,33,33,71,33,80,0,0,8075,0.0049455,0.00014986,244.70,54.56,reported,No price found for output_reasoning_tokens (token).,results/summaries/paper-v1-final/paper-gemini-3-5-flash
10,OpenAI GPT-OSS 20B,openrouter/openai/gpt-oss-20b,hard_obvious_8x10_seed_20260531,37.50,27.69% - 48.45%,37.50,100.00,37.50,62.50,30,30,80,30,80,0,0,13244,0.00025322,0.00000844,441.47,0.87,reported,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).; No price found for output_reasoning_tokens (token).,results/summaries/paper-v1-final/paper-openrouter-gpt-oss-20b
11,NVIDIA Nemotron 3 Nano 30B A3B,openrouter/nvidia/nemotron-3-nano-30b-a3b,hard_obvious_8x10_seed_20260531,15.00,8.79% - 24.41%,15.00,71.25,13.75,85.00,12,12,57,11,80,0,0,9477,0.00117255,0.00009771,789.75,0.07,reported,No price found for output_reasoning_tokens (token).,results/summaries/paper-v1-final/paper-openrouter-nemotron-3-nano
,Grok 4.3,grok/grok-4.3,hard_obvious_8x10_seed_20260531,92.86,84.34% - 96.91%,92.86,62.86,55.71,7.14,65,65,44,39,70,10,0,35520,0.064703,0,546.46,13.00,reported,,results/summaries/paper-v1-final/paper-grok-4-3
