provider,curve,model,effort,label,accuracy_pct,strict_accuracy_pct,answer_failures,format_only_failures,estimated_cost_usd,total_tokens,reasoning_tokens,scored_samples,summary_dir
Anthropic,Claude Opus 4.8,anthropic/claude-opus-4-8,default,Claude Opus 4.8 default,95.98214286,95.98214286,9,0,0.036035,5799,0,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-084-registry-anthropic-claude-opus-4-8
Anthropic,Claude Opus 4.8,anthropic/claude-opus-4-8,low,Claude Opus 4.8 low,95.98214286,95.53571429,9,1,0.11431,15742,497,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-011-anthropic-claude-opus-4-8-low
Anthropic,Claude Opus 4.8,anthropic/claude-opus-4-8,medium,Claude Opus 4.8 medium,95.98214286,95.53571429,9,1,0.107585,15473,261,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-012-anthropic-claude-opus-4-8-medium
Anthropic,Claude Opus 4.8,anthropic/claude-opus-4-8,high,Claude Opus 4.8 high,96.42857143,95.98214286,8,1,0.121235,16019,816,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-013-anthropic-claude-opus-4-8-high
Anthropic,Claude Opus 4.8,anthropic/claude-opus-4-8,xhigh,Claude Opus 4.8 xhigh,96.42857143,95.98214286,8,1,0.13821,16698,1454,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-014-anthropic-claude-opus-4-8-xhigh
Anthropic,Claude Opus 4.8,anthropic/claude-opus-4-8,max,Claude Opus 4.8 max,98.21428571,95.98214286,4,5,0.254035,21331,6119,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-015-anthropic-claude-opus-4-8-max
Anthropic,Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,default,Claude Sonnet 4.6 default,88.39285714,85.26785714,26,7,0.040224,8696,0,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-paper-anthropic-claude-sonnet-4-6
Anthropic,Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,low,Claude Sonnet 4.6 low,88.83928571,87.5,25,3,0.055086,12266,52,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-016-anthropic-claude-sonnet-4-6-low
Anthropic,Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,medium,Claude Sonnet 4.6 medium,94.64285714,92.85714286,12,4,0.074301,13547,1206,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-017-anthropic-claude-sonnet-4-6-medium
Anthropic,Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,high,Claude Sonnet 4.6 high,97.76785714,85.26785714,5,28,0.211131,22669,8910,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-018-anthropic-claude-sonnet-4-6-high
Anthropic,Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,max,Claude Sonnet 4.6 max,99.55357143,84.375,1,34,0.314811,29581,15534,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-019-anthropic-claude-sonnet-4-6-max
OpenAI,GPT-5.4,openai/gpt-5.4,none,OpenAI GPT-5.4 none,92.85714286,92.85714286,16,0,0.01689,4291,0,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-006-openai-gpt-5-4-none
OpenAI,GPT-5.4,openai/gpt-5.4,low,OpenAI GPT-5.4 low,97.32142857,97.32142857,6,0,0.048475,6365,1996,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-007-openai-gpt-5-4-low
OpenAI,GPT-5.4,openai/gpt-5.4,medium,OpenAI GPT-5.4 medium,98.21428571,98.21428571,4,0,0.0745,8100,3695,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-008-openai-gpt-5-4-medium
OpenAI,GPT-5.4,openai/gpt-5.4,high,OpenAI GPT-5.4 high,97.76785714,97.76785714,5,0,0.100435,9829,5424,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-009-openai-gpt-5-4-high
OpenAI,GPT-5.4,openai/gpt-5.4,xhigh,OpenAI GPT-5.4 xhigh,99.10714286,99.10714286,2,0,0.25585,20190,15790,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-010-openai-gpt-5-4-xhigh
OpenAI,GPT-5.4 mini,openai/gpt-5.4-mini,none,OpenAI GPT-5.4 mini no thinking,85.26785714,85.26785714,33,0,0.004998,4244,0,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-070-registry-openai-gpt-5-4-mini-none
OpenAI,GPT-5.4 mini,openai/gpt-5.4-mini,low,OpenAI GPT-5.4 mini low,96.42857143,96.42857143,8,0,0.030432,12361,4405,224,results/summaries/paper-v1-8x28-fill-gpt-5-4-mini-low-20260603/runs/expand222-fill-openai-gpt-5-4-mini-low
OpenAI,GPT-5.4 mini,openai/gpt-5.4-mini,medium,OpenAI GPT-5.4 mini medium,96.42857143,96.42857143,8,0,0.0429915,15152,7200,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-overline-004-openai-gpt-5-4-mini-medium
OpenAI,GPT-5.4 mini,openai/gpt-5.4-mini,high,OpenAI GPT-5.4 mini high,98.21428571,98.21428571,4,0,0.056775,18215,10261,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-overline-005-openai-gpt-5-4-mini-high
OpenAI,GPT-5.4 mini,openai/gpt-5.4-mini,xhigh,OpenAI GPT-5.4 mini xhigh,98.21428571,98.21428571,4,0,0.165981,42483,34528,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-overline-007-openai-gpt-5-4-mini-xhigh
OpenAI,GPT-5.4 nano,openai/gpt-5.4-nano,none,OpenAI GPT-5.4 nano no thinking,80.35714286,80.35714286,44,0,0.00138325,4265,0,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-037-registry-openai-gpt-5-4-nano-none
OpenAI,GPT-5.4 nano,openai/gpt-5.4-nano,low,OpenAI GPT-5.4 nano low,86.60714286,86.60714286,30,0,0.003722,6136,1815,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-099-thinking-openai-gpt-5-4-nano-low
OpenAI,GPT-5.4 nano,openai/gpt-5.4-nano,medium,OpenAI GPT-5.4 nano medium,93.30357143,93.30357143,15,0,0.0092911,13076,5252,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-overline-002-openai-gpt-5-4-nano-medium
OpenAI,GPT-5.4 nano,openai/gpt-5.4-nano,high,OpenAI GPT-5.4 nano high,94.64285714,94.19642857,12,1,0.0103036,13886,6039,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-overline-003-openai-gpt-5-4-nano-high
OpenAI,GPT-5.4 nano,openai/gpt-5.4-nano,xhigh,OpenAI GPT-5.4 nano xhigh,96.42857143,96.42857143,8,0,0.02114985,22563,14650,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-overline-006-openai-gpt-5-4-nano-xhigh
OpenAI,GPT-5.5,openai/gpt-5.5,none,OpenAI GPT-5.5 none,94.64285714,94.64285714,12,0,0.03317,4239,0,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-001-openai-gpt-5-5-none
OpenAI,GPT-5.5,openai/gpt-5.5,low,OpenAI GPT-5.5 low,100,100,0,0,0.13922,7774,3379,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-002-openai-gpt-5-5-low
OpenAI,GPT-5.5,openai/gpt-5.5,medium,OpenAI GPT-5.5 medium,99.55357143,99.55357143,1,0,0.14726,8042,3635,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-003-openai-gpt-5-5-medium
OpenAI,GPT-5.5,openai/gpt-5.5,high,OpenAI GPT-5.5 high,99.55357143,99.55357143,1,0,0.20915,10105,5698,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-004-openai-gpt-5-5-high
OpenAI,GPT-5.5,openai/gpt-5.5,xhigh,OpenAI GPT-5.5 xhigh,100,100,0,0,0.38438,15946,11539,224,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-005-openai-gpt-5-5-xhigh
