label,family,accuracy_pct,correct,samples,scored_samples,provider_errors,timeouts,failures,estimated_cost_usd
DeepSeek: DeepSeek V4 Flash,arithmetic,100.00,28,28,28,0,0,0,0.000345
DeepSeek: DeepSeek V4 Flash,character_count,71.43,20,28,28,0,0,8,0.000769
DeepSeek: DeepSeek V4 Flash,constraint_awareness,89.29,25,28,28,0,0,3,0.001366
DeepSeek: DeepSeek V4 Flash,format_compliance,100.00,28,28,28,0,0,0,0.000132
DeepSeek: DeepSeek V4 Flash,negation,100.00,28,28,28,0,0,0,0.000186
DeepSeek: DeepSeek V4 Flash,ordering,100.00,28,28,28,0,0,0,0.000223
DeepSeek: DeepSeek V4 Flash,spelling_transform,78.57,22,28,28,0,0,6,0.001012
DeepSeek: DeepSeek V4 Flash,word_count,100.00,28,28,28,0,0,0,0.000145
Google: Gemma 3 27B,arithmetic,96.43,27,28,28,0,0,1,0.000102
Google: Gemma 3 27B,character_count,28.57,8,28,28,0,0,20,0.000089
Google: Gemma 3 27B,constraint_awareness,82.14,23,28,28,0,0,5,0.000204
Google: Gemma 3 27B,format_compliance,100.00,28,28,28,0,0,0,0.000038
Google: Gemma 3 27B,negation,78.57,22,28,28,0,0,6,0.000055
Google: Gemma 3 27B,ordering,100.00,28,28,28,0,0,0,0.000063
Google: Gemma 3 27B,spelling_transform,64.29,18,28,28,0,0,10,0.000091
Google: Gemma 3 27B,word_count,100.00,28,28,28,0,0,0,0.000027
MiniMax: MiniMax M3,arithmetic,100.00,28,28,28,0,0,0,0.003099
MiniMax: MiniMax M3,character_count,100.00,28,28,28,0,0,0,0.008257
MiniMax: MiniMax M3,constraint_awareness,89.29,25,28,28,0,0,3,0.008878
MiniMax: MiniMax M3,format_compliance,100.00,28,28,28,0,0,0,0.001392
MiniMax: MiniMax M3,negation,100.00,28,28,28,0,0,0,0.002201
MiniMax: MiniMax M3,ordering,100.00,28,28,28,0,0,0,0.001986
MiniMax: MiniMax M3,spelling_transform,92.86,26,28,28,0,0,2,0.008567
MiniMax: MiniMax M3,word_count,100.00,28,28,28,0,0,0,0.000854
NVIDIA: Nemotron 3 Super,arithmetic,100.00,28,28,28,0,0,0,0.000724
NVIDIA: Nemotron 3 Super,character_count,100.00,28,28,28,0,0,0,0.00173
NVIDIA: Nemotron 3 Super,constraint_awareness,92.86,26,28,28,0,0,2,0.003514
NVIDIA: Nemotron 3 Super,format_compliance,100.00,28,28,28,0,0,0,0.000177
NVIDIA: Nemotron 3 Super,negation,100.00,28,28,28,0,0,0,0.000568
NVIDIA: Nemotron 3 Super,ordering,100.00,28,28,28,0,0,0,0.000512
NVIDIA: Nemotron 3 Super,spelling_transform,82.14,23,28,28,1,0,5,0.002876
NVIDIA: Nemotron 3 Super,word_count,100.00,28,28,28,0,0,0,0.000211
OpenAI GPT-OSS 20B,arithmetic,100.00,28,28,28,0,0,0,0.000399
OpenAI GPT-OSS 20B,character_count,96.43,27,28,28,0,0,1,0.000646
OpenAI GPT-OSS 20B,constraint_awareness,85.71,24,28,28,0,0,4,0.001655
OpenAI GPT-OSS 20B,format_compliance,100.00,28,28,28,0,0,0,0.000174
OpenAI GPT-OSS 20B,negation,100.00,28,28,28,0,0,0,0.000219
OpenAI GPT-OSS 20B,ordering,100.00,28,28,28,0,0,0,0.000194
OpenAI GPT-OSS 20B,spelling_transform,64.29,18,28,28,2,0,10,0.002392
OpenAI GPT-OSS 20B,word_count,100.00,28,28,28,0,0,0,0.000121
Qwen: Qwen3 Coder Flash,arithmetic,96.43,27,28,28,0,0,1,0.00027729
Qwen: Qwen3 Coder Flash,character_count,35.71,10,28,28,0,0,18,0.000215865
Qwen: Qwen3 Coder Flash,constraint_awareness,71.43,20,28,28,0,0,8,0.00092703
Qwen: Qwen3 Coder Flash,format_compliance,100.00,28,28,28,0,0,0,9.7695e-05
Qwen: Qwen3 Coder Flash,negation,100.00,28,28,28,0,0,0,0.00013962
Qwen: Qwen3 Coder Flash,ordering,85.71,24,28,28,0,0,4,0.000209235
Qwen: Qwen3 Coder Flash,spelling_transform,21.43,6,28,28,0,0,22,0.001594905
Qwen: Qwen3 Coder Flash,word_count,25.00,7,28,28,0,0,21,6.552e-05
