item_id,family,subfamily,scorer,response_count,correct_count,accuracy,median_seconds,confusion_note_count,status,reason
obviousbench.char_count.en.v0.public.000040,character_count,single_letter_count,exact_integer_extract_first_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.spell.en.v0.public.000002,spelling_transform,remove_letter,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.arith.en.v0.public.000023,arithmetic,numeric_comparison,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.word_count.en.v0.public.000045,word_count,comma_list_count,word_count_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.ordering.en.v0.public.000048,ordering,numeric_sort,normalized_list_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.format.en.v0.public.000047,format_compliance,exact_json_schema,json_exact_field_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.negation.en.v0.public.000034,negation,without_constraint,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.constraint.en.v0.public.000040,constraint_awareness,object_must_be_present,multiple_choice_letter_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.char_count.en.v0.public.000030,character_count,single_letter_count,exact_integer_extract_first_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.spell.en.v0.public.000005,spelling_transform,remove_letter,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.arith.en.v0.public.000021,arithmetic,numeric_comparison,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.word_count.en.v0.public.000033,word_count,comma_list_count,word_count_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.ordering.en.v0.public.000049,ordering,numeric_sort,normalized_list_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.format.en.v0.public.000048,format_compliance,exact_json_schema,json_exact_field_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.negation.en.v0.public.000033,negation,without_constraint,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.constraint.en.v0.public.000003,constraint_awareness,object_must_be_present,multiple_choice_letter_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.char_count.en.v0.public.000029,character_count,single_letter_count,exact_integer_extract_first_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.spell.en.v0.public.000020,spelling_transform,remove_letter,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.arith.en.v0.public.000022,arithmetic,numeric_comparison,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.word_count.en.v0.public.000070,word_count,comma_list_count,word_count_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.ordering.en.v0.public.000046,ordering,numeric_sort,normalized_list_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.format.en.v0.public.000049,format_compliance,exact_json_schema,json_exact_field_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.negation.en.v0.public.000031,negation,without_constraint,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.constraint.en.v0.public.000038,constraint_awareness,object_must_be_present,multiple_choice_letter_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.char_count.en.v0.public.000017,character_count,single_letter_count,exact_integer_extract_first_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.spell.en.v0.public.000022,spelling_transform,remove_letter,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.arith.en.v0.public.000024,arithmetic,unit_conversion_and_small_calc,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.word_count.en.v0.public.000015,word_count,comma_list_count,word_count_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.ordering.en.v0.public.000050,ordering,numeric_sort,normalized_list_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.format.en.v0.public.000046,format_compliance,exact_json_schema,json_exact_field_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.negation.en.v0.public.000035,negation,without_constraint,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.constraint.en.v0.public.000036,constraint_awareness,object_must_be_present,multiple_choice_letter_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.char_count.en.v0.public.000046,character_count,single_letter_count,exact_integer_extract_first_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.spell.en.v0.public.000008,spelling_transform,remove_letter,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.arith.en.v0.public.000025,arithmetic,unit_conversion_and_small_calc,exact_integer_extract_first_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.word_count.en.v0.public.000051,word_count,comma_list_count,word_count_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.ordering.en.v0.public.000047,ordering,numeric_sort,normalized_list_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.format.en.v0.public.000050,format_compliance,exact_json_schema,json_exact_field_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.negation.en.v0.public.000032,negation,without_constraint,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.constraint.en.v0.public.000032,constraint_awareness,object_must_be_present,multiple_choice_letter_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.char_count.en.v0.public.000054,character_count,single_letter_count,exact_integer_extract_first_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.spell.en.v0.public.000028,spelling_transform,remove_letter,exact_string_trim_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.arith.en.v0.public.000028,arithmetic,unit_conversion_and_small_calc,exact_integer_extract_first_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.word_count.en.v0.public.000036,word_count,comma_list_count,word_count_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.ordering.en.v0.public.000012,ordering,alphabetical_sort,normalized_list_v0,0,0,,,0,no_data,No scored human response rows are available.
obviousbench.format.en.v0.public.000028,format_compliance,json_field,json_exact_field_v0,0,0,,,0,no_data,No scored human response rows are available.
