label,model,summary_dir
OpenAI GPT-5.4 mini none trial 01,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-none-trial-01
OpenAI GPT-5.4 mini none trial 02,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-none-trial-02
OpenAI GPT-5.4 mini none trial 03,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-none-trial-03
OpenAI GPT-5.4 mini none trial 04,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-none-trial-04
OpenAI GPT-5.4 mini none trial 05,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-none-trial-05
OpenAI GPT-5.4 mini low trial 01,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-low-trial-01
OpenAI GPT-5.4 mini low trial 02,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-low-trial-02
OpenAI GPT-5.4 mini low trial 03,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-low-trial-03
OpenAI GPT-5.4 mini low trial 04,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-low-trial-04
OpenAI GPT-5.4 mini low trial 05,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-low-trial-05
OpenAI GPT-5.4 mini medium trial 01,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-medium-trial-01
OpenAI GPT-5.4 mini medium trial 02,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-medium-trial-02
OpenAI GPT-5.4 mini medium trial 03,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-medium-trial-03
OpenAI GPT-5.4 mini medium trial 04,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-medium-trial-04
OpenAI GPT-5.4 mini medium trial 05,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-medium-trial-05
OpenAI GPT-5.4 mini high trial 01,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-high-trial-01
OpenAI GPT-5.4 mini high trial 02,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-high-trial-02
OpenAI GPT-5.4 mini high trial 03,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-high-trial-03
OpenAI GPT-5.4 mini high trial 04,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-high-trial-04
OpenAI GPT-5.4 mini high trial 05,openai/gpt-5.4-mini,results/summaries/gpt-5-4-mini-passk-8x28-20260606/runs/gpt-5-4-mini-high-trial-05
