id,label,provider_route,inspect_model,total_samples,billable_samples,cache_hits,estimated_billable_cost_usd,pricing_source,warnings
paper-openai-gpt-5-nano-minimal,OpenAI GPT-5 nano minimal,openai,openai/gpt-5-nano,80,80,0,0.000721,runcost,
paper-openai-gpt-4-1,OpenAI GPT-4.1,openai,openai/gpt-4.1,80,80,0,0.008582,runcost,
paper-openai-gpt-4-1-mini,OpenAI GPT-4.1 mini,openai,openai/gpt-4.1-mini,80,80,0,0.006264,runcost,
paper-anthropic-claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,anthropic,anthropic/claude-sonnet-4-6,80,80,0,0.021243,runcost,
paper-anthropic-claude-haiku-4-5,Anthropic Claude Haiku 4.5,anthropic,anthropic/claude-haiku-4-5,80,80,0,0.006696,runcost,
paper-gemini-3-5-flash,Gemini 3.5 Flash,gemini,google/gemini-3.5-flash,80,80,0,0.003204,runcost,No price found for output_reasoning_tokens (token).
paper-gemini-2-5-flash-lite,Gemini 2.5 Flash-Lite,gemini,google/gemini-2.5-flash-lite,80,80,0,0.000214,runcost,No price found for output_reasoning_tokens (token).
paper-grok-4-3,Grok 4.3,grok,grok/grok-4.3,80,80,0,0.296574,panel_price_metadata,runcost price card missing; used panel price metadata
paper-openrouter-xiaomi-mimo-v2-flash,Xiaomi MiMo-V2-Flash,openrouter,openrouter/xiaomi/mimo-v2-flash,80,80,0,0.000214,runcost,No price found for output_reasoning_tokens (token).
paper-openrouter-nemotron-3-nano,NVIDIA Nemotron 3 Nano 30B A3B,openrouter,openrouter/nvidia/nemotron-3-nano-30b-a3b,80,80,0,0.000104,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
paper-openrouter-gpt-oss-20b,OpenAI GPT-OSS 20B,openrouter,openrouter/openai/gpt-oss-20b,80,80,0,0.000062,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
paper-openrouter-qwen3-next,Qwen3 Next 80B A3B Instruct,openrouter,openrouter/qwen/qwen3-next-80b-a3b-instruct,80,80,0,0.000187,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
