label,family,accuracy_pct,correct,samples,scored_samples,provider_errors,timeouts,failures,estimated_cost_usd
AionLabs: Aion-1.0-Mini,arithmetic,88.89,8,9,9,0,0,1,0.0020699
AionLabs: Aion-1.0-Mini,character_count,90.00,9,10,10,0,0,1,0.0029862
AionLabs: Aion-1.0-Mini,constraint_awareness,100.00,8,8,8,0,0,0,0.0036778
AionLabs: Aion-1.0-Mini,format_compliance,55.56,5,9,9,0,0,4,0.0032137
AionLabs: Aion-1.0-Mini,negation,100.00,9,9,9,0,0,0,0.0023534
AionLabs: Aion-1.0-Mini,ordering,88.89,8,9,9,0,0,1,0.0018921
AionLabs: Aion-1.0-Mini,spelling_transform,83.33,5,6,6,0,0,1,0.002954
AionLabs: Aion-1.0-Mini,word_count,70.00,7,10,10,0,0,3,0.0024332
AionLabs: Aion-RP 1.0 (8B),arithmetic,30.00,3,10,10,0,0,7,0.000532
AionLabs: Aion-RP 1.0 (8B),character_count,40.00,4,10,10,0,0,6,0.0009968
AionLabs: Aion-RP 1.0 (8B),constraint_awareness,10.00,1,10,10,0,0,9,0.001156
AionLabs: Aion-RP 1.0 (8B),format_compliance,100.00,10,10,10,0,0,0,0.0005224
AionLabs: Aion-RP 1.0 (8B),negation,40.00,4,10,10,0,0,6,0.0006464
AionLabs: Aion-RP 1.0 (8B),ordering,80.00,8,10,10,0,0,2,0.0006224
AionLabs: Aion-RP 1.0 (8B),spelling_transform,10.00,1,10,10,0,0,9,0.0004768
AionLabs: Aion-RP 1.0 (8B),word_count,100.00,10,10,10,0,0,0,0.0004416
AllenAI: Olmo 3 32B Think,character_count,,0,1,0,1,0,0,0.0
AllenAI: Olmo 3 32B Think,constraint_awareness,,0,1,0,1,0,0,0.0
AllenAI: Olmo 3 32B Think,format_compliance,,0,1,0,1,0,0,0.0
AllenAI: Olmo 3 32B Think,negation,,0,1,0,1,0,0,0.0
AllenAI: Olmo 3 32B Think,spelling_transform,,0,1,0,1,0,0,0.0
AllenAI: Olmo 3 32B Think,word_count,,0,1,0,1,0,0,0.0
Anthropic Claude Haiku 4.5,arithmetic,100.00,10,10,10,0,0,0,0.000728
Anthropic Claude Haiku 4.5,character_count,60.00,6,10,10,0,0,4,0.000612
Anthropic Claude Haiku 4.5,constraint_awareness,90.00,9,10,10,0,0,1,0.001116
Anthropic Claude Haiku 4.5,format_compliance,100.00,10,10,10,0,0,0,0.001145
Anthropic Claude Haiku 4.5,negation,100.00,10,10,10,0,0,0,0.000691
Anthropic Claude Haiku 4.5,ordering,100.00,10,10,10,0,0,0,0.00104
Anthropic Claude Haiku 4.5,spelling_transform,50.00,5,10,10,0,0,5,0.00119
Anthropic Claude Haiku 4.5,word_count,100.00,10,10,10,0,0,0,0.000702
Anthropic Claude Sonnet 4.6,arithmetic,100.00,10,10,10,0,0,0,0.002184
Anthropic Claude Sonnet 4.6,character_count,30.00,3,10,10,0,0,7,0.002571
Anthropic Claude Sonnet 4.6,constraint_awareness,100.00,10,10,10,0,0,0,0.003828
Anthropic Claude Sonnet 4.6,format_compliance,100.00,10,10,10,0,0,0,0.002685
Anthropic Claude Sonnet 4.6,negation,100.00,10,10,10,0,0,0,0.002073
Anthropic Claude Sonnet 4.6,ordering,100.00,10,10,10,0,0,0,0.00312
Anthropic Claude Sonnet 4.6,spelling_transform,80.00,8,10,10,0,0,2,0.003375
Anthropic Claude Sonnet 4.6,word_count,100.00,10,10,10,0,0,0,0.002106
Arcee AI: Trinity Mini,arithmetic,100.00,10,10,10,0,0,0,0.000711
Arcee AI: Trinity Mini,character_count,100.00,10,10,10,0,0,0,0.000792
