item_id,family,subfamily,target,answer_type,scorer
obviousbench.char_count.en.v0.public.000040,character_count,single_letter_count,3,integer,exact_integer_extract_first_v0
obviousbench.spell.en.v0.public.000002,spelling_transform,remove_letter,strawbrry,string,exact_string_trim_v0
obviousbench.arith.en.v0.public.000023,arithmetic,numeric_comparison,3.5,decimal,exact_string_trim_v0
obviousbench.word_count.en.v0.public.000045,word_count,comma_list_count,4,integer,word_count_v0
obviousbench.ordering.en.v0.public.000048,ordering,numeric_sort,"-3, -1, 0, 4",list,normalized_list_v0
obviousbench.format.en.v0.public.000047,format_compliance,exact_json_schema,17,json,json_exact_field_v0
obviousbench.negation.en.v0.public.000034,negation,without_constraint,July,string,exact_string_trim_v0
obviousbench.constraint.en.v0.public.000040,constraint_awareness,object_must_be_present,B,multiple_choice,multiple_choice_letter_v0
obviousbench.char_count.en.v0.public.000030,character_count,single_letter_count,1,integer,exact_integer_extract_first_v0
obviousbench.spell.en.v0.public.000005,spelling_transform,remove_letter,ncssary,string,exact_string_trim_v0
obviousbench.arith.en.v0.public.000021,arithmetic,numeric_comparison,9.9,decimal,exact_string_trim_v0
obviousbench.word_count.en.v0.public.000033,word_count,comma_list_count,4,integer,word_count_v0
obviousbench.ordering.en.v0.public.000049,ordering,numeric_sort,"1, 2, 12, 21",list,normalized_list_v0
obviousbench.format.en.v0.public.000048,format_compliance,exact_json_schema,cat,json,json_exact_field_v0
obviousbench.negation.en.v0.public.000033,negation,without_constraint,circle,string,exact_string_trim_v0
obviousbench.constraint.en.v0.public.000003,constraint_awareness,object_must_be_present,B,multiple_choice,multiple_choice_letter_v0
obviousbench.char_count.en.v0.public.000029,character_count,single_letter_count,1,integer,exact_integer_extract_first_v0
obviousbench.spell.en.v0.public.000020,spelling_transform,remove_letter,committ,string,exact_string_trim_v0
obviousbench.arith.en.v0.public.000022,arithmetic,numeric_comparison,7.2,decimal,exact_string_trim_v0
obviousbench.word_count.en.v0.public.000070,word_count,comma_list_count,4,integer,word_count_v0
obviousbench.ordering.en.v0.public.000046,ordering,numeric_sort,"1, 2, 7, 10",list,normalized_list_v0
obviousbench.format.en.v0.public.000049,format_compliance,exact_json_schema,north,json,json_exact_field_v0
obviousbench.negation.en.v0.public.000031,negation,without_constraint,plum,string,exact_string_trim_v0
obviousbench.constraint.en.v0.public.000038,constraint_awareness,object_must_be_present,B,multiple_choice,multiple_choice_letter_v0
obviousbench.char_count.en.v0.public.000017,character_count,single_letter_count,3,integer,exact_integer_extract_first_v0
obviousbench.spell.en.v0.public.000022,spelling_transform,remove_letter,paralll,string,exact_string_trim_v0
obviousbench.arith.en.v0.public.000024,arithmetic,unit_conversion_and_small_calc,4.827,decimal,exact_string_trim_v0
obviousbench.word_count.en.v0.public.000015,word_count,comma_list_count,4,integer,word_count_v0
obviousbench.ordering.en.v0.public.000050,ordering,numeric_sort,"5.05, 5.15, 5.5",list,normalized_list_v0
obviousbench.format.en.v0.public.000046,format_compliance,exact_json_schema,blue,json,json_exact_field_v0
obviousbench.negation.en.v0.public.000035,negation,without_constraint,9,string,exact_string_trim_v0
obviousbench.constraint.en.v0.public.000036,constraint_awareness,object_must_be_present,B,multiple_choice,multiple_choice_letter_v0
obviousbench.char_count.en.v0.public.000046,character_count,single_letter_count,1,integer,exact_integer_extract_first_v0
obviousbench.spell.en.v0.public.000008,spelling_transform,remove_letter,sntnc,string,exact_string_trim_v0
obviousbench.arith.en.v0.public.000025,arithmetic,unit_conversion_and_small_calc,210,integer,exact_integer_extract_first_v0
obviousbench.word_count.en.v0.public.000051,word_count,comma_list_count,4,integer,word_count_v0
obviousbench.ordering.en.v0.public.000047,ordering,numeric_sort,"3.01, 3.1, 3.2",list,normalized_list_v0
obviousbench.format.en.v0.public.000050,format_compliance,exact_json_schema,true,json,json_exact_field_v0
