id,label,provider_route,inspect_model,total_samples,billable_samples,cache_hits,estimated_billable_cost_usd,pricing_source,warnings
gpt-5-4-nano-none-trial-01,OpenAI GPT-5.4 nano none trial 01,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
gpt-5-4-nano-none-trial-02,OpenAI GPT-5.4 nano none trial 02,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
gpt-5-4-nano-none-trial-03,OpenAI GPT-5.4 nano none trial 03,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
gpt-5-4-nano-none-trial-04,OpenAI GPT-5.4 nano none trial 04,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
gpt-5-4-nano-none-trial-05,OpenAI GPT-5.4 nano none trial 05,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
gpt-5-4-nano-low-trial-01,OpenAI GPT-5.4 nano low trial 01,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
gpt-5-4-nano-low-trial-02,OpenAI GPT-5.4 nano low trial 02,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
gpt-5-4-nano-low-trial-03,OpenAI GPT-5.4 nano low trial 03,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
gpt-5-4-nano-low-trial-04,OpenAI GPT-5.4 nano low trial 04,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
gpt-5-4-nano-low-trial-05,OpenAI GPT-5.4 nano low trial 05,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
gpt-5-4-nano-medium-trial-01,OpenAI GPT-5.4 nano medium trial 01,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
gpt-5-4-nano-medium-trial-02,OpenAI GPT-5.4 nano medium trial 02,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
gpt-5-4-nano-medium-trial-03,OpenAI GPT-5.4 nano medium trial 03,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
gpt-5-4-nano-medium-trial-04,OpenAI GPT-5.4 nano medium trial 04,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
gpt-5-4-nano-medium-trial-05,OpenAI GPT-5.4 nano medium trial 05,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
gpt-5-4-nano-high-trial-01,OpenAI GPT-5.4 nano high trial 01,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
gpt-5-4-nano-high-trial-02,OpenAI GPT-5.4 nano high trial 02,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
gpt-5-4-nano-high-trial-03,OpenAI GPT-5.4 nano high trial 03,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
gpt-5-4-nano-high-trial-04,OpenAI GPT-5.4 nano high trial 04,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
gpt-5-4-nano-high-trial-05,OpenAI GPT-5.4 nano high trial 05,openai,openai/gpt-5.4-nano,224,224,0,0.008756,runcost,
