label,model,summary_dir
OpenAI GPT-5 nano minimal,openai/gpt-5-nano,results/summaries/paper-v1-combined-228-rescored-20260602/runs/paper-openai-gpt-5-nano-minimal
OpenAI GPT-4.1,openai/gpt-4.1,results/summaries/paper-v1-combined-228-rescored-20260602/runs/paper-openai-gpt-4-1
OpenAI GPT-4.1 mini,openai/gpt-4.1-mini,results/summaries/paper-v1-combined-228-rescored-20260602/runs/paper-openai-gpt-4-1-mini
Anthropic Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,results/summaries/paper-v1-combined-228-rescored-20260602/runs/paper-anthropic-claude-sonnet-4-6
Anthropic Claude Haiku 4.5,anthropic/claude-haiku-4-5,results/summaries/paper-v1-combined-228-rescored-20260602/runs/paper-anthropic-claude-haiku-4-5
Gemini 3.5 Flash,google/gemini-3.5-flash,results/summaries/paper-v1-combined-228-rescored-20260602/runs/paper-gemini-3-5-flash
Gemini 2.5 Flash-Lite,google/gemini-2.5-flash-lite,results/summaries/paper-v1-combined-228-rescored-20260602/runs/paper-gemini-2-5-flash-lite
Grok 4.3,grok/grok-4.3,results/summaries/paper-v1-combined-228-rescored-20260602/runs/paper-grok-4-3
Xiaomi MiMo-V2-Flash,openrouter/xiaomi/mimo-v2-flash,results/summaries/paper-v1-combined-228-rescored-20260602/runs/paper-openrouter-xiaomi-mimo-v2-flash
NVIDIA Nemotron 3 Nano 30B A3B,openrouter/nvidia/nemotron-3-nano-30b-a3b,results/summaries/paper-v1-combined-228-rescored-20260602/runs/paper-openrouter-nemotron-3-nano
OpenAI GPT-OSS 20B,openrouter/openai/gpt-oss-20b,results/summaries/paper-v1-combined-228-rescored-20260602/runs/paper-openrouter-gpt-oss-20b
Qwen3 Next 80B A3B Instruct,openrouter/qwen/qwen3-next-80b-a3b-instruct,results/summaries/paper-v1-combined-228-rescored-20260602/runs/paper-openrouter-qwen3-next
Mistral: Mistral Nemo,openrouter/mistralai/mistral-nemo,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-013-openrouter-159-mistralai-mistral-nemo
Llama Guard 3 8B,openrouter/meta-llama/llama-guard-3-8b,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-014-openrouter-063-meta-llama-llama-guard-3-8b
Meta: Llama 3 8B Instruct,openrouter/meta-llama/llama-3-8b-instruct,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-015-openrouter-076-meta-llama-llama-3-8b-instruct
Meta: Llama 3.1 8B Instruct,openrouter/meta-llama/llama-3.1-8b-instruct,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-016-openrouter-073-meta-llama-llama-3-1-8b-instruct
Sao10K: Llama 3 8B Lunaris,openrouter/sao10k/l3-lunaris-8b,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-017-openrouter-121-sao10k-l3-lunaris-8b
MythoMax 13B,openrouter/gryphe/mythomax-l2-13b,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-018-openrouter-079-gryphe-mythomax-l2-13b
Mistral: Mistral Small 3,openrouter/mistralai/mistral-small-24b-instruct-2501,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-019-openrouter-065-mistralai-mistral-small-24b-instruct-2501
Qwen: Qwen2.5 7B Instruct,openrouter/qwen/qwen-2.5-7b-instruct,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-020-openrouter-069-qwen-qwen-2-5-7b-instruct
IBM: Granite 4.1 8B,openrouter/ibm-granite/granite-4.1-8b,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-021-openrouter-026-ibm-granite-granite-4-1-8b
Qwen: Qwen3 235B A22B Instruct 2507,openrouter/qwen/qwen3-235b-a22b-2507,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-022-openrouter-053-qwen-qwen3-235b-a22b-2507
Qwen: Qwen3 235B A22B Thinking 2507,openrouter/qwen/qwen3-235b-a22b-thinking-2507,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-023-openrouter-118-qwen-qwen3-235b-a22b-thinking-2507
Z.ai: GLM 4 32B ,openrouter/z-ai/glm-4-32b,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-024-openrouter-052-z-ai-glm-4-32b
IBM: Granite 4.0 Micro,openrouter/ibm-granite/granite-4.0-h-micro,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-025-openrouter-041-ibm-granite-granite-4-0-h-micro
LiquidAI: LFM2-24B-A2B,openrouter/liquid/lfm-2-24b-a2b,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-026-openrouter-030-liquid-lfm-2-24b-a2b
Google: Gemma 3n 4B,openrouter/google/gemma-3n-e4b-it,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-027-openrouter-056-google-gemma-3n-e4b-it
Microsoft: Phi 4,openrouter/microsoft/phi-4,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-028-openrouter-066-microsoft-phi-4
NousResearch: Hermes 2 Pro - Llama-3 8B,openrouter/nousresearch/hermes-2-pro-llama-3-8b,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-029-openrouter-075-nousresearch-hermes-2-pro-llama-3-8b
Arcee AI: Trinity Mini,openrouter/arcee-ai/trinity-mini,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-030-openrouter-037-arcee-ai-trinity-mini
EssentialAI: Rnj 1 Instruct,openrouter/essentialai/rnj-1-instruct,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-031-openrouter-133-essentialai-rnj-1-instruct
NVIDIA: Nemotron Nano 9B V2,openrouter/nvidia/nemotron-nano-9b-v2,results/summaries/paper-v1-combined-228-rescored-20260602/runs/scaled-032-openrouter-047-nvidia-nemotron-nano-9b-v2
