label,family,accuracy_pct,correct,samples,scored_samples,provider_errors,timeouts,failures,estimated_cost_usd
AI21: Jamba Large 1.7,arithmetic,90.00,9,10,10,0,0,1,0.001366
AI21: Jamba Large 1.7,character_count,40.00,4,10,10,0,0,6,0.001132
AI21: Jamba Large 1.7,constraint_awareness,100.00,10,10,10,0,0,0,0.00215
AI21: Jamba Large 1.7,format_compliance,100.00,10,10,10,0,0,0,0.00204
AI21: Jamba Large 1.7,negation,100.00,10,10,10,0,0,0,0.001216
AI21: Jamba Large 1.7,ordering,100.00,10,10,10,0,0,0,0.00188
AI21: Jamba Large 1.7,spelling_transform,70.00,7,10,10,0,0,3,0.001152
AI21: Jamba Large 1.7,word_count,100.00,10,10,10,0,0,0,0.000532
Anthropic Claude Opus 4.6,arithmetic,100.00,10,10,10,0,0,0,0.00369
Anthropic Claude Opus 4.6,character_count,80.00,8,10,10,0,0,2,0.01506
Anthropic Claude Opus 4.6,constraint_awareness,90.00,9,10,10,0,0,1,0.01048
Anthropic Claude Opus 4.6,format_compliance,100.00,10,10,10,0,0,0,0.004475
Anthropic Claude Opus 4.6,negation,100.00,10,10,10,0,0,0,0.003455
Anthropic Claude Opus 4.6,ordering,100.00,10,10,10,0,0,0,0.0052
Anthropic Claude Opus 4.6,spelling_transform,80.00,8,10,10,0,0,2,0.004475
Anthropic Claude Opus 4.6,word_count,100.00,10,10,10,0,0,0,0.00141
Anthropic Claude Opus 4.7,arithmetic,100.00,10,10,10,0,0,0,0.00472
Anthropic Claude Opus 4.7,character_count,50.00,5,10,10,0,0,5,0.00408
Anthropic Claude Opus 4.7,constraint_awareness,100.00,10,10,10,0,0,0,0.007555
Anthropic Claude Opus 4.7,format_compliance,100.00,10,10,10,0,0,0,0.006485
Anthropic Claude Opus 4.7,negation,100.00,10,10,10,0,0,0,0.0047
Anthropic Claude Opus 4.7,ordering,100.00,10,10,10,0,0,0,0.00664
Anthropic Claude Opus 4.7,spelling_transform,100.00,10,10,10,0,0,0,0.004445
Anthropic Claude Opus 4.7,word_count,100.00,10,10,10,0,0,0,0.00285
Anthropic Claude Opus 4.8,arithmetic,100.00,10,10,10,0,0,0,0.00372
Anthropic Claude Opus 4.8,character_count,80.00,8,10,10,0,0,2,0.00308
Anthropic Claude Opus 4.8,constraint_awareness,100.00,10,10,10,0,0,0,0.006805
Anthropic Claude Opus 4.8,format_compliance,100.00,10,10,10,0,0,0,0.005735
Anthropic Claude Opus 4.8,negation,100.00,10,10,10,0,0,0,0.003925
Anthropic Claude Opus 4.8,ordering,100.00,10,10,10,0,0,0,0.00579
Anthropic Claude Opus 4.8,spelling_transform,60.00,6,10,10,0,0,4,0.003645
Anthropic Claude Opus 4.8,word_count,100.00,10,10,10,0,0,0,0.00188
Baidu: ERNIE 4.5 VL 28B A3B,arithmetic,,0,3,0,3,0,0,0.0
Baidu: ERNIE 4.5 VL 28B A3B,character_count,,0,4,0,4,0,0,0.0
Baidu: ERNIE 4.5 VL 28B A3B,constraint_awareness,,0,2,0,2,0,0,0.0
Baidu: ERNIE 4.5 VL 28B A3B,format_compliance,,0,2,0,2,0,0,0.0
Baidu: ERNIE 4.5 VL 28B A3B,negation,,0,1,0,1,0,0,0.0
Baidu: ERNIE 4.5 VL 28B A3B,ordering,,0,2,0,2,0,0,0.0
Baidu: ERNIE 4.5 VL 28B A3B,spelling_transform,,0,2,0,2,0,0,0.0
Baidu: ERNIE 4.5 VL 28B A3B,word_count,,0,3,0,3,0,0,0.0
Baidu: ERNIE 4.5 VL 424B A47B ,arithmetic,100.00,10,10,10,0,0,0,0.00018156
Baidu: ERNIE 4.5 VL 424B A47B ,character_count,20.00,2,10,10,0,0,8,0.00013934
Baidu: ERNIE 4.5 VL 424B A47B ,constraint_awareness,100.00,10,10,10,0,0,0,0.00035354
Baidu: ERNIE 4.5 VL 424B A47B ,format_compliance,100.00,10,10,10,0,0,0,0.00023837
Baidu: ERNIE 4.5 VL 424B A47B ,negation,100.00,10,10,10,0,0,0,0.00019394
Baidu: ERNIE 4.5 VL 424B A47B ,ordering,100.00,10,10,10,0,0,0,0.00027293
Baidu: ERNIE 4.5 VL 424B A47B ,spelling_transform,80.00,8,10,10,0,0,2,0.01704471
Baidu: ERNIE 4.5 VL 424B A47B ,word_count,100.00,10,10,10,0,0,0,7.136e-05
ByteDance: UI-TARS 7B ,arithmetic,90.00,9,10,10,0,0,1,4.21e-05
ByteDance: UI-TARS 7B ,character_count,20.00,2,10,10,0,0,8,3.6e-05
ByteDance: UI-TARS 7B ,constraint_awareness,90.00,9,10,10,0,0,1,8.48e-05
ByteDance: UI-TARS 7B ,format_compliance,100.00,10,10,10,0,0,0,5.32e-05
ByteDance: UI-TARS 7B ,negation,90.00,9,10,10,0,0,1,4.35e-05
ByteDance: UI-TARS 7B ,ordering,80.00,8,10,10,0,0,2,5.45e-05
ByteDance: UI-TARS 7B ,spelling_transform,10.00,1,10,10,0,0,9,3.74e-05
ByteDance: UI-TARS 7B ,word_count,100.00,10,10,10,0,0,0,1.5e-05
Cohere: Command A,arithmetic,100.00,10,10,10,0,0,0,0.0011575
Cohere: Command A,character_count,20.00,2,10,10,0,0,8,0.0008275
Cohere: Command A,constraint_awareness,100.00,10,10,10,0,0,0,0.00212
Cohere: Command A,format_compliance,100.00,10,10,10,0,0,0,0.001905
Cohere: Command A,negation,100.00,10,10,10,0,0,0,0.0011775
Cohere: Command A,ordering,100.00,10,10,10,0,0,0,0.0018575
Cohere: Command A,spelling_transform,50.00,5,10,10,0,0,5,0.00099
Cohere: Command A,word_count,100.00,10,10,10,0,0,0,0.000435
DeepSeek: R1 Distill Qwen 32B low_budget_512,arithmetic,50.00,5,10,10,0,0,5,0.000757
DeepSeek: R1 Distill Qwen 32B low_budget_512,character_count,0.00,0,10,10,0,0,10,0.001118
DeepSeek: R1 Distill Qwen 32B low_budget_512,constraint_awareness,0.00,0,8,8,0,0,8,0.001165
DeepSeek: R1 Distill Qwen 32B low_budget_512,format_compliance,100.00,8,8,8,0,0,0,0.000985
DeepSeek: R1 Distill Qwen 32B low_budget_512,negation,55.56,5,9,9,0,0,4,0.000947
DeepSeek: R1 Distill Qwen 32B low_budget_512,ordering,50.00,5,10,10,0,0,5,0.001061
DeepSeek: R1 Distill Qwen 32B low_budget_512,spelling_transform,100.00,6,6,6,0,0,0,0.000652
DeepSeek: R1 Distill Qwen 32B low_budget_512,word_count,0.00,0,9,9,0,0,9,0.000298
Gemini 2.5 Flash,arithmetic,100.00,10,10,10,0,0,0,0.000208
Gemini 2.5 Flash,character_count,100.00,10,10,10,0,0,0,0.00014
Gemini 2.5 Flash,constraint_awareness,90.00,9,10,10,0,0,1,0.000261
Gemini 2.5 Flash,format_compliance,100.00,10,10,10,0,0,0,0.000518
Gemini 2.5 Flash,negation,100.00,10,10,10,0,0,0,0.000154
Gemini 2.5 Flash,ordering,100.00,10,10,10,0,0,0,0.000349
Gemini 2.5 Flash,spelling_transform,100.00,10,10,10,0,0,0,0.000144
Gemini 2.5 Flash,word_count,100.00,10,10,10,0,0,0,0.000067
Gemini 2.5 Flash-Lite low_budget_1024,arithmetic,100.00,10,10,10,0,0,0,0.00005
Gemini 2.5 Flash-Lite low_budget_1024,character_count,100.00,10,10,10,0,0,0,0.000038
Gemini 2.5 Flash-Lite low_budget_1024,constraint_awareness,100.00,10,10,10,0,0,0,0.000083
Gemini 2.5 Flash-Lite low_budget_1024,format_compliance,100.00,10,10,10,0,0,0,0.000103
Gemini 2.5 Flash-Lite low_budget_1024,negation,100.00,10,10,10,0,0,0,0.000046
Gemini 2.5 Flash-Lite low_budget_1024,ordering,100.00,10,10,10,0,0,0,0.000076
Gemini 2.5 Flash-Lite low_budget_1024,spelling_transform,60.00,6,10,10,0,0,4,0.000038
Gemini 2.5 Flash-Lite low_budget_1024,word_count,100.00,10,10,10,0,0,0,0.000019
Gemini 2.5 Flash-Lite medium_budget_8192,arithmetic,100.00,10,10,10,0,0,0,0.00005
Gemini 2.5 Flash-Lite medium_budget_8192,character_count,90.00,9,10,10,0,0,1,0.000038
Gemini 2.5 Flash-Lite medium_budget_8192,constraint_awareness,100.00,10,10,10,0,0,0,0.000083
Gemini 2.5 Flash-Lite medium_budget_8192,format_compliance,100.00,10,10,10,0,0,0,0.000103
Gemini 2.5 Flash-Lite medium_budget_8192,negation,100.00,10,10,10,0,0,0,0.000046
Gemini 2.5 Flash-Lite medium_budget_8192,ordering,100.00,10,10,10,0,0,0,0.000076
Gemini 2.5 Flash-Lite medium_budget_8192,spelling_transform,50.00,5,10,10,0,0,5,0.000038
Gemini 2.5 Flash-Lite medium_budget_8192,word_count,100.00,10,10,10,0,0,0,0.000019
Gemini 3 Flash Preview,arithmetic,100.00,10,10,10,0,0,0,0.000267
Gemini 3 Flash Preview,character_count,100.00,10,10,10,0,0,0,0.000177
Gemini 3 Flash Preview,constraint_awareness,100.00,10,10,10,0,0,0,0.000418
Gemini 3 Flash Preview,format_compliance,100.00,10,10,10,0,0,0,0.000373
Gemini 3 Flash Preview,negation,100.00,10,10,10,0,0,0,0.000237
Gemini 3 Flash Preview,ordering,100.00,10,10,10,0,0,0,0.00046
Gemini 3 Flash Preview,spelling_transform,100.00,10,10,10,0,0,0,0.000216
Gemini 3 Flash Preview,word_count,100.00,10,10,10,0,0,0,0.000088
Gemini 3.1 Flash-Lite,arithmetic,100.00,10,10,10,0,0,0,0.00013375
Gemini 3.1 Flash-Lite,character_count,30.00,3,10,10,0,0,7,9e-05
Gemini 3.1 Flash-Lite,constraint_awareness,80.00,8,10,10,0,0,2,0.000212
Gemini 3.1 Flash-Lite,format_compliance,100.00,10,10,10,0,0,0,0.000188
Gemini 3.1 Flash-Lite,negation,100.00,10,10,10,0,0,0,0.00012025
Gemini 3.1 Flash-Lite,ordering,100.00,10,10,10,0,0,0,0.00022975
Gemini 3.1 Flash-Lite,spelling_transform,70.00,7,10,10,0,0,3,0.0001095
Gemini 3.1 Flash-Lite,word_count,100.00,10,10,10,0,0,0,6.8e-05
Gemini 3.1 Flash-Lite minimal_budget_1024,arithmetic,100.00,10,10,10,0,0,0,0.0
Gemini 3.1 Flash-Lite minimal_budget_1024,character_count,30.00,3,10,10,0,0,7,0.0
Gemini 3.1 Flash-Lite minimal_budget_1024,constraint_awareness,80.00,8,10,10,0,0,2,0.0
Gemini 3.1 Flash-Lite minimal_budget_1024,format_compliance,100.00,10,10,10,0,0,0,0.0
Gemini 3.1 Flash-Lite minimal_budget_1024,negation,100.00,10,10,10,0,0,0,0.0
Gemini 3.1 Flash-Lite minimal_budget_1024,ordering,100.00,10,10,10,0,0,0,0.0
Gemini 3.1 Flash-Lite minimal_budget_1024,spelling_transform,70.00,7,10,10,0,0,3,0.0
Gemini 3.1 Flash-Lite minimal_budget_1024,word_count,100.00,10,10,10,0,0,0,0.0
Google: Gemini 3.1 Flash Lite Preview minimal,arithmetic,100.00,10,10,10,0,0,0,0.00013225
Google: Gemini 3.1 Flash Lite Preview minimal,character_count,30.00,3,10,10,0,0,7,8.875e-05
Google: Gemini 3.1 Flash Lite Preview minimal,constraint_awareness,80.00,8,10,10,0,0,2,0.00021075
Google: Gemini 3.1 Flash Lite Preview minimal,format_compliance,100.00,10,10,10,0,0,0,0.00018725
Google: Gemini 3.1 Flash Lite Preview minimal,negation,100.00,10,10,10,0,0,0,0.0001195
Google: Gemini 3.1 Flash Lite Preview minimal,ordering,100.00,10,10,10,0,0,0,0.000229
Google: Gemini 3.1 Flash Lite Preview minimal,spelling_transform,70.00,7,10,10,0,0,3,0.00010825
Google: Gemini 3.1 Flash Lite Preview minimal,word_count,100.00,10,10,10,0,0,0,4.525e-05
Google: Gemini 3.1 Flash Lite minimal,arithmetic,100.00,10,10,10,0,0,0,0.000132
Google: Gemini 3.1 Flash Lite minimal,character_count,30.00,3,10,10,0,0,7,8.825e-05
Google: Gemini 3.1 Flash Lite minimal,constraint_awareness,80.00,8,10,10,0,0,2,0.00021
Google: Gemini 3.1 Flash Lite minimal,format_compliance,100.00,10,10,10,0,0,0,0.00018625
Google: Gemini 3.1 Flash Lite minimal,negation,100.00,10,10,10,0,0,0,0.000119
Google: Gemini 3.1 Flash Lite minimal,ordering,100.00,10,10,10,0,0,0,0.00022825
Google: Gemini 3.1 Flash Lite minimal,spelling_transform,70.00,7,10,10,0,0,3,0.000108
Google: Gemini 3.1 Flash Lite minimal,word_count,100.00,10,10,10,0,0,0,4.5e-05
Google: Gemma 3 12B,arithmetic,100.00,10,10,10,0,0,0,2.225e-05
Google: Gemma 3 12B,character_count,30.00,3,10,10,0,0,7,1.78e-05
Google: Gemma 3 12B,constraint_awareness,100.00,10,10,10,0,0,0,3.862e-05
Google: Gemma 3 12B,format_compliance,100.00,10,10,10,0,0,0,3.242e-05
Google: Gemma 3 12B,negation,100.00,10,10,10,0,0,0,2.329e-05
Google: Gemma 3 12B,ordering,100.00,10,10,10,0,0,0,3.162e-05
Google: Gemma 3 12B,spelling_transform,50.00,5,10,10,0,0,5,1.875e-05
Google: Gemma 3 12B,word_count,100.00,10,10,10,0,0,0,8.64e-06
Google: Gemma 3 27B,arithmetic,100.00,10,10,10,0,0,0,0.000039
Google: Gemma 3 27B,character_count,30.00,3,10,10,0,0,7,0.000033
Google: Gemma 3 27B,constraint_awareness,80.00,8,10,10,0,0,2,0.000072
Google: Gemma 3 27B,format_compliance,100.00,10,10,10,0,0,0,0.000055
Google: Gemma 3 27B,negation,100.00,10,10,10,0,0,0,0.000042
Google: Gemma 3 27B,ordering,100.00,10,10,10,0,0,0,0.000052
Google: Gemma 3 27B,spelling_transform,40.00,4,10,10,0,0,6,0.000029
Google: Gemma 3 27B,word_count,100.00,10,10,10,0,0,0,1.656e-05
Google: Gemma 3 4B,arithmetic,60.00,6,10,10,0,0,4,2.092e-05
Google: Gemma 3 4B,character_count,40.00,4,10,10,0,0,6,1.76e-05
Google: Gemma 3 4B,constraint_awareness,100.00,10,10,10,0,0,0,3.712e-05
Google: Gemma 3 4B,format_compliance,100.00,10,10,10,0,0,0,3.232e-05
Google: Gemma 3 4B,negation,90.00,9,10,10,0,0,1,2.244e-05
Google: Gemma 3 4B,ordering,80.00,8,10,10,0,0,2,2.628e-05
Google: Gemma 3 4B,spelling_transform,20.00,2,10,10,0,0,8,1.808e-05
Google: Gemma 3 4B,word_count,100.00,10,10,10,0,0,0,8.56e-06
Google: Gemma 4 26B A4B ,arithmetic,100.00,10,10,10,0,0,0,0.000038
Google: Gemma 4 26B A4B ,character_count,60.00,6,10,10,0,0,4,2.919e-05
Google: Gemma 4 26B A4B ,constraint_awareness,100.00,10,10,10,0,0,0,0.000058
Google: Gemma 4 26B A4B ,format_compliance,100.00,10,10,10,0,0,0,4.035e-05
Google: Gemma 4 26B A4B ,negation,100.00,10,10,10,0,0,0,3.639e-05
Google: Gemma 4 26B A4B ,ordering,100.00,10,10,10,0,0,0,0.00006
Google: Gemma 4 26B A4B ,spelling_transform,60.00,6,10,10,0,0,4,0.000032
Google: Gemma 4 26B A4B ,word_count,100.00,10,10,10,0,0,0,2.07e-05
Google: Gemma 4 31B,arithmetic,100.00,10,10,10,0,0,0,0.000071
Google: Gemma 4 31B,character_count,70.00,7,10,10,0,0,3,5.78e-05
Google: Gemma 4 31B,constraint_awareness,100.00,10,10,10,0,0,0,0.000116
Google: Gemma 4 31B,format_compliance,100.00,10,10,10,0,0,0,9.069e-05
Google: Gemma 4 31B,negation,100.00,10,10,10,0,0,0,6.51e-05
Google: Gemma 4 31B,ordering,100.00,10,10,10,0,0,0,9.688e-05
Google: Gemma 4 31B,spelling_transform,80.00,8,10,10,0,0,2,6.191e-05
Google: Gemma 4 31B,word_count,100.00,10,10,10,0,0,0,4.826e-05
Grok Build 0.1,arithmetic,80.00,8,10,10,0,0,2,0.015844
Grok Build 0.1,character_count,100.00,10,10,10,0,0,0,0.025882
Grok Build 0.1,constraint_awareness,100.00,10,10,10,0,0,0,0.05202
Grok Build 0.1,format_compliance,100.00,9,10,9,1,0,0,0.013783
Grok Build 0.1,negation,100.00,10,10,10,0,0,0,0.015196
Grok Build 0.1,ordering,100.00,10,10,10,0,0,0,0.014159
Grok Build 0.1,spelling_transform,100.00,10,10,10,0,0,0,0.038504
Grok Build 0.1,word_count,100.00,10,10,10,0,0,0,0.007373
Magnum v4 72B,arithmetic,100.00,10,10,10,0,0,0,0.001389
Magnum v4 72B,character_count,50.00,5,10,10,0,0,5,0.001132
Magnum v4 72B,constraint_awareness,100.00,10,10,10,0,0,0,0.002626
Magnum v4 72B,format_compliance,100.00,10,10,10,0,0,0,0.001813
Magnum v4 72B,negation,100.00,10,10,10,0,0,0,0.001521
Magnum v4 72B,ordering,100.00,10,10,10,0,0,0,0.001807
Magnum v4 72B,spelling_transform,30.00,3,10,10,0,0,7,0.001204
Magnum v4 72B,word_count,100.00,10,10,10,0,0,0,0.000562
Meta: Llama 3.2 11B Vision Instruct,arithmetic,80.00,8,10,10,0,0,2,0.000105105
Meta: Llama 3.2 11B Vision Instruct,character_count,20.00,2,10,10,0,0,8,9.408e-05
Meta: Llama 3.2 11B Vision Instruct,constraint_awareness,90.00,9,10,10,0,0,1,0.000215355
Meta: Llama 3.2 11B Vision Instruct,format_compliance,100.00,10,10,10,0,0,0,0.00012838
Meta: Llama 3.2 11B Vision Instruct,negation,100.00,10,10,10,0,0,0,0.00011172
Meta: Llama 3.2 11B Vision Instruct,ordering,100.00,10,10,10,0,0,0,0.000133035
Meta: Llama 3.2 11B Vision Instruct,spelling_transform,30.00,3,10,10,0,0,7,9.751e-05
Meta: Llama 3.2 11B Vision Instruct,word_count,100.00,10,10,10,0,0,0,6.958e-05
Meta: Llama 4 Maverick,arithmetic,90.00,9,10,10,0,0,1,0.000077
Meta: Llama 4 Maverick,character_count,30.00,3,10,10,0,0,7,0.000055
Meta: Llama 4 Maverick,constraint_awareness,90.00,9,10,10,0,0,1,0.000137
Meta: Llama 4 Maverick,format_compliance,100.00,10,10,10,0,0,0,0.000096
Meta: Llama 4 Maverick,negation,100.00,10,10,10,0,0,0,0.000081
Meta: Llama 4 Maverick,ordering,100.00,10,10,10,0,0,0,0.000115
