mode,trial,sample_id,answer_correct,strict_correct,provider_error,timeout,failure_type,target,item_type,suite_split,split,lure_type,needle,collection_label,matches,question
none,1,obviousbench.char_count.en.v0.private.260709,False,False,False,False,incorrect_count,0,absent_zero,challenge,private_v0,semantic_lure,cat,secondary colors,,"How many of these secondary colors contain the exact letter sequence ""cat"": orange, green, purple?"
none,1,obviousbench.char_count.en.v0.private.260716,False,False,False,False,incorrect_count,0,absent_zero,main_eval,private_v0,semantic_lure,cat,programming language names,,"How many of these programming language names contain the exact letter sequence ""cat"": Python, Java, Ruby, Go, Rust, Swift, Kotlin?"
none,1,obviousbench.char_count.en.v0.private.260722,False,False,False,False,incorrect_count,0,absent_zero,challenge,private_v0,semantic_lure,cat,US bill value names,,"How many of these US bill value names contain the exact letter sequence ""cat"": one, five, ten, twenty, fifty, hundred?"
none,1,obviousbench.char_count.en.v0.private.260729,False,False,False,False,incorrect_count,0,absent_zero,challenge,private_v0,near_subsequence_lure,cat,punctuation mark names,,"How many of these punctuation mark names contain the exact letter sequence ""cat"": comma, period, colon, semicolon, question mark, exclamation point?"
none,1,obviousbench.char_count.en.v0.private.260735,False,False,False,False,incorrect_count,0,absent_zero,challenge,private_v0,semantic_lure,cat,Boolean words,,"How many of these Boolean words contain the exact letter sequence ""cat"": true, false?"
none,1,obviousbench.char_count.en.v0.private.260759,False,False,False,False,incorrect_count,1,positive_control,challenge,private_v0,positive_control_sticky_domain,mer,season names,summer,"How many of these season names contain the exact letter sequence ""mer"": spring, summer, autumn, winter?"
none,1,obviousbench.char_count.en.v0.private.260762,False,False,False,False,incorrect_count,1,positive_control,challenge,private_v0,positive_control,x,NATO alphabet words,foxtrot,"How many of these NATO alphabet words contain the exact letter sequence ""x"": alpha, bravo, charlie, delta, echo, foxtrot?"
none,1,obviousbench.char_count.en.v0.private.260763,False,False,False,False,incorrect_count,2,positive_control,challenge,private_v0,positive_control,angle,shape names,triangle;rectangle,"How many of these shape names contain the exact letter sequence ""angle"": circle, square, triangle, rectangle?"
none,1,obviousbench.char_count.en.v0.private.260765,False,False,False,False,incorrect_count,4,positive_control,challenge,private_v0,positive_control,eta,Greek letter names,beta;zeta;eta;theta,"How many of these Greek letter names contain the exact letter sequence ""eta"": alpha, beta, gamma, delta, epsilon, zeta, eta, theta, iota, kappa?"
none,1,obviousbench.char_count.en.v0.private.260770,False,False,False,False,incorrect_count,1,positive_control,challenge,private_v0,positive_control,saw,tool names,saw,"How many of these tool names contain the exact letter sequence ""saw"": hammer, saw, wrench, pliers, drill?"
none,1,obviousbench.char_count.en.v0.private.260815,False,False,False,False,incorrect_count,0,absent_zero,challenge,private_v0,semantic_lure,plus,arithmetic operation names,,"How many of these arithmetic operation names contain the exact letter sequence ""plus"": addition, subtraction, multiplication, division?"
none,1,obviousbench.char_count.en.v0.private.260818,False,False,False,False,incorrect_count,0,absent_zero,main_eval,private_v0,lexical_absence,net,web browser names,,"How many of these web browser names contain the exact letter sequence ""net"": Chrome, Firefox, Safari, Edge, Opera?"
none,1,obviousbench.char_count.en.v0.private.260822,False,False,False,False,incorrect_count,4,positive_control,challenge,private_v0,positive_control_many,ber,month names,September;October;November;December,"How many of these month names contain the exact letter sequence ""ber"": January, February, March, April, May, June, July, August, September, October, November, December?"
