label,family,accuracy_pct,correct,samples,scored_samples,provider_errors,timeouts,failures,estimated_cost_usd
Claude Opus 4.8 high,arithmetic,100.00,10,10,10,0,0,0,0.003405
Claude Opus 4.8 high,character_count,80.00,8,10,10,0,0,2,0.00308
Claude Opus 4.8 high,constraint_awareness,100.00,10,10,10,0,0,0,0.006805
Claude Opus 4.8 high,format_compliance,100.00,10,10,10,0,0,0,0.00516
Claude Opus 4.8 high,negation,100.00,10,10,10,0,0,0,0.003925
Claude Opus 4.8 high,ordering,100.00,10,10,10,0,0,0,0.00579
Claude Opus 4.8 high,spelling_transform,60.00,6,10,10,0,0,4,0.00332
Claude Opus 4.8 high,word_count,100.00,10,10,10,0,0,0,0.00151
Claude Opus 4.8 low,arithmetic,100.00,10,10,10,0,0,0,0.003405
Claude Opus 4.8 low,character_count,80.00,8,10,10,0,0,2,0.00308
Claude Opus 4.8 low,constraint_awareness,100.00,10,10,10,0,0,0,0.006805
Claude Opus 4.8 low,format_compliance,100.00,10,10,10,0,0,0,0.00516
Claude Opus 4.8 low,negation,100.00,10,10,10,0,0,0,0.003925
Claude Opus 4.8 low,ordering,100.00,10,10,10,0,0,0,0.00579
Claude Opus 4.8 low,spelling_transform,60.00,6,10,10,0,0,4,0.003295
Claude Opus 4.8 low,word_count,100.00,10,10,10,0,0,0,0.00188
Claude Opus 4.8 max,arithmetic,100.00,10,10,10,0,0,0,0.003615
Claude Opus 4.8 max,character_count,70.00,7,10,10,0,0,3,0.00653
Claude Opus 4.8 max,constraint_awareness,100.00,10,10,10,0,0,0,0.006705
Claude Opus 4.8 max,format_compliance,100.00,10,10,10,0,0,0,0.00507
Claude Opus 4.8 max,negation,100.00,10,10,10,0,0,0,0.003825
Claude Opus 4.8 max,ordering,100.00,10,10,10,0,0,0,0.00569
Claude Opus 4.8 max,spelling_transform,60.00,6,10,10,0,0,4,0.006005
Claude Opus 4.8 max,word_count,100.00,10,10,10,0,0,0,0.00219
Claude Opus 4.8 medium,arithmetic,100.00,10,10,10,0,0,0,0.003405
Claude Opus 4.8 medium,character_count,80.00,8,10,10,0,0,2,0.00308
Claude Opus 4.8 medium,constraint_awareness,100.00,10,10,10,0,0,0,0.006805
Claude Opus 4.8 medium,format_compliance,100.00,10,10,10,0,0,0,0.00516
Claude Opus 4.8 medium,negation,100.00,10,10,10,0,0,0,0.003925
Claude Opus 4.8 medium,ordering,100.00,10,10,10,0,0,0,0.00579
Claude Opus 4.8 medium,spelling_transform,60.00,6,10,10,0,0,4,0.003445
Claude Opus 4.8 medium,word_count,100.00,10,10,10,0,0,0,0.00225
Claude Opus 4.8 xhigh,arithmetic,100.00,10,10,10,0,0,0,0.003405
Claude Opus 4.8 xhigh,character_count,80.00,8,10,10,0,0,2,0.00308
Claude Opus 4.8 xhigh,constraint_awareness,100.00,10,10,10,0,0,0,0.006805
Claude Opus 4.8 xhigh,format_compliance,100.00,10,10,10,0,0,0,0.00516
Claude Opus 4.8 xhigh,negation,100.00,10,10,10,0,0,0,0.003535
Claude Opus 4.8 xhigh,ordering,100.00,10,10,10,0,0,0,0.00579
Claude Opus 4.8 xhigh,spelling_transform,60.00,6,10,10,0,0,4,0.00432
Claude Opus 4.8 xhigh,word_count,100.00,10,10,10,0,0,0,0.00188
Claude Sonnet 4.6 high,arithmetic,100.00,10,10,10,0,0,0,0.001989
