label,family,accuracy_pct,correct,samples,failures,estimated_cost_usd
Claude Haiku 4.5,arithmetic,100.00,10,10,0,0.000712
Claude Haiku 4.5,character_count,50.00,5,10,5,0.000612
Claude Haiku 4.5,constraint_awareness,60.00,6,10,4,0.00086
Claude Haiku 4.5,format_compliance,50.00,5,10,5,0.000936
Claude Haiku 4.5,negation,90.00,9,10,1,0.000691
Claude Haiku 4.5,ordering,100.00,10,10,0,0.00104
Claude Haiku 4.5,spelling_transform,60.00,6,10,4,0.001003
Claude Haiku 4.5,word_count,100.00,10,10,0,0.000682
Claude Sonnet 4.6,arithmetic,100.00,10,10,0,0.002136
Claude Sonnet 4.6,character_count,30.00,3,10,7,0.002571
Claude Sonnet 4.6,constraint_awareness,40.00,4,10,6,0.00297
Claude Sonnet 4.6,format_compliance,100.00,10,10,0,0.002358
Claude Sonnet 4.6,negation,90.00,9,10,1,0.002073
Claude Sonnet 4.6,ordering,100.00,10,10,0,0.00312
Claude Sonnet 4.6,spelling_transform,60.00,6,10,4,0.003834
Claude Sonnet 4.6,word_count,100.00,10,10,0,0.002046
GPT-4.1 none,arithmetic,100.00,10,10,0,0.00091
GPT-4.1 none,character_count,50.00,5,10,5,0.000744
GPT-4.1 none,constraint_awareness,50.00,5,10,5,0.001368
GPT-4.1 none,format_compliance,100.00,10,10,0,0.001146
GPT-4.1 none,negation,80.00,8,10,2,0.001014
GPT-4.1 none,ordering,100.00,10,10,0,0.001516
GPT-4.1 none,spelling_transform,60.00,6,10,4,0.000884
GPT-4.1 none,word_count,100.00,10,10,0,0.000892
GPT-4o none,arithmetic,100.00,10,10,0,0.0011375
GPT-4o none,character_count,70.00,7,10,3,0.001
GPT-4o none,constraint_awareness,10.00,1,10,9,0.00191
GPT-4o none,format_compliance,70.00,7,10,3,0.0015525
GPT-4o none,negation,50.00,5,10,5,0.0013475
GPT-4o none,ordering,100.00,10,10,0,0.001895
GPT-4o none,spelling_transform,90.00,9,10,1,0.001105
GPT-4o none,word_count,100.00,10,10,0,0.001105
GPT-5 Nano minimal,arithmetic,90.00,9,10,1,9.785e-05
GPT-5 Nano minimal,character_count,20.00,2,10,8,9.21e-05
GPT-5 Nano minimal,constraint_awareness,90.00,9,10,1,0.0001071
GPT-5 Nano minimal,format_compliance,100.00,10,10,0,0.00010595
GPT-5 Nano minimal,negation,100.00,10,10,0,9.865e-05
GPT-5 Nano minimal,ordering,80.00,8,10,2,0.000142
GPT-5 Nano minimal,spelling_transform,30.00,3,10,7,0.000158
GPT-5 Nano minimal,word_count,90.00,9,10,1,9.56e-05
GPT-5 low,arithmetic,100.00,10,10,0,0.0038375
GPT-5 low,character_count,100.00,10,10,0,0.00071
GPT-5 low,constraint_awareness,90.00,9,10,1,0.0034375
GPT-5 low,format_compliance,100.00,10,10,0,0.00333875
GPT-5 low,negation,100.00,10,10,0,0.00513
GPT-5 low,ordering,100.00,10,10,0,0.0052325
GPT-5 low,spelling_transform,100.00,10,10,0,0.00206
GPT-5 low,word_count,100.00,10,10,0,0.00430125
GPT-5.2 none,arithmetic,100.00,10,10,0,0.00147875
GPT-5.2 none,character_count,40.00,4,10,6,0.0012635
GPT-5.2 none,constraint_awareness,100.00,10,10,0,0.0017885
GPT-5.2 none,format_compliance,100.00,10,10,0,0.00172025
GPT-5.2 none,negation,100.00,10,10,0,0.00149275
GPT-5.2 none,ordering,100.00,10,10,0,0.002464
GPT-5.2 none,spelling_transform,70.00,7,10,3,0.00154
GPT-5.2 none,word_count,90.00,9,10,1,0.001386
GPT-5.5 medium,arithmetic,100.00,10,10,0,0.010585
GPT-5.5 medium,character_count,100.00,10,10,0,0.01844
GPT-5.5 medium,constraint_awareness,100.00,10,10,0,0.01313
GPT-5.5 medium,format_compliance,100.00,10,10,0,0.011685
GPT-5.5 medium,negation,100.00,10,10,0,0.009785
GPT-5.5 medium,ordering,100.00,10,10,0,0.01419
