label,model,summary_dir
NVIDIA: Nemotron 3 Super,openrouter/nvidia/nemotron-3-super-120b-a12b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-060-openrouter-029-nvidia-nemotron-3-super-120b-a12b
OpenAI GPT-5.4 nano high,openai/gpt-5.4-nano,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-overline-003-openai-gpt-5-4-nano-high
Qwen: Qwen3 235B A22B Thinking 2507,openrouter/qwen/qwen3-235b-a22b-thinking-2507,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-023-openrouter-118-qwen-qwen3-235b-a22b-thinking-2507
Tencent: Hy3 preview,openrouter/tencent/hy3-preview,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-038-openrouter-126-tencent-hy3-preview
Google: Gemini 3.1 Flash Lite medium,openrouter/google/gemini-3.1-flash-lite,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-036-openrouter-google-gemini-3-1-flash-lite-medium
Z.ai: GLM 4.6V,openrouter/z-ai/glm-4.6v,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-033-registry-openrouter-170-z-ai-glm-4-6v
Google: Gemini 3.1 Flash Lite high,openrouter/google/gemini-3.1-flash-lite,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-037-openrouter-google-gemini-3-1-flash-lite-high
Gemini 3 Flash Preview,google/gemini-3-flash-preview,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-060-registry-gemini-3-flash-preview
MoonshotAI: Kimi K2.5,openrouter/moonshotai/kimi-k2.5,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-049-registry-openrouter-169-moonshotai-kimi-k2-5
MoonshotAI: Kimi K2.6,openrouter/moonshotai/kimi-k2.6,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-065-registry-openrouter-164-moonshotai-kimi-k2-6
OpenAI GPT-5.5 low,openai/gpt-5.5,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-002-openai-gpt-5-5-low
Google: Gemini 3.5 Flash low,openrouter/google/gemini-3.5-flash,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-029-openrouter-google-gemini-3-5-flash-low
OpenAI GPT-5.5 low,openai/gpt-5.5,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-085-registry-openai-gpt-5-5-low
OpenAI GPT-5.5 medium,openai/gpt-5.5,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-003-openai-gpt-5-5-medium
Qwen: Qwen3.6 Plus,openrouter/qwen/qwen3.6-plus,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-048-registry-openrouter-166-qwen-qwen3-6-plus
OpenAI GPT-5.5 high,openai/gpt-5.5,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-004-openai-gpt-5-5-high
Google: Gemini 3.1 Pro Preview Custom Tools low,openrouter/google/gemini-3.1-pro-preview-customtools,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-032-openrouter-google-gemini-3-1-pro-preview-customtools-low
Google: Gemini 3.5 Flash high,openrouter/google/gemini-3.5-flash,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-031-openrouter-google-gemini-3-5-flash-high
Qwen: Qwen3.7 Max,openrouter/qwen/qwen3.7-max,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-067-registry-openrouter-178-qwen-qwen3-7-max
Z.ai: GLM 5.1,openrouter/z-ai/glm-5.1,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-063-registry-openrouter-128-z-ai-glm-5-1
Gemini 3.5 Flash,google/gemini-3.5-flash,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-paper-gemini-3-5-flash
OpenAI GPT-5.5 xhigh,openai/gpt-5.5,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-005-openai-gpt-5-5-xhigh
Google: Gemini 3.1 Pro Preview Custom Tools high,openrouter/google/gemini-3.1-pro-preview-customtools,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-top-thinking-033-openrouter-google-gemini-3-1-pro-preview-customtools-high
