model_entry_id,label,inspect_model,provider_model,reasoning_effort,model_setting_key,items,complete_items,attempt_rows,valid_attempts,strict_correct_attempts,strict_attempt_accuracy,strict_pass3_items,strict_pass3_accuracy,strict_pass3_ci_low,strict_pass3_ci_high,answer_pass3_items,answer_pass3_accuracy,format_pass3_items,format_pass3_accuracy,strict_any3_items,strict_any3_accuracy,provider_errors,timeouts,input_tokens,output_tokens,reasoning_tokens,cache_read_tokens,cache_write_tokens,total_tokens,estimated_cost_usd,manual_adjusted_attempts,complete_for_pass3
requested-042-anthropic-claude-3-haiku-default,Anthropic: Claude 3 Haiku,openrouter/anthropic/claude-3-haiku,anthropic/claude-3-haiku,default,openrouter-anthropic-claude-3-haiku:6aad94ffc138946a,144,144,432,432,232,0.537037,64,0.444444,0.365777,0.525999,64,0.444444,141,0.979167,93,0.645833,0,0,21435,2534,0,0,0,23969,0.00852625,0,True
requested-043-anthropic-claude-3-5-haiku-default,Anthropic: Claude 3.5 Haiku,openrouter/anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,default,openrouter-anthropic-claude-3-5-haiku:5f6e8cbb75d7bea1,144,144,432,432,280,0.648148,85,0.590278,0.508625,0.667239,85,0.590278,142,0.986111,103,0.715278,0,0,21435,3035,0,0,0,24470,0.029288,0,True
manual-20260701-anthropic-claude-fable-5-low,Anthropic Claude Fable 5 low,anthropic/claude-fable-5,anthropic/claude-fable-5,low,anthropic-claude-fable-5:e077652f9fcf4486,144,144,432,432,427,0.988426,141,0.979167,0.940542,0.99289,142,0.986111,143,0.993056,143,0.993056,0,0,28272,6360,6632,0,0,34632,0.59601,12,True
manual-20260701-anthropic-claude-fable-5-medium,Anthropic Claude Fable 5 medium,anthropic/claude-fable-5,anthropic/claude-fable-5,medium,anthropic-claude-fable-5:b7732520ec599e51,144,144,432,432,426,0.986111,141,0.979167,0.940542,0.99289,141,0.979167,143,0.993056,143,0.993056,0,0,28272,8951,9533,0,0,37223,0.72341,12,True
manual-20260701-anthropic-claude-fable-5-high,Anthropic Claude Fable 5 high,anthropic/claude-fable-5,anthropic/claude-fable-5,high,anthropic-claude-fable-5:1bcf008f23ca2ac5,144,144,432,432,428,0.990741,142,0.986111,0.950777,0.996183,143,0.993056,143,0.993056,143,0.993056,0,0,28272,11607,12533,0,0,39879,0.853555,15,True
manual-20260701-anthropic-claude-fable-5-xhigh,Anthropic Claude Fable 5 xhigh,anthropic/claude-fable-5,anthropic/claude-fable-5,xhigh,anthropic-claude-fable-5:db1757c62151bca3,144,144,432,432,428,0.990741,142,0.986111,0.950777,0.996183,142,0.986111,144,1.0,143,0.993056,0,0,28272,14938,15321,0,0,43210,1.012335,19,True
manual-20260701-anthropic-claude-fable-5-max,Anthropic Claude Fable 5 max,anthropic/claude-fable-5,anthropic/claude-fable-5,max,anthropic-claude-fable-5:3318474fab2a92ce,144,144,432,432,429,0.993056,143,0.993056,0.961715,0.998773,143,0.993056,144,1.0,143,0.993056,0,0,28272,44842,24631,0,0,73114,2.400265,41,True
old-5-anthropic-claude-haiku-4-5,Anthropic Claude Haiku 4.5,anthropic/claude-haiku-4-5,anthropic/claude-haiku-4.5,default,anthropic-claude-haiku-4-5:72a6718c6c03bacb,144,144,432,432,286,0.662037,87,0.604167,0.522585,0.680335,94,0.652778,136,0.944444,104,0.722222,0,0,21435,4095,0,0,0,25530,0.04191,0,True
manual-20260612-anthropic-claude-haiku-4-5-high-budget-8192,Anthropic Claude Haiku 4.5 high_budget_8192,anthropic/claude-haiku-4-5,anthropic/claude-haiku-4.5,high_budget_8192,anthropic-claude-haiku-4-5:243da1214ae91ec5,144,144,432,432,408,0.944444,129,0.895833,0.835244,0.935852,130,0.902778,141,0.979167,142,0.986111,0,0,33963,77376,71239,0,0,111339,0.420843,0,True
manual-20260612-anthropic-claude-haiku-4-5-low-budget-1024,Anthropic Claude Haiku 4.5 low_budget_1024,anthropic/claude-haiku-4-5,anthropic/claude-haiku-4.5,low_budget_1024,anthropic-claude-haiku-4-5:0ccdd63aa781dc99,144,144,432,432,409,0.946759,130,0.902778,0.843423,0.941201,132,0.916667,142,0.986111,142,0.986111,0,0,33963,65433,62454,0,0,99396,0.361128,0,True
