label,model,chosen_source,chosen_summary_dir,chosen_scored_samples,chosen_total_samples,original_scored_samples,original_total_samples,repair_scored_samples,repair_total_samples,note
OpenAI GPT-5 nano minimal,openai/gpt-5-nano,original,results/summaries/paper-v1-scaled-100-10k-20260601/paper-openai-gpt-5-nano-minimal,80,80,80,80,,,kept original summary
OpenAI GPT-4.1,openai/gpt-4.1,original,results/summaries/paper-v1-scaled-100-10k-20260601/paper-openai-gpt-4-1,80,80,80,80,,,kept original summary
OpenAI GPT-4.1 mini,openai/gpt-4.1-mini,original,results/summaries/paper-v1-scaled-100-10k-20260601/paper-openai-gpt-4-1-mini,80,80,80,80,,,kept original summary
Anthropic Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,original,results/summaries/paper-v1-scaled-100-10k-20260601/paper-anthropic-claude-sonnet-4-6,80,80,80,80,,,kept original summary
Anthropic Claude Haiku 4.5,anthropic/claude-haiku-4-5,original,results/summaries/paper-v1-scaled-100-10k-20260601/paper-anthropic-claude-haiku-4-5,80,80,80,80,,,kept original summary
Gemini 3.5 Flash,google/gemini-3.5-flash,original,results/summaries/paper-v1-scaled-100-10k-20260601/paper-gemini-3-5-flash,80,80,80,80,,,kept original summary
Gemini 2.5 Flash-Lite,google/gemini-2.5-flash-lite,original,results/summaries/paper-v1-scaled-100-10k-20260601/paper-gemini-2-5-flash-lite,80,80,80,80,,,kept original summary
Grok 4.3,grok/grok-4.3,repair,results/summaries/paper-v1-scaled-100-10k-repair-20260601/paper-grok-4-3,79,80,70,90,79,80,used repair summary
Xiaomi MiMo-V2-Flash,openrouter/xiaomi/mimo-v2-flash,original,results/summaries/paper-v1-scaled-100-10k-20260601/paper-openrouter-xiaomi-mimo-v2-flash,80,80,80,80,,,kept original summary
NVIDIA Nemotron 3 Nano 30B A3B,openrouter/nvidia/nemotron-3-nano-30b-a3b,original,results/summaries/paper-v1-scaled-100-10k-20260601/paper-openrouter-nemotron-3-nano,80,80,80,80,,,kept original summary
OpenAI GPT-OSS 20B,openrouter/openai/gpt-oss-20b,repair,results/summaries/paper-v1-scaled-100-10k-repair-20260601/paper-openrouter-gpt-oss-20b,80,80,70,70,80,80,used repair summary
Qwen3 Next 80B A3B Instruct,openrouter/qwen/qwen3-next-80b-a3b-instruct,original,results/summaries/paper-v1-scaled-100-10k-20260601/paper-openrouter-qwen3-next,80,80,80,80,,,kept original summary
Mistral: Mistral Nemo,openrouter/mistralai/mistral-nemo,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-013-openrouter-159-mistralai-mistral-nemo,80,80,80,80,,,kept original summary
Llama Guard 3 8B,openrouter/meta-llama/llama-guard-3-8b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-014-openrouter-063-meta-llama-llama-guard-3-8b,0,5,0,5,0,5,kept original summary
Meta: Llama 3 8B Instruct,openrouter/meta-llama/llama-3-8b-instruct,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-015-openrouter-076-meta-llama-llama-3-8b-instruct,80,80,80,80,,,kept original summary
Meta: Llama 3.1 8B Instruct,openrouter/meta-llama/llama-3.1-8b-instruct,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-016-openrouter-073-meta-llama-llama-3-1-8b-instruct,80,80,80,80,,,kept original summary
Sao10K: Llama 3 8B Lunaris,openrouter/sao10k/l3-lunaris-8b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-017-openrouter-121-sao10k-l3-lunaris-8b,80,80,80,80,,,kept original summary
MythoMax 13B,openrouter/gryphe/mythomax-l2-13b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-018-openrouter-079-gryphe-mythomax-l2-13b,80,80,80,80,,,kept original summary
Mistral: Mistral Small 3,openrouter/mistralai/mistral-small-24b-instruct-2501,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-019-openrouter-065-mistralai-mistral-small-24b-instruct-2501,80,80,80,80,,,kept original summary
Qwen: Qwen2.5 7B Instruct,openrouter/qwen/qwen-2.5-7b-instruct,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-020-openrouter-069-qwen-qwen-2-5-7b-instruct,80,80,80,80,,,kept original summary
IBM: Granite 4.1 8B,openrouter/ibm-granite/granite-4.1-8b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-021-openrouter-026-ibm-granite-granite-4-1-8b,80,80,80,80,,,kept original summary
Qwen: Qwen3 235B A22B Instruct 2507,openrouter/qwen/qwen3-235b-a22b-2507,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-022-openrouter-053-qwen-qwen3-235b-a22b-2507,80,80,80,80,,,kept original summary
Qwen: Qwen3 235B A22B Thinking 2507,openrouter/qwen/qwen3-235b-a22b-thinking-2507,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-023-openrouter-118-qwen-qwen3-235b-a22b-thinking-2507,80,80,80,80,,,kept original summary
Z.ai: GLM 4 32B ,openrouter/z-ai/glm-4-32b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-024-openrouter-052-z-ai-glm-4-32b,80,80,80,80,,,kept original summary
IBM: Granite 4.0 Micro,openrouter/ibm-granite/granite-4.0-h-micro,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-025-openrouter-041-ibm-granite-granite-4-0-h-micro,80,80,80,80,,,kept original summary
LiquidAI: LFM2-24B-A2B,openrouter/liquid/lfm-2-24b-a2b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-026-openrouter-030-liquid-lfm-2-24b-a2b,80,80,80,80,,,kept original summary
Google: Gemma 3n 4B,openrouter/google/gemma-3n-e4b-it,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-027-openrouter-056-google-gemma-3n-e4b-it,80,80,80,80,,,kept original summary
Microsoft: Phi 4,openrouter/microsoft/phi-4,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-028-openrouter-066-microsoft-phi-4,80,80,80,80,,,kept original summary
NousResearch: Hermes 2 Pro - Llama-3 8B,openrouter/nousresearch/hermes-2-pro-llama-3-8b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-029-openrouter-075-nousresearch-hermes-2-pro-llama-3-8b,80,80,80,80,,,kept original summary
Arcee AI: Trinity Mini,openrouter/arcee-ai/trinity-mini,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-030-openrouter-037-arcee-ai-trinity-mini,80,80,80,80,,,kept original summary
EssentialAI: Rnj 1 Instruct,openrouter/essentialai/rnj-1-instruct,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-031-openrouter-133-essentialai-rnj-1-instruct,80,80,80,80,,,kept original summary
NVIDIA: Nemotron Nano 9B V2,openrouter/nvidia/nemotron-nano-9b-v2,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-032-openrouter-047-nvidia-nemotron-nano-9b-v2,80,80,80,80,,,kept original summary
Qwen: Qwen3 30B A3B Instruct 2507,openrouter/qwen/qwen3-30b-a3b-instruct-2507,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-033-openrouter-051-qwen-qwen3-30b-a3b-instruct-2507,80,80,80,80,,,kept original summary
OpenAI: gpt-oss-120b,openrouter/openai/gpt-oss-120b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-034-openrouter-048-openai-gpt-oss-120b,80,80,80,80,,,kept original summary
DeepSeek: DeepSeek V4 Flash,openrouter/deepseek/deepseek-v4-flash,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-035-openrouter-027-deepseek-deepseek-v4-flash,80,80,80,80,,,kept original summary
Reka Flash 3,openrouter/rekaai/reka-flash-3,omitted,,,,,,,,omitted: no summary data row
Meta: Llama 3.2 1B Instruct,openrouter/meta-llama/llama-3.2-1b-instruct,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-037-openrouter-155-meta-llama-llama-3-2-1b-instruct,80,80,80,80,,,kept original summary
Tencent: Hy3 preview,openrouter/tencent/hy3-preview,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-038-openrouter-126-tencent-hy3-preview,80,80,80,80,,,kept original summary
Qwen: Qwen3 14B,openrouter/qwen/qwen3-14b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-039-openrouter-059-qwen-qwen3-14b,80,80,80,80,,,kept original summary
Qwen: Qwen3 Coder 30B A3B Instruct,openrouter/qwen/qwen3-coder-30b-a3b-instruct,repair,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-040-openrouter-050-qwen-qwen3-coder-30b-a3b-instruct,80,80,70,70,80,80,used repair summary
Qwen: Qwen3 32B,openrouter/qwen/qwen3-32b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-041-openrouter-060-qwen-qwen3-32b,80,80,80,80,,,kept original summary
DeepSeek: R1 Distill Qwen 32B,openrouter/deepseek/deepseek-r1-distill-qwen-32b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-042-openrouter-120-deepseek-deepseek-r1-distill-qwen-32b,80,80,80,80,,,kept original summary
OpenAI: gpt-oss-safeguard-20b,openrouter/openai/gpt-oss-safeguard-20b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-043-openrouter-039-openai-gpt-oss-safeguard-20b,18,32,18,32,2,23,kept original summary
StepFun: Step 3.5 Flash,openrouter/stepfun/step-3.5-flash,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-044-openrouter-032-stepfun-step-3-5-flash,80,80,80,80,,,kept original summary
Nous: Hermes 3 70B Instruct,openrouter/nousresearch/hermes-3-llama-3.1-70b,repair,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-045-openrouter-156-nousresearch-hermes-3-llama-3-1-70b,41,41,,,41,41,used repair summary
Meta: Llama 3.3 70B Instruct,openrouter/meta-llama/llama-3.3-70b-instruct,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-046-openrouter-154-meta-llama-llama-3-3-70b-instruct,80,80,80,80,,,kept original summary
Meta: Llama 3.2 3B Instruct,openrouter/meta-llama/llama-3.2-3b-instruct,repair,results/summaries/paper-v1-scaled-100-10k-repair-20260601/scaled-047-openrouter-071-meta-llama-llama-3-2-3b-instruct,3,16,0,9,3,16,used repair summary
DeepSeek: DeepSeek V3.2,openrouter/deepseek/deepseek-v3.2,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-048-openrouter-134-deepseek-deepseek-v3-2,80,80,80,80,,,kept original summary
Microsoft: Phi 4 Mini Instruct,openrouter/microsoft/phi-4-mini-instruct,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-049-openrouter-042-microsoft-phi-4-mini-instruct,80,80,80,80,,,kept original summary
Qwen: Qwen3 8B,openrouter/qwen/qwen3-8b,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-050-openrouter-058-qwen-qwen3-8b,80,80,80,80,,,kept original summary
Z.ai: GLM 4.7 Flash,openrouter/z-ai/glm-4.7-flash,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-051-openrouter-033-z-ai-glm-4-7-flash,80,80,80,80,,,kept original summary
Qwen: Qwen3 30B A3B Thinking 2507,openrouter/qwen/qwen3-30b-a3b-thinking-2507,original,results/summaries/paper-v1-scaled-100-10k-20260601/scaled-052-openrouter-117-qwen-qwen3-30b-a3b-thinking-2507,80,80,80,80,,,kept original summary
