label,model,summary_dir
Grok 4.3,grok/grok-4.3,results/summaries/paper-v1-scaled-100-10k-repair2-20260602/paper-grok-4-3
Llama Guard 3 8B,openrouter/meta-llama/llama-guard-3-8b,results/summaries/paper-v1-scaled-100-10k-repair2-20260602/scaled-014-openrouter-063-meta-llama-llama-guard-3-8b
OpenAI: gpt-oss-safeguard-20b,openrouter/openai/gpt-oss-safeguard-20b,results/summaries/paper-v1-scaled-100-10k-repair2-20260602/scaled-043-openrouter-039-openai-gpt-oss-safeguard-20b
Nous: Hermes 3 70B Instruct,openrouter/nousresearch/hermes-3-llama-3.1-70b,results/summaries/paper-v1-scaled-100-10k-repair2-20260602/scaled-045-openrouter-156-nousresearch-hermes-3-llama-3-1-70b
Meta: Llama 3.2 3B Instruct,openrouter/meta-llama/llama-3.2-3b-instruct,results/summaries/paper-v1-scaled-100-10k-repair2-20260602/scaled-047-openrouter-071-meta-llama-llama-3-2-3b-instruct
NVIDIA: Llama 3.3 Nemotron Super 49B V1.5,openrouter/nvidia/llama-3.3-nemotron-super-49b-v1.5,results/summaries/paper-v1-scaled-100-10k-repair2-20260602/scaled-053-openrouter-043-nvidia-llama-3-3-nemotron-super-49b-v1-5
AllenAI: Olmo 3 32B Think,openrouter/allenai/olmo-3-32b-think,results/summaries/paper-v1-scaled-100-10k-repair2-20260602/scaled-063-openrouter-038-allenai-olmo-3-32b-think
Qwen2.5 Coder 32B Instruct,openrouter/qwen/qwen-2.5-coder-32b-instruct,results/summaries/paper-v1-scaled-100-10k-repair2-20260602/scaled-085-openrouter-067-qwen-qwen-2-5-coder-32b-instruct
AionLabs: Aion-1.0-Mini,openrouter/aion-labs/aion-1.0-mini,results/summaries/paper-v1-scaled-100-10k-repair2-20260602/scaled-091-openrouter-119-aion-labs-aion-1-0-mini
MoonshotAI: Kimi K2 0711,openrouter/moonshotai/kimi-k2,results/summaries/paper-v1-scaled-100-10k-repair2-20260602/scaled-099-openrouter-149-moonshotai-kimi-k2
