label,model,summary_dir
OpenAI GPT-5 nano minimal,openai/gpt-5-nano,results/summaries/paper-v1-smoke-10k-cap/paper-openai-gpt-5-nano-minimal
OpenAI GPT-4.1,openai/gpt-4.1,results/summaries/paper-v1-smoke-10k-cap/paper-openai-gpt-4-1
OpenAI GPT-4.1 mini,openai/gpt-4.1-mini,results/summaries/paper-v1-smoke-10k-cap/paper-openai-gpt-4-1-mini
Anthropic Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,results/summaries/paper-v1-smoke-10k-cap/paper-anthropic-claude-sonnet-4-6
Anthropic Claude Haiku 4.5,anthropic/claude-haiku-4-5,results/summaries/paper-v1-smoke-10k-cap/paper-anthropic-claude-haiku-4-5
Gemini 3.5 Flash,google/gemini-3.5-flash,results/summaries/paper-v1-smoke-10k-cap/paper-gemini-3-5-flash
Gemini 2.5 Flash-Lite,google/gemini-2.5-flash-lite,results/summaries/paper-v1-smoke-10k-cap/paper-gemini-2-5-flash-lite
Grok 4.3,grok/grok-4.3,results/summaries/paper-v1-smoke-10k-cap/paper-grok-4-3
Xiaomi MiMo-V2-Flash,openrouter/xiaomi/mimo-v2-flash,results/summaries/paper-v1-smoke-10k-cap/paper-openrouter-xiaomi-mimo-v2-flash
NVIDIA Nemotron 3 Nano 30B A3B,openrouter/nvidia/nemotron-3-nano-30b-a3b,results/summaries/paper-v1-smoke-10k-cap/paper-openrouter-nemotron-3-nano
OpenAI GPT-OSS 20B,openrouter/openai/gpt-oss-20b,results/summaries/paper-v1-smoke-10k-cap/paper-openrouter-gpt-oss-20b
Qwen3 Next 80B A3B Instruct,openrouter/qwen/qwen3-next-80b-a3b-instruct,results/summaries/paper-v1-smoke-10k-cap/paper-openrouter-qwen3-next
