item_id,participant_id,answer,seconds,correct,notes,scorer,target,extracted,failure_type,format_correct,strict_correct
obviousbench.char_count.en.v0.public.000040,p01,,,,,exact_integer_extract_first_v0,3,,,,
obviousbench.constraint.en.v0.public.000021,p01,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.ordering.en.v0.public.000036,p01,,,,,normalized_list_v0,"apple, banana, pear",,,,
obviousbench.constraint.en.v0.public.000032,p01,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.char_count.en.v0.public.000057,p01,,,,,exact_integer_extract_first_v0,2,,,,
obviousbench.format.en.v0.public.000008,p01,,,,,json_exact_field_v0,3,,,,
obviousbench.char_count.en.v0.public.000038,p01,,,,,exact_integer_extract_first_v0,2,,,,
obviousbench.ordering.en.v0.public.000046,p01,,,,,normalized_list_v0,"1, 2, 7, 10",,,,
obviousbench.format.en.v0.public.000026,p01,,,,,json_exact_field_v0,3,,,,
obviousbench.spell.en.v0.public.000020,p01,,,,,exact_string_trim_v0,committ,,,,
obviousbench.format.en.v0.public.000046,p01,,,,,json_exact_field_v0,blue,,,,
obviousbench.spell.en.v0.public.000008,p01,,,,,exact_string_trim_v0,sntnc,,,,
obviousbench.ordering.en.v0.public.000048,p01,,,,,normalized_list_v0,"-3, -1, 0, 4",,,,
obviousbench.format.en.v0.public.000020,p01,,,,,json_exact_field_v0,3,,,,
obviousbench.arith.en.v0.public.000007,p01,,,,,exact_integer_extract_first_v0,22,,,,
obviousbench.negation.en.v0.public.000034,p01,,,,,exact_string_trim_v0,July,,,,
obviousbench.char_count.en.v0.public.000029,p01,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.word_count.en.v0.public.000015,p01,,,,,word_count_v0,4,,,,
obviousbench.format.en.v0.public.000048,p01,,,,,json_exact_field_v0,cat,,,,
obviousbench.word_count.en.v0.public.000051,p01,,,,,word_count_v0,4,,,,
obviousbench.char_count.en.v0.public.000054,p01,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.char_count.en.v0.public.000030,p01,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.char_count.en.v0.public.000046,p01,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.arith.en.v0.public.000025,p01,,,,,exact_integer_extract_first_v0,210,,,,
obviousbench.spell.en.v0.public.000017,p01,,,,,exact_string_trim_v0,orang,,,,
obviousbench.negation.en.v0.public.000033,p01,,,,,exact_string_trim_v0,circle,,,,
obviousbench.constraint.en.v0.public.000033,p01,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.constraint.en.v0.public.000040,p01,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.negation.en.v0.public.000012,p01,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.format.en.v0.public.000047,p01,,,,,json_exact_field_v0,17,,,,
obviousbench.format.en.v0.public.000028,p01,,,,,json_exact_field_v0,3,,,,
obviousbench.ordering.en.v0.public.000047,p01,,,,,normalized_list_v0,"3.01, 3.1, 3.2",,,,
obviousbench.arith.en.v0.public.000028,p01,,,,,exact_integer_extract_first_v0,60,,,,
obviousbench.format.en.v0.public.000050,p01,,,,,json_exact_field_v0,true,,,,
obviousbench.negation.en.v0.public.000035,p01,,,,,exact_string_trim_v0,9,,,,
obviousbench.negation.en.v0.public.000018,p01,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.arith.en.v0.public.000026,p01,,,,,exact_integer_extract_first_v0,126,,,,
obviousbench.char_count.en.v0.public.000017,p01,,,,,exact_integer_extract_first_v0,3,,,,
obviousbench.negation.en.v0.public.000032,p01,,,,,exact_string_trim_v0,paper,,,,
obviousbench.ordering.en.v0.public.000049,p01,,,,,normalized_list_v0,"1, 2, 12, 21",,,,
obviousbench.ordering.en.v0.public.000012,p01,,,,,normalized_list_v0,"cap, car, cat",,,,
obviousbench.spell.en.v0.public.000014,p01,,,,,exact_string_trim_v0,plant,,,,
obviousbench.negation.en.v0.public.000031,p01,,,,,exact_string_trim_v0,plum,,,,
obviousbench.word_count.en.v0.public.000027,p01,,,,,word_count_v0,4,,,,
obviousbench.format.en.v0.public.000049,p01,,,,,json_exact_field_v0,north,,,,
obviousbench.word_count.en.v0.public.000042,p01,,,,,word_count_v0,4,,,,
obviousbench.arith.en.v0.public.000024,p01,,,,,exact_string_trim_v0,4.827,,,,
obviousbench.arith.en.v0.public.000022,p01,,,,,exact_string_trim_v0,7.2,,,,
obviousbench.spell.en.v0.public.000005,p01,,,,,exact_string_trim_v0,ncssary,,,,
obviousbench.constraint.en.v0.public.000028,p01,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.constraint.en.v0.public.000036,p01,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.word_count.en.v0.public.000045,p01,,,,,word_count_v0,4,,,,
obviousbench.negation.en.v0.public.000016,p01,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.word_count.en.v0.public.000070,p01,,,,,word_count_v0,4,,,,
obviousbench.ordering.en.v0.public.000025,p01,,,,,normalized_list_v0,"blue, green, red",,,,
obviousbench.constraint.en.v0.public.000038,p01,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.spell.en.v0.public.000022,p01,,,,,exact_string_trim_v0,paralll,,,,
obviousbench.negation.en.v0.public.000020,p01,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.char_count.en.v0.public.000062,p01,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.ordering.en.v0.public.000045,p01,,,,,normalized_list_v0,"blue, green, red",,,,
obviousbench.arith.en.v0.public.000021,p01,,,,,exact_string_trim_v0,9.9,,,,
obviousbench.spell.en.v0.public.000015,p01,,,,,exact_string_trim_v0,pl@net,,,,
obviousbench.negation.en.v0.public.000019,p01,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.word_count.en.v0.public.000036,p01,,,,,word_count_v0,4,,,,
obviousbench.arith.en.v0.public.000020,p01,,,,,exact_integer_extract_first_v0,47,,,,
obviousbench.constraint.en.v0.public.000025,p01,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.spell.en.v0.public.000002,p01,,,,,exact_string_trim_v0,strawbrry,,,,
obviousbench.word_count.en.v0.public.000033,p01,,,,,word_count_v0,4,,,,
obviousbench.ordering.en.v0.public.000050,p01,,,,,normalized_list_v0,"5.05, 5.15, 5.5",,,,
obviousbench.arith.en.v0.public.000027,p01,,,,,exact_string_trim_v0,0.75,,,,
obviousbench.word_count.en.v0.public.000024,p01,,,,,word_count_v0,4,,,,
obviousbench.constraint.en.v0.public.000008,p01,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.word_count.en.v0.public.000052,p01,,,,,word_count_v0,5,,,,
obviousbench.arith.en.v0.public.000023,p01,,,,,exact_string_trim_v0,3.5,,,,
obviousbench.char_count.en.v0.public.000008,p01,,,,,exact_integer_extract_first_v0,3,,,,
obviousbench.format.en.v0.public.000030,p01,,,,,json_exact_field_v0,3,,,,
obviousbench.constraint.en.v0.public.000003,p01,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.spell.en.v0.public.000025,p01,,,,,exact_string_trim_v0,bookkpr,,,,
obviousbench.ordering.en.v0.public.000055,p01,,,,,normalized_list_v0,"beige, black, blue, brown",,,,
obviousbench.spell.en.v0.public.000028,p01,,,,,exact_string_trim_v0,rliability,,,,
obviousbench.arith.en.v0.public.000021,p02,,,,,exact_string_trim_v0,9.9,,,,
obviousbench.constraint.en.v0.public.000003,p02,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.constraint.en.v0.public.000008,p02,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.constraint.en.v0.public.000033,p02,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.word_count.en.v0.public.000033,p02,,,,,word_count_v0,4,,,,
obviousbench.format.en.v0.public.000048,p02,,,,,json_exact_field_v0,cat,,,,
obviousbench.char_count.en.v0.public.000030,p02,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.ordering.en.v0.public.000047,p02,,,,,normalized_list_v0,"3.01, 3.1, 3.2",,,,
obviousbench.format.en.v0.public.000047,p02,,,,,json_exact_field_v0,17,,,,
obviousbench.arith.en.v0.public.000022,p02,,,,,exact_string_trim_v0,7.2,,,,
obviousbench.format.en.v0.public.000050,p02,,,,,json_exact_field_v0,true,,,,
obviousbench.format.en.v0.public.000008,p02,,,,,json_exact_field_v0,3,,,,
