label,model,barrage_profile,reasoning_effort,reasoning_summary,family,samples,correct,failures,answer_correct,format_correct,strict_correct,input_tokens,output_tokens,reasoning_tokens,cache_read_tokens,cache_write_tokens,total_tokens,estimated_cost_usd,cost_source,cost_warnings,summary_dir
GPT-5 Nano minimal,openai/gpt-5-nano,balanced_8x10,minimal,none,arithmetic,10,9,1,9,10,9,365,199,0,0,0,564,9.785e-05,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-nano-balanced-8x10-minimal-20260530-210720-costed
GPT-5 Nano minimal,openai/gpt-5-nano,balanced_8x10,minimal,none,character_count,10,2,8,2,10,2,322,190,0,0,0,512,9.21e-05,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-nano-balanced-8x10-minimal-20260530-210720-costed
GPT-5 Nano minimal,openai/gpt-5-nano,balanced_8x10,minimal,none,constraint_awareness,10,9,1,9,10,9,622,190,0,0,0,812,0.0001071,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-nano-balanced-8x10-minimal-20260530-210720-costed
GPT-5 Nano minimal,openai/gpt-5-nano,balanced_8x10,minimal,none,format_compliance,10,10,0,10,10,10,423,212,0,0,0,635,0.00010595,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-nano-balanced-8x10-minimal-20260530-210720-costed
GPT-5 Nano minimal,openai/gpt-5-nano,balanced_8x10,minimal,none,negation,10,10,0,10,10,10,445,191,0,0,0,636,9.865e-05,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-nano-balanced-8x10-minimal-20260530-210720-costed
GPT-5 Nano minimal,openai/gpt-5-nano,balanced_8x10,minimal,none,ordering,10,8,2,8,10,8,408,304,0,0,0,712,0.000142,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-nano-balanced-8x10-minimal-20260530-210720-costed
GPT-5 Nano minimal,openai/gpt-5-nano,balanced_8x10,minimal,none,spelling_transform,10,5,5,5,10,5,304,357,0,0,0,661,0.000158,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-nano-balanced-8x10-minimal-20260530-210720-costed
GPT-5 Nano minimal,openai/gpt-5-nano,balanced_8x10,minimal,none,word_count,10,9,1,9,10,9,392,190,0,0,0,582,9.56e-05,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-nano-balanced-8x10-minimal-20260530-210720-costed
GPT-4.1 none,openai/gpt-4.1,balanced_8x10,,,arithmetic,10,10,0,10,10,10,375,20,0,0,0,395,0.00091,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4-1-balanced-8x10-nothinking-20260530-213526
GPT-4.1 none,openai/gpt-4.1,balanced_8x10,,,character_count,10,5,5,5,10,5,332,10,0,0,0,342,0.000744,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4-1-balanced-8x10-nothinking-20260530-213526
