label,family,accuracy_pct,correct,samples,scored_samples,provider_errors,timeouts,failures,estimated_cost_usd
Anthropic Claude Haiku 4.5,arithmetic,100.00,10,10,10,0,0,0,0.000728
Anthropic Claude Haiku 4.5,character_count,60.00,6,10,10,0,0,4,0.000612
Anthropic Claude Haiku 4.5,constraint_awareness,90.00,9,10,10,0,0,1,0.001116
Anthropic Claude Haiku 4.5,format_compliance,100.00,10,10,10,0,0,0,0.001145
Anthropic Claude Haiku 4.5,negation,90.00,9,10,10,0,0,1,0.000691
Anthropic Claude Haiku 4.5,ordering,100.00,10,10,10,0,0,0,0.00104
Anthropic Claude Haiku 4.5,spelling_transform,40.00,4,10,10,0,0,6,0.001115
Anthropic Claude Haiku 4.5,word_count,100.00,10,10,10,0,0,0,0.000702
Anthropic Claude Sonnet 4.6,arithmetic,100.00,10,10,10,0,0,0,0.002184
Anthropic Claude Sonnet 4.6,character_count,20.00,2,10,10,0,0,8,0.002571
Anthropic Claude Sonnet 4.6,constraint_awareness,80.00,8,10,10,0,0,2,0.003828
Anthropic Claude Sonnet 4.6,format_compliance,100.00,10,10,10,0,0,0,0.002685
Anthropic Claude Sonnet 4.6,negation,90.00,9,10,10,0,0,1,0.002073
Anthropic Claude Sonnet 4.6,ordering,100.00,10,10,10,0,0,0,0.00312
Anthropic Claude Sonnet 4.6,spelling_transform,80.00,8,10,10,0,0,2,0.00321
Anthropic Claude Sonnet 4.6,word_count,100.00,10,10,10,0,0,0,0.002106
Gemini 2.5 Flash-Lite,arithmetic,90.00,9,10,10,0,0,1,4.63e-05
Gemini 2.5 Flash-Lite,character_count,30.00,3,10,10,0,0,7,3.4e-05
Gemini 2.5 Flash-Lite,constraint_awareness,100.00,10,10,10,0,0,0,8.28e-05
Gemini 2.5 Flash-Lite,format_compliance,100.00,10,10,10,0,0,0,0.000103
Gemini 2.5 Flash-Lite,negation,100.00,10,10,10,0,0,0,4.61e-05
