mode,trial,sample_id,answer_correct,strict_correct,provider_error,timeout,failure_type,target,item_type,lure_type,needle,collection_label,matches,question
low,1,obviousbench.char_count.en.v0.private.100012,False,False,False,False,incorrect_count,0,absent_zero,multi_char_absence,cat,letters from a to f,,"How many of these letters from a to f contain the exact letter sequence ""cat"": a, b, c, d, e, f?"
low,1,obviousbench.char_count.en.v0.private.100075,False,False,False,False,incorrect_count,4,positive_control,positive_control,eta,Greek letter names,beta;zeta;eta;theta,"How many of these Greek letter names contain the exact letter sequence ""eta"": alpha, beta, gamma, delta, epsilon, zeta, eta, theta, iota, kappa?"
low,2,obviousbench.char_count.en.v0.private.100012,False,False,False,False,non_answer,0,absent_zero,multi_char_absence,cat,letters from a to f,,"How many of these letters from a to f contain the exact letter sequence ""cat"": a, b, c, d, e, f?"
low,2,obviousbench.char_count.en.v0.private.100046,False,False,True,False,provider_error,0,absent_zero,semantic_lure,dog,cloud type names,,"How many of these cloud type names contain the exact letter sequence ""dog"": cirrus, cumulus, stratus, nimbus?"
low,3,obviousbench.char_count.en.v0.private.100068,False,False,False,False,incorrect_count,1,positive_control,positive_control,red,rainbow colors,red,"How many of these rainbow colors contain the exact letter sequence ""red"": red, orange, yellow, green, blue, indigo, violet?"
medium,3,obviousbench.char_count.en.v0.private.100012,False,False,False,False,incorrect_count,0,absent_zero,multi_char_absence,cat,letters from a to f,,"How many of these letters from a to f contain the exact letter sequence ""cat"": a, b, c, d, e, f?"
none,1,obviousbench.char_count.en.v0.private.100015,False,False,False,False,incorrect_count,0,absent_zero,semantic_lure,cat,secondary colors,,"How many of these secondary colors contain the exact letter sequence ""cat"": orange, green, purple?"
none,1,obviousbench.char_count.en.v0.private.100028,False,False,False,False,incorrect_count,0,absent_zero,semantic_lure,cat,US bill value names,,"How many of these US bill value names contain the exact letter sequence ""cat"": one, five, ten, twenty, fifty, hundred?"
none,1,obviousbench.char_count.en.v0.private.100035,False,False,False,False,incorrect_count,0,absent_zero,near_subsequence_lure,cat,punctuation mark names,,"How many of these punctuation mark names contain the exact letter sequence ""cat"": comma, period, colon, semicolon, question mark, exclamation point?"
none,1,obviousbench.char_count.en.v0.private.100041,False,False,False,False,incorrect_count,0,absent_zero,semantic_lure,cat,Boolean words,,"How many of these Boolean words contain the exact letter sequence ""cat"": true, false?"
