provider_model,reasoning_effort,effort_order,strict_attempt_accuracy,answer_pass3_accuracy,strict_pass3_accuracy,strict_any3_accuracy,complete_items,items,valid_attempts,total_tokens,reasoning_tokens,estimated_cost_usd
anthropic/claude-3-haiku,default,1,0.537037,0.444444,0.444444,0.645833,144,144,432,23969,0,0.00852625
anthropic/claude-3.5-haiku,default,1,0.648148,0.590278,0.590278,0.715278,144,144,432,24470,0,0.029288
anthropic/claude-haiku-4.5,default,1,0.662037,0.652778,0.604167,0.722222,144,144,432,25530,0,0.04191
anthropic/claude-haiku-4.5,high_budget_8192,99,0.944444,0.902778,0.895833,0.986111,144,144,432,111339,71239,0.420843
anthropic/claude-haiku-4.5,low_budget_1024,99,0.946759,0.916667,0.902778,0.986111,144,144,432,99396,62454,0.361128
anthropic/claude-haiku-4.5,medium_budget_2048,99,0.939815,0.923611,0.895833,0.972222,144,144,432,103826,66239,0.383278
anthropic/claude-haiku-4.5,xhigh_budget_16384,99,0.949074,0.930556,0.916667,0.993056,144,144,432,114999,73125,0.439143
anthropic/claude-opus-4-6,low,2,0.900463,0.902778,0.888889,0.909722,144,144,432,24264,0,0.1779
anthropic/claude-opus-4-6,medium,3,0.87037,0.895833,0.861111,0.875,144,144,432,25306,229,0.20395
anthropic/claude-opus-4-6,high,4,0.925926,0.979167,0.916667,0.9375,144,144,432,43253,16465,0.652625
anthropic/claude-opus-4-6,xhigh,5,0.928241,0.979167,0.909722,0.944444,144,144,432,43458,16614,0.65775
anthropic/claude-opus-4-6,max,6,0.918981,0.972222,0.888889,0.944444,144,144,432,49475,22596,0.808175
anthropic/claude-opus-4-7,low,2,0.865741,0.840278,0.840278,0.888889,144,144,432,33744,0,0.23496
anthropic/claude-opus-4-7,medium,3,0.865741,0.854167,0.854167,0.875,144,144,432,33739,0,0.234835
anthropic/claude-opus-4-7,high,4,0.875,0.868056,0.868056,0.881944,144,144,432,34166,360,0.24551
anthropic/claude-opus-4-7,xhigh,5,0.928241,0.916667,0.916667,0.9375,144,144,432,35780,1776,0.28586
anthropic/claude-opus-4-7,max,6,0.895833,0.868056,0.868056,0.916667,144,144,432,37751,3034,0.335135
anthropic/claude-opus-4.5,none,0,0.828704,0.819444,0.819444,0.840278,144,144,432,24780,0,0.1908
anthropic/claude-opus-4.5,low_budget_1024,99,0.974537,0.993056,0.965278,0.986111,144,144,432,91249,53986,1.601965
anthropic/claude-opus-4.5,medium_budget_2048,99,0.962963,0.993056,0.951389,0.972222,144,144,432,94284,56386,1.67784
anthropic/claude-opus-4.5,high_budget_8192,99,0.976852,0.993056,0.965278,0.993056,144,144,432,94815,57291,1.691115
anthropic/claude-opus-4.5,xhigh_budget_16384,99,0.972222,0.986111,0.965278,0.979167,144,144,432,95553,58055,1.709565
