mode,sample_id,family,question,strict_successes_5,answer_successes_5,strict_unstable,answer_unstable,strict_pairwise_disagreement,answer_pairwise_disagreement,provider_errors,timeouts
high,obviousbench.arith.en.v0.public.000001,arithmetic,What is 3 + 8 - 3?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000002,arithmetic,What is 4 + 9 - 0?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000003,arithmetic,What is 5 + 10 - 1?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000004,arithmetic,What is 6 + 11 - 2?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000005,arithmetic,What is 7 + 12 - 3?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000006,arithmetic,What is 8 + 13 - 0?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000007,arithmetic,What is 9 + 14 - 1?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000008,arithmetic,What is 10 + 15 - 2?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000009,arithmetic,What is 11 + 16 - 3?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000010,arithmetic,What is 12 + 17 - 0?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000011,arithmetic,What is 13 + 18 - 1?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000012,arithmetic,What is 14 + 19 - 2?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000013,arithmetic,What is 15 + 20 - 3?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000014,arithmetic,What is 16 + 21 - 0?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000015,arithmetic,What is 17 + 22 - 1?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000016,arithmetic,What is 18 + 23 - 2?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000017,arithmetic,What is 19 + 24 - 3?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000018,arithmetic,What is 20 + 25 - 0?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000019,arithmetic,What is 21 + 26 - 1?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000020,arithmetic,What is 22 + 27 - 2?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000021,arithmetic,"Which is larger, 9.9 or 9.11?",5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000022,arithmetic,"Which is larger, 7.2 or 7.12?",5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000023,arithmetic,"Which is larger, 3.05 or 3.5?",5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000024,arithmetic,Convert 3 miles to kilometers using 1 mile = 1.609 km.,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000025,arithmetic,How many minutes are in 3.5 hours?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000026,arithmetic,What is 18 multiplied by 7?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000027,arithmetic,Convert 750 grams to kilograms.,5,5,0,0,0.0,0.0,0,0
high,obviousbench.arith.en.v0.public.000028,arithmetic,What is 42 + 29 - 11?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000007,character_count,How many o's are in google?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000008,character_count,How many r's are in raspberry?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000010,character_count,How many l's are in google?,4,4,1,1,0.4,0.4,0,0
high,obviousbench.char_count.en.v0.public.000017,character_count,How many e's are in responsiveness?,4,4,1,1,0.4,0.4,0,0
high,obviousbench.char_count.en.v0.public.000022,character_count,How many i's are in accessibility?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000025,character_count,How many p's are in pepper?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000026,character_count,How many c's are in successes?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000029,character_count,How many g's are in rearrangement?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000030,character_count,How many h's are in alphabetical?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000036,character_count,How many s's are in responsiveness?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000038,character_count,How many c's are in coconut?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000039,character_count,How many k's are in bookkeeping?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000040,character_count,How many a's are in alphabetical?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000046,character_count,How many t's are in accessibility?,4,4,1,1,0.4,0.4,0,0
high,obviousbench.char_count.en.v0.public.000047,character_count,How many o's are in terracotta?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000050,character_count,How many a's are in terracotta?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000053,character_count,How many e's are in rearrangement?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000054,character_count,How many g's are in bookkeeping?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000055,character_count,How many a's are in assesses?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000056,character_count,How many u's are in coconut?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000057,character_count,How many r's are in terracotta?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000059,character_count,How many v's are in responsiveness?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000060,character_count,How many e's are in terracotta?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000062,character_count,How many p's are in responsiveness?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000068,character_count,How many r's are in rearrangement?,4,4,1,1,0.4,0.4,1,0
high,obviousbench.char_count.en.v0.public.000074,character_count,How many t's are in alphabetical?,4,4,1,1,0.4,0.4,0,0
high,obviousbench.char_count.en.v0.public.000075,character_count,How many u's are in successes?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.char_count.en.v0.public.000076,character_count,How many n's are in rearrangement?,5,5,0,0,0.0,0.0,0,0
high,obviousbench.constraint.en.v0.public.000003,constraint_awareness,"The mechanic is two blocks away. If I want my car's oil changed, should I walk there or drive the car there?  A. Walk there B. Drive the car there C. Take the bus there D. It is impossible",5,5,0,0,0.0,0.0,0,0
high,obviousbench.constraint.en.v0.public.000004,constraint_awareness,"The windshield repair garage is at the end of my street. If I want the chip in my car windshield repaired, should I walk there or drive the car there?  A. Walk there B. Drive the car there C. Skate there D. It is impossible",5,5,0,0,0.0,0.0,0,0
high,obviousbench.constraint.en.v0.public.000008,constraint_awareness,"The window tinting shop is 100m away. If I want the windows on my car tinted, should I walk there or drive the car there?  A. Walk there B. Drive the car there C. Bring only the appointment card D. It is impossible",5,5,0,0,0.0,0.0,0,0
high,obviousbench.constraint.en.v0.public.000009,constraint_awareness,"The car audio shop is one block away. If I want a new stereo installed in my car, should I walk there with my headphones or drive the car there?  A. Walk there with my headphones B. Drive the car there C. Bring only the stereo box D. It is impossible",5,5,0,0,0.0,0.0,0,0
high,obviousbench.constraint.en.v0.public.000010,constraint_awareness,"The motorcycle mechanic is one block away. If my motorcycle needs an oil change, should I walk there or ride the motorcycle there?  A. Walk there B. Ride the motorcycle there C. Take a bus D. It is impossible",0,0,0,0,0.0,0.0,0,0
high,obviousbench.constraint.en.v0.public.000013,constraint_awareness,"The bike shop is around the corner. If my bike needs a tune-up, should I walk there or ride the bike there?  A. Walk there B. Ride the bike there C. Drive a car there D. It is impossible",0,0,0,0,0.0,0.0,0,0
