label,model,barrage_profile,reasoning_effort,reasoning_summary,total_samples,scored_samples,correct,failures,answer_correct,format_correct,strict_correct,provider_errors,timeouts,accuracy,answer_accuracy,format_accuracy,strict_accuracy,obvious_failure_rate,failures_per_1000,non_answers,format_failures,input_tokens,output_tokens,reasoning_tokens,cache_read_tokens,cache_write_tokens,total_tokens,estimated_cost_usd,cost_source,cost_warnings,summary_dir
GPT-5 Nano minimal,openai/gpt-5-nano,balanced_8x10,minimal,none,80,80,62,18,62,80,62,0,0,0.775,0.775,1.0,0.775,0.225,225,0,0,3281,1833,0,0,0,5114,0.00089725,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-nano-balanced-8x10-minimal-20260530-210720-costed
GPT-4.1 none,openai/gpt-4.1,balanced_8x10,,,80,80,66,14,66,78,64,0,0,0.825,0.825,0.975,0.8,0.175,175,0,2,3361,219,0,0,0,3580,0.008474,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4-1-balanced-8x10-nothinking-20260530-213526
GPT-4o none,openai/gpt-4o,balanced_8x10,,,80,80,71,9,71,68,59,0,0,0.8875,0.8875,0.85,0.7375,0.1125,112,0,12,3361,265,0,0,0,3626,0.0110525,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-4o-balanced-8x10-nothinking-20260530-213550
GPT-5.2 none,openai/gpt-5.2,balanced_8x10,none,none,80,80,70,10,70,80,70,0,0,0.875,0.875,1.0,0.875,0.125,125,0,0,3281,528,0,0,0,3809,0.01313375,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-2-nothinking-balanced_8x10-20260531-001430
GPT-5 low,openai/gpt-5,balanced_8x10,low,none,80,80,79,1,79,80,79,0,0,0.9875,0.9875,1.0,0.9875,0.0125,12,0,0,3281,6334,2688,0,0,9615,0.06744125,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-low-balanced_8x10-20260531-001449
GPT-5.4 none,openai/gpt-5.4,balanced_8x10,none,none,80,80,70,10,70,80,70,0,0,0.875,0.875,1.0,0.875,0.125,125,0,0,3281,524,0,0,0,3805,0.0160625,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-none-balanced_8x10-20260531-075312
GPT-5.4 low,openai/gpt-5.4,balanced_8x10,low,none,80,80,78,2,78,80,78,0,0,0.975,0.975,1.0,0.975,0.025,25,0,0,3281,2159,1504,0,0,5440,0.0405875,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-low-balanced_8x10-20260531-075312
GPT-5.4 medium,openai/gpt-5.4,balanced_8x10,medium,none,80,80,78,2,78,80,78,0,0,0.975,0.975,1.0,0.975,0.025,25,0,0,3281,3410,2726,0,0,6691,0.0593525,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-medium-balanced_8x10-20260531-075312
GPT-5.4 high,openai/gpt-5.4,balanced_8x10,high,none,80,80,79,1,79,80,79,0,0,0.9875,0.9875,1.0,0.9875,0.0125,12,0,0,3281,4234,3548,0,0,7515,0.0717125,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-4-high-balanced_8x10-20260531-075312
GPT-5.5 none,openai/gpt-5.5,balanced_8x10,none,none,80,80,73,7,73,80,73,0,0,0.9125,0.9125,1.0,0.9125,0.0875,88,0,0,3281,528,0,0,0,3809,0.032245,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-balanced-8x10-nothinking-20260530-213600
GPT-5.5 medium,openai/gpt-5.5,balanced_8x10,medium,none,80,80,80,0,80,80,80,0,0,1.0,1.0,1.0,1.0,0.0,0,0,0,3281,3141,2454,0,0,6422,0.110635,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-medium-balanced_8x10-20260531-001525
GPT-5.5 high,openai/gpt-5.5,balanced_8x10,high,none,80,80,80,0,80,80,80,0,0,1.0,1.0,1.0,1.0,0.0,0,0,0,3281,4093,3406,0,0,7374,0.139195,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gpt-5-5-high-balanced_8x10-20260531-075312
Claude Haiku 4.5,anthropic/claude-haiku-4-5,balanced_8x10,,,80,80,66,14,66,75,61,0,0,0.825,0.825,0.9375,0.7625,0.175,175,0,5,3581,591,0,0,0,4172,0.006536,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-haiku-4-5-balanced_8x10-20260531-001824
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,balanced_8x10,,,80,80,62,18,62,74,62,0,0,0.775,0.775,0.925,0.775,0.225,225,0,6,3581,691,0,0,0,4272,0.021108,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-sonnet-4-6-balanced_8x10-20260531-001905
Claude Opus 4.6 low,anthropic/claude-opus-4-6,balanced_8x10,,none,80,80,73,7,73,80,73,0,0,0.9125,0.9125,1.0,0.9125,0.0875,88,0,0,3581,624,0,0,0,4205,0.033505,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-low-seq-balanced_8x10-20260531-075610
