curve,model,mode,sample_id,family,answer_successes,strict_successes,correct_successes,trials,question
Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,minimal,obviousbench.spell.en.v0.public.000002,spelling_transform,2,2,2,3,Write strawberry without the letter e.
Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,minimal,obviousbench.spell.en.v0.public.000005,spelling_transform,2,2,2,3,Write necessary without the letter e.
Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,minimal,obviousbench.spell.en.v0.public.000006,spelling_transform,2,2,2,3,Replace every a in necessary with @.
Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,minimal,obviousbench.spell.en.v0.public.000018,spelling_transform,2,2,2,3,Replace every a in orange with @.
Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,low,obviousbench.char_count.en.v0.public.000017,character_count,2,2,2,3,How many e's are in responsiveness?
Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,low,obviousbench.char_count.en.v0.public.000022,character_count,2,2,2,3,How many i's are in accessibility?
Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,low,obviousbench.char_count.en.v0.public.000029,character_count,2,2,2,3,How many g's are in rearrangement?
Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,low,obviousbench.char_count.en.v0.public.000030,character_count,1,1,1,3,How many h's are in alphabetical?
Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,low,obviousbench.char_count.en.v0.public.000040,character_count,1,1,1,3,How many a's are in alphabetical?
Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,low,obviousbench.char_count.en.v0.public.000046,character_count,2,2,2,3,How many t's are in accessibility?
Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,low,obviousbench.char_count.en.v0.public.000053,character_count,2,2,2,3,How many e's are in rearrangement?
Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,low,obviousbench.char_count.en.v0.public.000062,character_count,1,1,1,3,How many p's are in responsiveness?
Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,low,obviousbench.char_count.en.v0.public.000076,character_count,2,2,2,3,How many n's are in rearrangement?
Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,low,obviousbench.constraint.en.v0.public.000008,constraint_awareness,2,2,2,3,"The window tinting shop is 100m away. If I want the windows on my car tinted, should I walk there or drive the car there?

A. Walk there
B. Drive the car there
C. Bring only the appointment card
D. It is impossible"
Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,low,obviousbench.constraint.en.v0.public.000042,constraint_awareness,2,2,2,3,"The campus store is downstairs. If I want to exchange my backpack, should I carry my books by hand or wear or bring the backpack?

A. Carry my books by hand
B. Wear or bring the backpack
C. Bring only the receipt
D. It is impossible"
Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,low,obviousbench.spell.en.v0.public.000004,spelling_transform,1,1,1,3,Spell necessary backwards.
