rank,label,model,barrage_profile,accuracy_pct,accuracy_ci_95,answer_accuracy_pct,format_accuracy_pct,strict_accuracy_pct,obvious_failure_rate_pct,correct,answer_correct,format_correct,strict_correct,scored_samples,provider_errors,timeouts,total_tokens,estimated_cost_usd,cost_per_correct_usd,tokens_per_correct,overthinking_index,reasoning_token_source,cost_warnings,summary_dir
1,GPT-5.5 medium,openai/gpt-5.5,balanced_8x10,100.00,95.42% - 100.00%,100.00,100.00,100.00,0.00,80,80,80,80,80,0,0,6422,0.110635,0.00138294,80.28,,,,results/summaries/gpt-5-5-medium-balanced_8x10-20260531-001525
2,GPT-5 low,openai/gpt-5,balanced_8x10,98.75,93.25% - 99.78%,98.75,98.75,98.75,1.25,79,79,79,79,80,0,0,9615,0.0280475,0.00035503,121.71,,,Cannot convert 1e-05 to a BigInt,results/summaries/gpt-5-low-balanced_8x10-20260531-001449
3,Gemini 3.5 Flash OR,openrouter/google/gemini-3.5-flash,balanced_8x10,97.50,91.34% - 99.31%,97.50,97.50,97.50,2.50,78,78,78,78,80,0,0,17560,0.135555,0.00173788,225.13,,,,results/summaries/gemini-3-5-flash-openrouter-capped-balanced_8x10-20260531-001947
4,GPT-5.5 none,openai/gpt-5.5,balanced_8x10,91.25,83.02% - 95.70%,91.25,91.25,91.25,8.75,73,73,73,73,80,0,0,3809,0.032245,0.00044171,52.18,,,,results/summaries/gpt-5-5-balanced-8x10-nothinking-20260530-213600
5,GPT-5.2 none,openai/gpt-5.2,balanced_8x10,87.50,78.50% - 93.07%,87.50,87.50,87.50,12.50,70,70,70,70,80,0,0,3809,0.01313375,0.00018762,54.41,,,,results/summaries/gpt-5-2-nothinking-balanced_8x10-20260531-001430
6,Gemini 2.5 Flash OR,openrouter/google/gemini-2.5-flash,balanced_8x10,81.25,71.34% - 88.29%,81.25,81.25,81.25,18.75,65,65,65,65,80,0,0,3236,0.0014944,0.00002299,49.78,,,,results/summaries/gemini-2-5-flash-openrouter-capped-balanced_8x10-20260531-002022
7,GPT-4.1 none,openai/gpt-4.1,balanced_8x10,80.00,69.95% - 87.30%,80.00,80.00,80.00,20.00,64,64,64,64,80,0,0,3580,0.008474,0.00013241,55.94,,,,results/summaries/gpt-4-1-balanced-8x10-nothinking-20260530-213526
8,Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,balanced_8x10,77.50,67.21% - 85.27%,77.50,77.50,77.50,22.50,62,62,62,62,80,0,0,4272,0.021108,0.00034045,68.90,,,,results/summaries/claude-sonnet-4-6-balanced_8x10-20260531-001905
9,Claude Haiku 4.5,anthropic/claude-haiku-4-5,balanced_8x10,76.25,65.86% - 84.24%,76.25,76.25,76.25,23.75,61,61,61,61,80,0,0,4172,0.006536,0.00010715,68.39,,,,results/summaries/claude-haiku-4-5-balanced_8x10-20260531-001824
10,GPT-5 Nano minimal,openai/gpt-5-nano,balanced_8x10,75.00,64.52% - 83.19%,75.00,75.00,75.00,25.00,60,60,60,60,80,0,0,5114,0.00089725,0.00001495,85.23,,,,results/summaries/gpt-5-nano-balanced-8x10-minimal-20260530-210720-costed
11,GPT-4o none,openai/gpt-4o,balanced_8x10,73.75,63.18% - 82.14%,73.75,73.75,73.75,26.25,59,59,59,59,80,0,0,3626,0.0110525,0.00018733,61.46,,,,results/summaries/gpt-4o-balanced-8x10-nothinking-20260530-213550
,OR free GPT-OSS 120B,openrouter/openai/gpt-oss-120b:free,balanced_8x2,100.00,80.64% - 100.00%,100.00,100.00,100.00,0.00,16,16,16,16,16,0,0,2123,0,0,132.69,,,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).,results/summaries/openrouter-free-gpt-oss-120b-balanced_8x2-20260531-002234
,OR free DeepSeek V4 Flash,openrouter/deepseek/deepseek-v4-flash:free,balanced_8x2,0.00,,0.00,0.00,0.00,0.00,0,0,0,0,0,16,0,0,0,,,,,,results/summaries/openrouter-free-deepseek-v4-flash-balanced_8x2-20260531-002057
